,Diod_Sic_Book_11_s-253_w-8,Diod_Sic_Book_11_s-564_w-22,DiodorusSic_Book11,Hdt_Book_1_s-1440_w-6,Hdt_Book_1_s-743_w-4,Herodotus_Book1,Plutarch_Alcibiades,Plutarch_Alcibiades_s-132_w-14,Plutarch_Alcibiades_s-295_w-2,Plutarch_Lycurgus,Plutarch_Lycurgus_s-116_w-28,Plutarch_Lycurgus_s-163_w-3,Polybius_Book1,Polybius_Book_1_s-458_w-2,Polybius_Book_1_s-560_w-48,Thuc_Book_1_s-552_w-19,Thuc_Book_1_s-586_w-15,Thucydides_Book1
Diod_Sic_Book_11_s-253_w-8,NA,0.504291845,0.329776916,0.400321543,0.453703704,0.204976303,0.325765054,0.451388889,0.525751073,0.298261665,0.425925926,0.499075786,0.222946545,0.462845011,0.514893617,0.501923077,0.471243043,0.235492578
Diod_Sic_Book_11_s-564_w-22,NA,NA,0.316356513,0.420875421,0.509960159,0.192513369,0.312063809,0.487132353,0.537078652,0.287696577,0.44112478,0.513513514,0.2156476,0.56501182,0.539325843,0.52016129,0.507874016,0.220568336
DiodorusSic_Book11,NA,NA,NA,0.394106814,0.339587242,0.465243569,0.540729247,0.377094972,0.310745402,0.466571835,0.372007366,0.37299339,0.45775463,0.295719844,0.331041257,0.365292426,0.350893697,0.492159228
Hdt_Book_1_s-1440_w-6,NA,NA,NA,NA,0.429892142,0.280588235,0.381040892,0.456845238,0.440134907,0.35826087,0.486486486,0.45648855,0.288449266,0.410169492,0.441821248,0.45971564,0.426829268,0.302970297
Hdt_Book_1_s-743_w-4,NA,NA,NA,NA,NA,0.239478364,0.347449471,0.433386838,0.505882353,0.327338129,0.421383648,0.483760684,0.251132686,0.462745098,0.490310078,0.499105546,0.531531532,0.267114094
Herodotus_Book1,NA,NA,NA,NA,NA,NA,0.428032345,0.262971698,0.193491124,0.441036489,0.262016413,0.248967552,0.505203406,0.181872038,0.202622169,0.231995277,0.232530828,0.50023912
Plutarch_Alcibiades,NA,NA,NA,NA,NA,NA,NA,0.403288201,0.307692308,0.486842105,0.358736059,0.407699901,0.425057208,0.293650794,0.332329317,0.374015748,0.359073359,0.471720818
Plutarch_Alcibiades_s-132_w-14,NA,NA,NA,NA,NA,NA,NA,NA,0.467741935,0.385662432,0.453576865,0.509031199,0.28,0.441229656,0.482820976,0.49915683,0.462662338,0.290945406
Plutarch_Alcibiades_s-295_w-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.290976059,0.463844797,0.512380952,0.212654925,0.483443709,0.524122807,0.5249501,0.489443378,0.221548822
Plutarch_Lycurgus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345581802,0.361740707,0.435682327,0.277777778,0.309990663,0.341841386,0.340560072,0.428895184
Plutarch_Lycurgus_s-116_w-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453125,0.271510516,0.397923875,0.418088737,0.435406699,0.45686901,0.280367695
Plutarch_Lycurgus_s-163_w-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272904483,0.49034749,0.505681818,0.497400347,0.492333901,0.289757412
Polybius_Book1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206172029,0.222879684,0.261608895,0.25064433,0.498490946
Polybius_Book_1_s-458_w-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522624434,0.495967742,0.478431373,0.205110962
Polybius_Book_1_s-560_w-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523904382,0.471590909,0.231343284
Thuc_Book_1_s-552_w-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466204506,0.272113437
Thuc_Book_1_s-586_w-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264
Thucydides_Book1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
