"","Aeschylus","Diodorus","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Hesiod",1,0,0,12,3,0,1,0,0,1,0,0,6
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,10,0,0,0,0,0,2,4
"OdHomer",0,0,0,0,0,0,21,0,0,0,0,0,0
"Plutarch",0,1,2,0,0,0,0,15,1,0,1,0,5
"Polybius",0,1,0,0,0,1,0,1,17,0,0,0,3
"Sophocles",0,0,0,0,0,0,0,0,0,12,0,0,0
"Thucydides",0,0,0,0,0,1,0,1,0,0,10,0,2
"Xenophon",0,0,2,0,0,7,0,1,2,0,2,5,14
"-SUM-",1,2,6,0,3,10,1,3,6,3,6,2,43
"Aeschylus",12,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,14,1,0,0,0,0,0,2,0,0,0,3
"Herodotus",0,0,13,0,0,0,0,1,0,0,1,2,4
"Hesiod",0,0,0,8,3,0,2,0,0,0,0,0,5
"IlHomer",0,0,0,0,13,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,18,0,0,0,0,0,0,1
"OdHomer",0,0,0,1,1,0,16,0,0,0,0,0,2
"Plutarch",0,0,1,0,0,0,0,11,2,0,1,0,4
"Polybius",0,2,0,0,0,0,0,0,19,0,0,0,2
"Sophocles",2,0,0,0,0,0,0,0,0,23,0,0,2
"Thucydides",0,1,2,0,0,1,0,1,1,0,10,1,7
"Xenophon",0,0,3,0,0,3,0,1,0,0,2,9,9
"-SUM-",2,3,8,1,4,4,2,3,5,1,4,3,40
"Aeschylus",9,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,20,0,0,0,0,0,0,3,0,0,0,3
"Herodotus",0,0,18,0,0,0,0,0,0,0,1,3,4
"Hesiod",0,0,0,14,6,0,2,0,0,0,0,0,8
"IlHomer",0,0,0,0,18,0,0,0,0,0,0,0,0
"Lysias",0,0,6,0,0,7,0,1,0,0,1,0,8
"OdHomer",0,0,0,0,0,0,20,0,0,0,0,0,0
"Plutarch",0,0,2,0,0,0,0,9,0,0,0,0,2
"Polybius",0,0,0,0,0,0,0,1,14,0,0,0,1
"Sophocles",3,0,0,0,0,0,0,0,0,20,0,0,3
"Thucydides",0,0,0,0,0,0,0,1,2,0,9,0,3
"Xenophon",0,0,1,0,0,0,0,0,1,0,2,11,4
"-SUM-",3,0,9,0,6,0,2,3,6,1,4,3,37
"Aeschylus",15,0,0,1,0,0,0,0,0,1,0,0,2
"Diodorus",0,15,0,0,0,0,0,0,3,0,1,0,4
"Herodotus",0,0,18,0,0,0,0,0,0,0,1,1,2
"Hesiod",0,0,0,9,4,0,0,0,0,0,0,0,4
"IlHomer",0,0,0,0,19,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,16,0,0,0,0,0,1,2
"OdHomer",0,0,0,0,0,0,16,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,15,4,0,0,0,4
"Polybius",0,0,0,0,0,0,0,0,19,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,16,0,0,0
"Thucydides",0,0,3,0,0,2,0,1,0,0,6,0,6
"Xenophon",0,1,5,0,0,3,0,0,2,0,1,6,12
"-SUM-",0,1,9,1,4,5,0,1,9,1,3,2,36
"Aeschylus",10,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,9,0,0,0,0,0,0,3,0,1,0,4
"Herodotus",0,0,10,0,0,1,0,0,0,0,1,1,3
"Hesiod",1,0,0,7,5,0,1,0,0,0,0,0,7
"IlHomer",0,0,0,0,17,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,21,0,0,0,0,2,3,7
"OdHomer",0,0,0,1,4,0,12,0,0,0,0,0,5
"Plutarch",0,1,0,0,0,0,0,15,1,0,0,0,2
"Polybius",0,0,0,0,0,0,0,0,18,0,0,1,1
"Sophocles",1,0,0,0,0,0,0,0,0,16,0,0,1
"Thucydides",0,1,1,0,0,3,0,1,1,0,16,2,9
"Xenophon",0,0,1,0,0,0,0,2,0,0,3,9,6
"-SUM-",2,2,4,1,9,4,1,3,5,1,7,7,46
"Aeschylus",23,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,17,0,0,0,0,0,0,3,0,0,0,3
"Herodotus",0,0,9,0,0,1,0,0,0,0,1,1,3
"Hesiod",0,0,0,16,5,0,1,0,0,0,0,0,6
"IlHomer",0,0,0,0,12,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,11,0,1,0,0,1,1,5
"OdHomer",0,0,0,0,1,0,18,0,0,0,0,0,1
"Plutarch",0,0,1,0,0,0,0,13,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,13,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,19,0,0,0
"Thucydides",0,1,3,0,0,0,0,1,1,0,13,0,6
"Xenophon",0,0,2,0,0,4,0,1,0,0,3,7,10
"-SUM-",0,1,8,0,6,5,1,3,4,0,5,2,35
"Aeschylus",15,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,12,0,0,0,0,0,1,2,0,0,0,3
"Herodotus",0,1,13,0,0,2,0,1,0,0,0,1,5
"Hesiod",0,0,0,14,5,0,0,0,0,0,0,0,5
"IlHomer",0,0,0,0,12,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,8,0,0,0,0,4,0,6
"OdHomer",0,0,0,0,2,0,21,0,0,0,0,0,2
"Plutarch",0,0,2,0,0,0,0,17,2,0,0,0,4
"Polybius",0,0,0,0,0,0,0,1,16,0,0,0,1
"Sophocles",2,0,0,0,0,0,0,0,0,18,0,0,2
"Thucydides",0,0,2,0,0,1,0,0,1,0,9,0,4
"Xenophon",0,1,0,0,0,1,0,0,2,0,1,12,5
"-SUM-",2,2,6,0,7,4,0,3,7,2,5,1,39
"Aeschylus",16,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,12,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,15,0,0,2,0,0,0,0,1,0,3
"Hesiod",1,0,0,14,5,0,0,0,0,0,0,0,6
"IlHomer",0,0,0,0,13,0,1,0,0,0,0,0,1
"Lysias",0,0,3,0,0,9,0,0,0,0,0,2,5
