"","Aeschylus","Diodorus","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Thucydides",0,0,1,0,0,0,0,0,0,0,9,0,1
"Xenophon",0,0,0,0,0,2,0,0,1,0,3,10,6
"-SUM-",1,2,4,0,8,2,1,1,9,5,7,2,42
"Aeschylus",17,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,16,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,9,0,0,0,0,0,1,0,1,1,3
"Hesiod",0,0,0,11,5,0,0,0,0,0,0,0,5
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
"Lysias",0,0,3,0,0,17,0,1,0,0,2,0,6
"OdHomer",0,0,0,0,0,0,15,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,11,4,0,1,0,5
"Polybius",0,0,2,0,0,1,0,1,14,0,0,0,4
"Sophocles",0,0,0,1,0,0,0,0,0,17,0,0,1
"Thucydides",0,0,4,0,0,1,0,0,2,0,6,0,7
"Xenophon",0,0,0,0,0,2,0,1,0,0,1,14,4
"-SUM-",0,0,9,1,5,4,0,3,9,2,5,1,39
"Aeschylus",16,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,20,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,9,0,0,1,0,0,0,0,1,0,2
"Hesiod",0,0,0,9,2,0,4,0,0,0,0,0,6
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,13,0,0,0,0,4,2,6
"OdHomer",0,0,0,0,3,0,14,0,0,0,0,0,3
"Plutarch",0,1,2,0,0,0,0,11,0,0,0,0,3
"Polybius",0,0,0,0,0,0,0,1,16,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,19,0,0,1
"Thucydides",0,0,5,0,0,0,0,0,2,0,8,2,9
"Xenophon",0,0,2,0,0,0,0,0,2,0,6,9,10
"-SUM-",1,1,9,0,5,1,4,1,5,0,11,4,42
"Aeschylus",19,0,0,0,1,0,0,0,0,1,0,0,2
"Diodorus",0,10,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,1,13,0,0,1,0,0,0,0,2,0,4
"Hesiod",1,0,0,11,1,0,2,0,0,1,0,0,5
"IlHomer",0,0,0,0,19,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,12,0,0,0,0,0,1,3
"OdHomer",0,0,0,0,1,0,19,0,0,0,0,0,1
"Plutarch",0,2,2,0,0,0,0,18,0,0,1,0,5
"Polybius",0,0,0,0,0,0,0,2,13,0,0,0,2
"Sophocles",0,0,0,0,0,0,1,0,0,17,0,0,1
"Thucydides",0,0,1,0,0,2,0,1,0,0,11,3,7
"Xenophon",0,1,4,0,0,2,0,0,0,0,1,5,8
"-SUM-",1,4,9,0,3,5,3,3,1,2,4,4,39
"Aeschylus",14,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,22,0,0,0,0,0,0,0,0,1,0,1
"Herodotus",0,0,16,0,0,1,0,0,0,0,0,0,1
"Hesiod",0,0,0,6,2,0,2,0,0,0,0,0,4
"IlHomer",0,0,0,0,27,0,0,0,0,0,0,0,0
"Lysias",0,0,3,0,0,9,0,0,0,0,0,2,5
"OdHomer",0,0,0,0,2,0,15,0,0,0,0,0,2
"Plutarch",0,1,1,0,0,1,0,14,1,0,2,0,6
"Polybius",0,0,0,0,0,0,0,0,16,0,1,0,1
"Sophocles",1,0,0,0,1,0,0,0,0,15,0,0,2
"Thucydides",0,1,3,0,0,1,0,0,0,0,7,0,5
"Xenophon",0,0,1,0,0,2,0,1,0,0,3,9,7
"-SUM-",1,2,8,0,5,5,2,1,1,2,7,2,36
"Aeschylus",11,0,0,0,1,0,0,0,0,2,0,0,3
"Diodorus",0,11,0,0,0,0,0,0,2,0,1,0,3
"Herodotus",0,0,17,0,0,1,0,1,0,0,1,0,3
"Hesiod",0,0,0,10,5,0,1,0,0,0,0,0,6
"IlHomer",0,0,0,1,24,0,0,0,0,0,0,0,1
"Lysias",0,0,0,0,0,19,0,0,0,0,1,1,2
"OdHomer",0,0,0,0,0,0,20,0,0,0,0,0,0
"Plutarch",0,0,2,0,0,0,0,10,2,0,0,0,4
"Polybius",0,1,0,0,0,0,0,0,12,0,1,1,3
"Sophocles",0,0,0,0,0,0,0,0,0,15,0,0,0
"Thucydides",0,0,2,0,0,1,0,2,0,0,6,2,7
"Xenophon",0,0,1,0,0,1,0,0,1,0,3,13,6
"-SUM-",0,1,5,1,6,3,1,3,5,2,7,4,38
"Aeschylus",14,0,0,0,0,0,0,0,0,4,0,0,4
"Diodorus",0,10,0,0,0,0,0,0,5,0,0,0,5
"Herodotus",0,0,18,0,0,1,0,0,0,0,2,0,3
"Hesiod",0,0,0,9,5,0,1,0,0,1,0,0,7
"IlHomer",0,0,0,0,14,0,1,0,0,0,0,0,1
"Lysias",0,0,1,0,0,13,0,1,0,0,1,0,3
"OdHomer",0,0,0,0,0,0,21,0,0,0,0,0,0
"Plutarch",0,1,1,0,0,0,0,12,1,0,0,1,4
"Polybius",0,0,0,0,0,0,0,0,11,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,21,0,0,1
"Thucydides",0,0,1,0,0,2,0,0,0,0,11,0,3
"Xenophon",0,0,3,0,0,4,0,1,1,0,3,9,12
"-SUM-",1,1,6,0,5,7,2,2,7,5,6,1,43
"Aeschylus",15,0,0,0,1,0,0,0,0,3,0,0,4
"Diodorus",0,16,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,13,0,0,0,0,0,0,0,3,1,4
"Hesiod",0,0,0,10,7,0,0,0,0,0,0,0,7
"IlHomer",0,0,0,1,18,0,1,0,0,0,0,0,2
"Lysias",0,0,3,0,0,10,0,0,0,0,1,0,4
"OdHomer",0,0,0,0,0,0,15,0,0,0,0,0,0
"Plutarch",0,1,0,0,0,0,0,12,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,16,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,20,0,0,1
"Thucydides",0,0,2,0,0,3,0,1,1,0,14,1,8
"Xenophon",0,1,0,0,0,2,0,0,0,0,1,10,4
"-SUM-",1,2,5,1,8,5,1,1,3,3,5,2,37
"Aeschylus",16,0,0,0,1,0,0,0,0,3,0,0,4
"Diodorus",0,11,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,18,0,0,0,0,1,0,0,1,1,3
"Hesiod",0,0,0,13,7,0,1,0,0,0,0,0,8
"IlHomer",0,0,0,0,22,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,9,0,0,0,0,1,1,4
"OdHomer",0,0,0,0,0,0,14,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,1,0,13,3,0,1,0,5
"Polybius",0,0,0,0,0,0,0,1,13,0,1,0,2
"Sophocles",0,0,0,0,0,0,1,0,0,13,0,0,1
"Thucydides",0,1,2,0,0,0,0,2,0,0,13,0,5
"Xenophon",0,1,1,0,0,1,0,0,0,0,4,10,7
"-SUM-",0,2,5,0,8,2,2,4,5,3,8,2,41
"Aeschylus",16,0,0,1,0,0,0,0,0,0,0,0,1
"Diodorus",0,15,0,0,0,0,0,0,3,0,1,0,4
"Herodotus",0,0,15,0,0,1,0,0,0,0,1,2,4
"Hesiod",0,0,0,9,2,0,1,0,0,0,0,0,3
"IlHomer",0,0,0,0,19,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,11,0,1,0,0,0,3,5
"OdHomer",0,0,0,1,3,0,19,0,0,0,0,0,4
"Plutarch",0,1,1,0,0,0,0,14,2,0,1,1,6
"Polybius",0,2,0,0,0,0,0,0,14,0,0,0,2
"Sophocles",3,0,0,0,0,0,0,0,0,17,0,0,3
"Thucydides",0,0,2,0,0,0,0,1,0,0,7,0,3
"Xenophon",0,1,3,0,0,0,0,0,0,0,2,9,6
"-SUM-",3,4,7,2,5,1,1,2,5,0,5,6,41
"Aeschylus",19,0,0,0,0,0,1,0,0,1,0,0,2
"Diodorus",0,12,0,0,0,0,0,0,3,0,1,0,4
"Herodotus",0,0,20,0,0,1,0,0,0,0,0,2,3
"Hesiod",0,0,0,13,2,0,2,0,0,0,0,0,4
"IlHomer",0,0,0,0,21,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,20,0,0,0,0,2,1,3
"OdHomer",0,0,0,0,1,0,10,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,8,0,0,0,0,0
"Polybius",0,1,0,0,0,0,0,1,13,0,0,1,3
"Sophocles",0,0,0,0,0,0,0,0,0,15,0,0,0
"Thucydides",0,1,0,0,0,1,0,2,0,0,14,2,6
"Xenophon",0,0,1,0,0,4,0,0,0,0,3,7,8
"-SUM-",0,2,1,0,3,6,3,3,3,1,6,6,34
"Aeschylus",13,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,19,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,11,0,0,1,0,1,0,0,0,2,4
"Hesiod",0,0,0,9,2,0,1,0,0,0,0,0,3
"IlHomer",0,0,0,1,17,0,0,0,0,0,0,0,1
"Lysias",0,0,4,0,0,10,0,0,0,0,1,0,5
"OdHomer",0,0,0,1,0,0,16,0,0,1,0,0,2
"Plutarch",0,0,0,0,0,0,0,14,0,0,1,0,1
"Polybius",0,0,0,0,0,0,0,0,15,0,0,0,0
"Sophocles",3,0,0,0,0,0,0,0,0,24,0,0,3
"Thucydides",0,1,3,0,0,0,0,1,0,0,12,1,6
"Xenophon",0,1,2,0,0,1,0,0,2,0,5,6,11
"-SUM-",3,2,9,2,2,2,1,2,4,3,7,3,40
"Aeschylus",20,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,11,0,0,0,0,0,0,6,0,0,0,6
"Herodotus",0,1,16,0,0,0,0,0,0,0,2,2,5
"Hesiod",0,0,0,9,2,0,1,0,0,1,0,0,4
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,11,0,0,0,0,1,2,3
"OdHomer",0,0,0,0,0,0,18,0,0,0,0,0,0
"Plutarch",0,1,0,0,0,0,0,12,1,0,1,0,3
"Polybius",0,0,0,0,0,0,0,0,16,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,18,0,0,0
"Thucydides",0,2,2,0,0,2,0,1,0,0,11,2,9
"Xenophon",0,1,2,0,0,4,0,1,1,0,1,9,10
"-SUM-",0,5,4,0,2,6,1,2,8,1,5,6,40
"Aeschylus",17,0,0,1,0,0,0,0,0,1,0,0,2
"Diodorus",0,12,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,16,0,0,0,0,1,0,0,0,2,3
"Hesiod",0,0,0,11,2,0,2,0,0,0,0,0,4
"IlHomer",0,0,0,0,18,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,9,0,0,0,0,0,0,2
"OdHomer",0,0,0,0,0,0,13,0,0,0,0,0,0
"Plutarch",0,1,2,0,0,0,0,21,0,0,1,0,4
"Polybius",0,0,0,0,0,0,0,2,17,0,0,0,2
"Sophocles",2,0,0,0,0,0,0,0,0,19,0,0,2
"Thucydides",0,0,1,0,0,3,0,0,0,0,11,1,5
"Xenophon",0,0,3,0,0,2,0,1,2,0,3,6,11
"-SUM-",2,1,8,1,2,5,2,4,3,1,4,3,36
"Aeschylus",15,0,0,0,0,0,1,0,0,1,0,0,2
"Diodorus",0,18,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,17,0,0,0,0,0,0,0,0,1,1
"Hesiod",0,0,0,11,5,0,1,0,0,0,0,0,6
"IlHomer",0,0,0,1,20,0,0,0,0,0,0,0,1
"Lysias",0,0,2,0,0,16,0,0,0,0,1,0,3
"OdHomer",0,0,0,1,0,0,17,0,0,0,0,0,1
"Plutarch",0,0,1,0,0,0,0,14,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,1,14,0,1,0,2
"Sophocles",3,0,0,0,0,0,0,0,0,12,0,0,3
"Thucydides",0,0,3,0,0,0,0,0,1,0,9,3,7
"Xenophon",0,0,1,0,0,0,0,0,1,0,0,12,2
"-SUM-",3,0,7,2,5,0,2,1,4,1,2,4,31
"Aeschylus",11,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,14,0,0,0,0,0,0,2,0,1,0,3
"Herodotus",0,0,15,0,0,1,0,0,0,0,0,2,3
"Hesiod",0,0,0,8,10,0,0,0,0,0,0,0,10
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,13,0,0,0,0,0,0,1
"OdHomer",0,0,0,0,1,0,11,0,0,0,0,0,1
"Plutarch",0,1,2,0,0,0,0,11,0,0,0,1,4
"Polybius",0,0,0,0,0,1,0,1,15,0,0,0,2
"Sophocles",2,0,0,0,0,0,0,0,0,23,0,0,2
"Thucydides",0,0,1,0,0,0,0,1,0,0,14,3,5
"Xenophon",0,0,0,0,0,2,0,1,1,0,4,10,8
"-SUM-",2,1,4,0,11,4,0,3,3,2,5,6,41
"Aeschylus",17,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,12,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,13,0,0,2,0,0,1,0,1,0,4
"Hesiod",0,0,0,10,6,0,1,0,0,0,0,0,7
"IlHomer",0,0,0,2,30,0,1,0,0,0,0,0,3
"Lysias",0,0,0,0,0,14,0,0,0,0,2,1,3
"OdHomer",0,0,0,0,0,0,15,0,0,0,0,0,0
"Plutarch",0,1,0,0,0,0,0,9,1,0,2,0,4
"Polybius",0,1,0,0,0,1,0,1,16,0,0,1,4
"Sophocles",1,0,0,0,0,0,0,0,0,15,0,0,1
"Thucydides",0,0,1,0,0,0,0,0,0,0,13,1,2
"Xenophon",0,0,1,0,0,3,0,0,0,0,5,5,9
"-SUM-",1,2,2,2,6,6,2,1,2,0,10,3,37
"Aeschylus",15,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,13,0,0,0,0,0,0,2,0,1,0,3
"Herodotus",0,1,10,0,0,0,0,0,0,0,0,1,2
"Hesiod",0,0,0,13,8,0,1,0,0,0,0,0,9
"IlHomer",0,0,0,0,18,0,1,0,0,0,0,0,1
"Lysias",0,0,2,0,0,17,0,0,0,0,2,4,8
"OdHomer",0,0,0,0,0,0,19,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,6,1,0,0,0,2
"Polybius",0,0,0,0,0,0,0,0,18,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,18,0,0,0
"Thucydides",0,1,0,0,0,1,0,0,0,0,14,0,2
"Xenophon",0,0,2,0,0,1,0,1,1,0,4,7,9
"-SUM-",0,2,5,0,8,2,2,1,4,2,7,5,38
"Aeschylus",14,0,0,1,0,0,1,0,0,2,0,0,4
"Diodorus",0,14,0,0,0,0,0,0,4,0,0,0,4
"Herodotus",0,0,13,0,0,0,0,1,1,0,1,1,4
"Hesiod",0,0,0,12,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,14,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,19,0,0,0,0,1,1,3
"OdHomer",0,0,0,0,1,0,20,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,11,3,0,2,0,5
"Polybius",0,1,0,0,0,0,0,0,16,0,0,0,1
"Sophocles",2,0,0,0,0,0,0,0,0,15,0,0,2
"Thucydides",0,1,2,0,0,1,0,0,0,0,13,0,4
"Xenophon",0,0,1,0,0,2,0,0,1,0,1,10,5
"-SUM-",2,2,4,1,2,3,2,1,9,2,5,2,35
"Aeschylus",15,0,0,0,0,0,0,0,0,3,0,0,3
"Diodorus",0,9,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,1,12,0,0,1,0,0,0,0,0,0,2
"Hesiod",0,0,0,5,6,0,0,0,0,0,0,0,6
"IlHomer",0,0,0,0,18,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,14,0,0,0,0,2,2,5
"OdHomer",0,0,0,1,1,0,15,0,0,0,0,0,2
"Plutarch",0,0,1,0,0,0,0,15,0,0,0,0,1
"Polybius",0,0,0,0,0,1,0,1,20,0,0,0,2
"Sophocles",0,0,0,0,0,0,0,0,0,18,0,0,0
"Thucydides",0,0,2,0,0,5,0,0,0,0,14,1,8
"Xenophon",0,1,2,0,0,6,0,0,1,0,1,10,11
"-SUM-",0,2,6,1,7,13,0,1,2,3,3,3,41
"Aeschylus",11,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,17,0,0,0,0,0,0,2,0,1,0,3
"Herodotus",0,0,17,0,0,0,0,1,0,0,1,0,2
"Hesiod",0,0,0,7,5,0,0,0,0,0,0,0,5
"IlHomer",0,0,0,0,22,0,0,0,0,0,0,0,0
"Lysias",0,0,7,0,0,9,0,0,0,0,0,0,7
"OdHomer",0,0,0,0,2,0,16,0,0,0,0,0,2
"Plutarch",0,1,1,0,0,0,0,8,1,0,1,0,4
"Polybius",0,0,0,0,0,0,0,0,19,0,1,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,13,0,0,0
"Thucydides",0,1,2,0,0,1,0,1,1,0,15,0,6
"Xenophon",0,2,3,0,0,3,0,0,1,0,1,11,10
"-SUM-",0,4,13,0,7,4,0,2,5,1,5,0,41
"Aeschylus",26,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,17,0,0,0,0,0,0,4,0,0,0,4
"Herodotus",0,0,17,0,0,1,0,0,1,0,0,1,3
"Hesiod",0,0,0,10,7,0,1,0,0,0,0,0,8
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,10,0,0,0,0,1,0,2
"OdHomer",0,0,0,1,1,0,16,0,0,0,0,0,2
"Plutarch",0,2,0,0,0,0,0,11,2,0,0,0,4
"Polybius",0,0,0,0,0,0,0,1,18,0,0,0,1
"Sophocles",1,0,0,0,0,0,1,0,0,16,0,0,2
"Thucydides",0,0,2,0,0,3,0,0,0,0,9,0,5
"Xenophon",0,1,1,0,0,1,0,0,2,0,1,2,6
"-SUM-",1,3,4,1,8,5,2,1,9,2,2,1,39
"Aeschylus",17,0,0,0,0,0,0,0,0,3,0,0,3
"Diodorus",0,10,0,0,0,0,0,0,5,0,0,0,5
"Herodotus",0,0,14,0,0,0,0,0,0,0,0,1,1
"Hesiod",0,0,0,12,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,18,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,15,0,0,0,0,1,0,1
"OdHomer",1,0,0,0,1,0,10,0,0,0,0,0,2
"Plutarch",0,1,1,0,0,0,0,19,0,0,0,0,2
"Polybius",0,0,1,0,0,0,0,3,19,0,0,0,4
"Sophocles",2,0,0,0,0,0,0,0,0,17,0,0,2
"Thucydides",0,0,1,0,0,1,0,1,0,0,9,1,4
"Xenophon",0,0,3,0,0,1,0,1,0,0,2,13,7
"-SUM-",3,1,6,0,2,2,1,5,5,3,3,2,33
"Aeschylus",10,0,0,0,0,0,1,0,0,1,0,0,2
"Diodorus",0,20,0,0,0,0,0,0,3,0,0,0,3
"Herodotus",0,0,14,0,0,1,0,0,1,0,0,1,3
"Hesiod",1,0,0,11,3,0,1,0,0,0,0,0,5
"IlHomer",0,0,0,0,20,0,1,0,0,0,0,0,1
"Lysias",0,0,1,0,0,11,0,0,0,0,1,2,4
"OdHomer",0,0,0,0,0,0,23,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,8,0,0,1,0,1
"Polybius",0,0,1,0,0,0,0,0,16,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,14,0,0,1
"Thucydides",0,1,6,0,0,1,0,0,0,0,13,2,10
"Xenophon",0,0,2,0,0,0,0,0,0,0,3,10,5
"-SUM-",2,1,10,0,3,2,3,0,4,1,5,5,36
"Aeschylus",17,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,12,0,0,0,0,0,0,4,0,1,0,5
"Herodotus",0,1,14,0,0,0,0,0,1,0,2,4,8
"Hesiod",1,0,0,8,5,0,0,0,0,1,0,0,7
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,14,0,0,0,0,1,1,3
"OdHomer",0,0,0,1,0,0,17,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,12,3,0,1,0,4
"Polybius",0,0,0,0,0,1,0,0,14,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,17,0,0,1
"Thucydides",0,0,2,0,0,0,0,0,0,0,17,0,2
"Xenophon",0,0,1,0,0,2,0,0,1,0,0,8,4
"-SUM-",2,1,4,1,5,3,0,0,9,1,5,5,36
"Aeschylus",12,0,0,0,1,0,0,0,0,0,0,0,1
"Diodorus",0,20,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,16,0,0,0,0,0,1,0,0,2,3
"Hesiod",0,0,0,9,6,0,1,0,0,0,0,0,7
"IlHomer",0,0,0,1,22,0,0,0,0,0,0,0,1
"Lysias",0,0,1,0,0,14,0,1,0,0,0,0,2
"OdHomer",0,0,0,0,3,0,20,0,0,0,0,0,3
"Plutarch",0,0,0,0,0,0,0,17,1,0,0,0,1
"Polybius",0,0,0,0,0,1,0,0,21,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,10,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,1,0,10,1,2
"Xenophon",0,0,0,0,0,3,0,0,1,0,3,5,7
"-SUM-",0,0,1,1,10,4,1,1,6,0,3,3,30
"Aeschylus",9,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,16,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,15,0,0,1,0,0,1,0,2,0,4
"Hesiod",0,0,0,11,5,0,1,0,0,0,0,0,6
"IlHomer",0,0,0,0,9,0,0,0,0,0,0,0,0
"Lysias",0,0,6,0,0,9,0,0,0,0,1,0,7
"OdHomer",0,0,0,0,1,0,24,0,0,0,0,0,1
"Plutarch",0,1,1,0,0,0,0,14,2,0,0,0,4
"Polybius",0,0,0,0,0,0,0,1,17,0,0,0,1
"Sophocles",2,0,0,0,0,0,0,0,0,13,0,0,2
"Thucydides",0,1,3,0,0,3,0,2,1,0,13,0,10
"Xenophon",0,0,2,0,0,4,0,0,0,0,2,13,8
"-SUM-",2,2,12,0,6,8,1,3,4,0,5,0,43
"Aeschylus",13,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,17,0,0,0,0,0,0,3,0,1,0,4
"Herodotus",0,1,12,0,0,0,0,0,0,0,1,1,3
"Hesiod",0,0,0,13,6,0,2,0,0,0,0,0,8
"IlHomer",0,0,0,0,16,0,0,0,0,0,0,0,0
"Lysias",0,0,3,0,0,10,0,0,0,0,1,1,5
"OdHomer",0,0,0,1,0,0,15,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,13,0,0,1,0,1
"Polybius",0,0,0,0,0,1,0,0,25,0,1,0,2
"Sophocles",1,0,0,0,0,0,0,0,0,16,0,0,1
"Thucydides",0,0,0,0,0,2,0,0,0,0,10,1,3
"Xenophon",0,1,0,0,0,3,0,1,1,0,3,7,9
"-SUM-",1,2,3,1,6,6,2,1,4,2,8,3,39
"Aeschylus",14,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,12,0,0,0,0,0,0,2,0,1,0,3
"Herodotus",0,1,24,0,0,0,0,1,1,0,0,0,3
"Hesiod",1,0,0,11,3,0,1,0,0,1,0,0,6
"IlHomer",0,0,0,0,16,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,15,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,1,0,14,0,0,0,0,0,1
"Plutarch",0,0,2,0,0,0,0,17,1,0,1,0,4
"Polybius",0,1,0,0,0,0,0,0,14,0,0,1,2
"Sophocles",3,0,0,0,0,0,0,0,0,16,0,0,3
"Thucydides",0,0,3,0,0,2,0,0,1,0,6,0,6
"Xenophon",0,1,2,0,0,2,0,0,2,0,2,7,9
"-SUM-",4,3,8,0,4,4,1,1,7,2,5,1,40
"Aeschylus",15,0,0,1,0,0,0,0,0,0,0,0,1
"Diodorus",0,16,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,1,13,0,0,0,0,0,0,0,1,2,4
"Hesiod",0,0,0,12,2,0,1,0,0,0,0,0,3
"IlHomer",0,0,0,0,16,0,0,0,0,0,0,0,0
"Lysias",0,0,4,0,0,13,0,0,0,0,1,1,6
"OdHomer",0,0,0,0,0,0,14,0,0,0,0,0,0
"Plutarch",0,0,2,0,0,1,0,12,2,0,0,0,5
"Polybius",0,0,0,0,0,0,0,1,20,0,0,1,2
"Sophocles",1,0,0,0,0,0,0,0,0,19,0,0,1
"Thucydides",0,0,1,0,0,1,0,0,0,0,13,1,3
"Xenophon",0,1,0,0,0,3,0,0,2,0,4,8,10
"-SUM-",1,2,7,1,2,5,1,1,4,0,6,5,35
"Aeschylus",20,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,12,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,1,11,0,0,0,0,1,0,0,1,1,4
"Hesiod",0,0,0,10,7,0,0,0,0,0,0,0,7
"IlHomer",0,0,0,0,16,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,16,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,24,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,7,2,0,0,0,2
"Polybius",0,0,0,0,0,0,0,2,10,0,0,0,2
"Sophocles",2,0,0,0,0,0,0,0,0,22,0,0,2
"Thucydides",0,0,2,0,0,2,0,1,1,0,10,1,7
"Xenophon",0,1,2,0,0,3,0,0,1,0,3,10,10
"-SUM-",2,2,4,0,7,5,0,4,6,2,4,2,38
"Aeschylus",14,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,15,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,1,12,0,0,1,0,0,0,0,1,1,4
"Hesiod",0,0,0,6,7,0,1,0,0,1,0,0,9
"IlHomer",0,0,0,1,25,0,0,0,0,0,0,0,1
"Lysias",0,0,1,0,0,7,0,0,0,0,2,1,4
"OdHomer",0,0,0,0,0,0,20,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,13,2,0,2,0,5
"Polybius",0,0,0,0,0,0,0,0,12,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,20,0,0,1
"Thucydides",0,1,1,0,0,1,0,0,0,0,12,2,5
"Xenophon",0,1,0,0,0,2,0,1,1,0,4,9,9
"-SUM-",1,3,3,1,7,4,1,1,5,2,9,4,41
"Aeschylus",16,0,0,0,1,0,0,0,0,2,0,0,3
"Diodorus",0,14,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,16,0,0,0,0,0,1,0,1,2,4
"Hesiod",0,0,0,10,6,0,2,0,0,0,0,0,8
"IlHomer",0,0,0,0,23,0,1,0,0,0,0,0,1
"Lysias",0,0,2,0,0,14,0,0,0,0,1,1,4
"OdHomer",0,0,0,0,1,0,17,0,0,0,0,0,1
"Plutarch",0,2,1,0,0,0,0,11,2,0,1,0,6
"Polybius",0,1,0,0,0,1,0,0,17,0,0,0,2
"Sophocles",0,0,0,0,0,0,0,0,0,10,0,0,0
"Thucydides",0,1,2,0,0,1,0,2,0,0,7,0,6
"Xenophon",0,0,0,0,0,2,0,0,1,0,4,8,7
"-SUM-",0,4,5,0,8,4,3,2,5,2,7,3,43
"Aeschylus",12,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,18,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,15,0,0,0,0,0,0,0,0,1,1
