"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Hesiod",0,0,0,8,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,18,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,9,0,0,0,0,2,1,5
"OdHomer",0,0,0,0,2,0,12,0,0,0,0,0,2
"Plutarch",0,0,0,0,0,0,0,9,1,0,1,0,2
"Polybius",0,0,0,0,0,0,0,1,16,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,14,0,0,1
"Thucydides",0,0,1,0,0,1,0,0,0,0,10,0,2
"Xenophon",0,0,0,0,0,3,0,0,0,0,3,10,6
"-SUM-",1,0,3,0,3,5,1,1,4,1,6,1,26
"Aeschylus",14,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,15,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,11,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,11,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,3,0,0,12,0,0,0,0,0,0,3
"OdHomer",0,0,0,0,2,0,14,0,0,0,0,0,2
"Plutarch",0,0,1,0,0,0,0,7,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,22,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,16,0,0,1
"Thucydides",0,0,0,0,0,1,0,1,0,0,13,1,3
"Xenophon",0,0,0,0,0,0,0,0,0,0,3,7,3
"-SUM-",1,0,4,0,4,1,0,1,0,0,3,1,15
"Aeschylus",16,0,0,0,1,0,0,0,0,2,0,0,3
"DiodSic",0,18,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,8,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,12,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,24,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,12,0,0,0,0,2,0,2
"OdHomer",0,0,0,0,1,0,14,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,14,1,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,13,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,10,0,0,0
"Thucydides",0,0,0,0,0,0,0,0,0,0,11,1,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,3,5,3
"-SUM-",0,0,0,0,3,0,1,0,3,2,5,1,15
"Aeschylus",18,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,10,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,5,0,0,1,0,0,0,0,0,0,1
"Hesiod",0,0,0,9,6,0,4,0,0,0,0,0,10
"IlHomer",0,0,0,0,13,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,14,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,1,0,13,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,10,0,0,1,0,1
"Polybius",0,0,0,0,0,0,0,1,16,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,15,0,0,1
"Thucydides",0,1,1,0,0,0,0,0,0,0,11,0,2
"Xenophon",0,1,1,0,0,2,0,0,1,0,6,7,11
"-SUM-",1,2,3,0,7,3,4,1,2,0,8,0,31
"Aeschylus",12,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,16,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,11,0,0,1,0,0,0,0,0,0,1
"Hesiod",1,0,0,11,2,0,1,0,0,0,0,0,4
"IlHomer",0,0,0,0,23,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,9,0,0,0,0,1,1,2
"OdHomer",0,0,0,0,0,0,15,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,11,0,0,0,1,1
"Polybius",0,1,0,0,0,0,0,0,15,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,15,0,0,0
"Thucydides",0,0,0,0,0,1,0,0,0,0,13,1,2
"Xenophon",0,0,0,0,0,0,0,0,0,0,2,8,2
"-SUM-",1,1,0,0,2,2,1,0,0,0,3,3,13
"Aeschylus",14,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,12,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,18,0,0,0,0,0,0,0,1,1,2
"Hesiod",1,0,0,9,2,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,0,13,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,11,0,0,0,0,4,2,8
"OdHomer",0,0,0,0,0,0,16,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,11,0,0,0,0,0
"Polybius",0,1,0,0,0,0,0,0,10,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,12,0,0,1
"Thucydides",0,2,1,0,0,0,0,1,0,0,10,1,5
"Xenophon",0,1,0,0,0,0,0,1,3,0,1,9,6
"-SUM-",2,4,3,0,2,0,0,2,4,0,6,4,27
"Aeschylus",13,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,17,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,20,0,0,1,0,0,0,0,0,1,2
"Hesiod",1,0,0,9,2,0,2,0,0,0,0,0,5
"IlHomer",0,0,0,0,12,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,8,0,0,0,0,0,1,3
"OdHomer",0,0,0,0,1,0,11,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,12,0,0,0,0,0
"Polybius",0,1,0,0,0,0,0,0,14,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,12,0,0,0
"Thucydides",0,1,2,0,0,1,0,1,0,0,14,0,5
"Xenophon",0,0,1,0,0,1,0,0,0,0,3,8,5
"-SUM-",1,2,5,0,3,3,2,1,0,0,3,2,22
"Aeschylus",16,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,12,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,12,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,9,6,0,3,0,0,0,0,0,9
"IlHomer",0,0,0,0,14,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,12,0,0,0,0,1,1,4
"OdHomer",0,0,0,0,1,0,12,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,9,1,0,0,0,1
"Polybius",0,1,0,0,0,0,0,0,11,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,20,0,0,1
"Thucydides",0,1,2,0,0,0,0,0,0,0,12,0,3
"Xenophon",0,0,2,0,0,1,0,0,0,0,1,8,4
"-SUM-",1,2,6,0,7,1,3,0,2,0,2,1,25
"Aeschylus",23,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,10,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,12,0,0,1,0,0,0,0,0,0,1
"Hesiod",0,0,0,9,0,0,1,0,0,0,0,0,1
"IlHomer",0,0,0,0,11,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,11,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,1,0,16,0,0,0,0,0,1
"Plutarch",0,1,0,0,0,0,0,12,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,17,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,16,0,0,1
"Thucydides",0,2,1,0,0,0,0,0,0,0,9,1,4
