author_rate,chunk_rate,chunk_ref,
0.2,0.0016,Herodotus_Book1-113,
0.2,0.0016,Herodotus_Book1-114,
0.2,0.0016,Herodotus_Book1-115,
0.2,0.0016,Herodotus_Book1-116,
0.2,0.0016,Herodotus_Book1-117,
0.2,0.0016,Herodotus_Book1-118,
0.2,0.0016,Herodotus_Book1-119,
0.2,0.0016,Herodotus_Book1-12,
0.2,0.0016,Herodotus_Book1-120,
0.2,0.0016,Herodotus_Book1-121,
0.2,0.0016,Herodotus_Book1-122,
0.2,0.0016,Herodotus_Book1-123,
0.2,0.0016,Herodotus_Book1-124,
0.2,0.0016,Herodotus_Book1-125,
0.2,0.0016,Herodotus_Book1-13,
0.2,0.0016,Herodotus_Book1-14,
0.2,0.0016,Herodotus_Book1-15,
0.2,0.0016,Herodotus_Book1-16,
0.2,0.0016,Herodotus_Book1-17,
0.2,0.0016,Herodotus_Book1-18,
0.2,0.0016,Herodotus_Book1-19,
0.2,0.0016,Herodotus_Book1-2,
0.2,0.0016,Herodotus_Book1-20,
0.2,0.0016,Herodotus_Book1-21,
0.2,0.0016,Herodotus_Book1-22,
0.2,0.0016,Herodotus_Book1-23,
0.2,0.0016,Herodotus_Book1-24,
0.2,0.0016,Herodotus_Book1-25,
0.2,0.0016,Herodotus_Book1-26,
0.2,0.0016,Herodotus_Book1-27,
0.2,0.0016,Herodotus_Book1-28,
0.2,0.0016,Herodotus_Book1-29,
0.2,0.0016,Herodotus_Book1-3,
0.2,0.0016,Herodotus_Book1-30,
0.2,0.0016,Herodotus_Book1-31,
0.2,0.0016,Herodotus_Book1-32,
0.2,0.0016,Herodotus_Book1-33,
0.2,0.0016,Herodotus_Book1-34,
0.2,0.0016,Herodotus_Book1-35,
0.2,0.0016,Herodotus_Book1-36,
0.2,0.0016,Herodotus_Book1-37,
0.2,0.0016,Herodotus_Book1-38,
0.2,0.0016,Herodotus_Book1-39,
0.2,0.0016,Herodotus_Book1-4,
0.2,0.0016,Herodotus_Book1-40,
0.2,0.0016,Herodotus_Book1-41,
0.2,0.0016,Herodotus_Book1-42,
0.2,0.0016,Herodotus_Book1-43,
0.2,0.0016,Herodotus_Book1-44,
0.2,0.0016,Herodotus_Book1-45,
0.2,0.0016,Herodotus_Book1-46,
0.2,0.0016,Herodotus_Book1-47,
0.2,0.0016,Herodotus_Book1-48,
0.2,0.0016,Herodotus_Book1-49,
0.2,0.0016,Herodotus_Book1-5,
0.2,0.0016,Herodotus_Book1-50,
0.2,0.0016,Herodotus_Book1-51,
0.2,0.0016,Herodotus_Book1-52,
0.2,0.0016,Herodotus_Book1-53,
0.2,0.0016,Herodotus_Book1-54,
0.2,0.0016,Herodotus_Book1-55,
0.2,0.0016,Herodotus_Book1-56,
0.2,0.0016,Herodotus_Book1-57,
0.2,0.0016,Herodotus_Book1-58,
0.2,0.0016,Herodotus_Book1-59,
0.2,0.0016,Herodotus_Book1-6,
0.2,0.0016,Herodotus_Book1-60,
0.2,0.0016,Herodotus_Book1-61,
0.2,0.0016,Herodotus_Book1-62,
0.2,0.0016,Herodotus_Book1-63,
0.2,0.0016,Herodotus_Book1-64,
0.2,0.0016,Herodotus_Book1-65,
0.2,0.0016,Herodotus_Book1-66,
0.2,0.0016,Herodotus_Book1-67,
0.2,0.0016,Herodotus_Book1-68,
0.2,0.0016,Herodotus_Book1-69,
0.2,0.0016,Herodotus_Book1-7,
0.2,0.0016,Herodotus_Book1-70,
0.2,0.0016,Herodotus_Book1-71,
0.2,0.0016,Herodotus_Book1-72,
0.2,0.0016,Herodotus_Book1-73,
0.2,0.0016,Herodotus_Book1-74,
0.2,0.0016,Herodotus_Book1-75,
0.2,0.0016,Herodotus_Book1-76,
0.2,0.0016,Herodotus_Book1-77,
0.2,0.0016,Herodotus_Book1-78,
0.2,0.0016,Herodotus_Book1-79,
0.2,0.0016,Herodotus_Book1-8,
0.2,0.0016,Herodotus_Book1-80,
0.2,0.0016,Herodotus_Book1-81,
0.2,0.0016,Herodotus_Book1-82,
0.2,0.0016,Herodotus_Book1-83,
0.2,0.0016,Herodotus_Book1-84,
0.2,0.0016,Herodotus_Book1-85,
0.2,0.0016,Herodotus_Book1-86,
0.2,0.0016,Herodotus_Book1-87,
0.2,0.0016,Herodotus_Book1-88,
0.2,0.0016,Herodotus_Book1-89,
0.2,0.0016,Herodotus_Book1-9,
0.2,0.0016,Herodotus_Book1-90,
0.2,0.0016,Herodotus_Book1-91,
0.2,0.0016,Herodotus_Book1-92,
0.2,0.0016,Herodotus_Book1-93,
0.2,0.0016,Herodotus_Book1-94,
0.2,0.0016,Herodotus_Book1-95,
0.2,0.0016,Herodotus_Book1-96,
0.2,0.0016,Herodotus_Book1-97,
0.2,0.0016,Herodotus_Book1-98,
0.2,0.0016,Herodotus_Book1-99,
0.2,0.002409639,Plutarch_Alcibiades-1,83
0.2,0.002409639,Plutarch_Alcibiades-10,
0.2,0.002409639,Plutarch_Alcibiades-11,
0.2,0.002409639,Plutarch_Alcibiades-12,
0.2,0.002409639,Plutarch_Alcibiades-13,
0.2,0.002409639,Plutarch_Alcibiades-14,
0.2,0.002409639,Plutarch_Alcibiades-15,
0.2,0.002409639,Plutarch_Alcibiades-16,
0.2,0.002409639,Plutarch_Alcibiades-17,
0.2,0.002409639,Plutarch_Alcibiades-18,
0.2,0.002409639,Plutarch_Alcibiades-19,
0.2,0.002409639,Plutarch_Alcibiades-2,
0.2,0.002409639,Plutarch_Alcibiades-20,
0.2,0.002409639,Plutarch_Alcibiades-21,
0.2,0.002409639,Plutarch_Alcibiades-22,
0.2,0.002409639,Plutarch_Alcibiades-23,
0.2,0.002409639,Plutarch_Alcibiades-24,
0.2,0.002409639,Plutarch_Alcibiades-25,
0.2,0.002409639,Plutarch_Alcibiades-26,
0.2,0.002409639,Plutarch_Alcibiades-27,
0.2,0.002409639,Plutarch_Alcibiades-28,
0.2,0.002409639,Plutarch_Alcibiades-29,
0.2,0.002409639,Plutarch_Alcibiades-3,
0.2,0.002409639,Plutarch_Alcibiades-30,
0.2,0.002409639,Plutarch_Alcibiades-31,
0.2,0.002409639,Plutarch_Alcibiades-32,
0.2,0.002409639,Plutarch_Alcibiades-33,
0.2,0.002409639,Plutarch_Alcibiades-34,
0.2,0.002409639,Plutarch_Alcibiades-35,
0.2,0.002409639,Plutarch_Alcibiades-36,
0.2,0.002409639,Plutarch_Alcibiades-37,
0.2,0.002409639,Plutarch_Alcibiades-38,
0.2,0.002409639,Plutarch_Alcibiades-39,
0.2,0.002409639,Plutarch_Alcibiades-4,
0.2,0.002409639,Plutarch_Alcibiades-40,
0.2,0.002409639,Plutarch_Alcibiades-41,
0.2,0.002409639,Plutarch_Alcibiades-42,
0.2,0.002409639,Plutarch_Alcibiades-43,
0.2,0.002409639,Plutarch_Alcibiades-5,
0.2,0.002409639,Plutarch_Alcibiades-6,
0.2,0.002409639,Plutarch_Alcibiades-7,
0.2,0.002409639,Plutarch_Alcibiades-8,
0.2,0.002409639,Plutarch_Alcibiades-9,
0.2,0.002409639,Plutarch_Lycurgus-1,
0.2,0.002409639,Plutarch_Lycurgus-10,
0.2,0.002409639,Plutarch_Lycurgus-11,
0.2,0.002409639,Plutarch_Lycurgus-12,
0.2,0.002409639,Plutarch_Lycurgus-13,
0.2,0.002409639,Plutarch_Lycurgus-14,
0.2,0.002409639,Plutarch_Lycurgus-15,
0.2,0.002409639,Plutarch_Lycurgus-16,
0.2,0.002409639,Plutarch_Lycurgus-17,
0.2,0.002409639,Plutarch_Lycurgus-18,
0.2,0.002409639,Plutarch_Lycurgus-19,
0.2,0.002409639,Plutarch_Lycurgus-2,
0.2,0.002409639,Plutarch_Lycurgus-20,
0.2,0.002409639,Plutarch_Lycurgus-21,
0.2,0.002409639,Plutarch_Lycurgus-22,
0.2,0.002409639,Plutarch_Lycurgus-23,
0.2,0.002409639,Plutarch_Lycurgus-24,
0.2,0.002409639,Plutarch_Lycurgus-25,
0.2,0.002409639,Plutarch_Lycurgus-26,
0.2,0.002409639,Plutarch_Lycurgus-27,
0.2,0.002409639,Plutarch_Lycurgus-28,
0.2,0.002409639,Plutarch_Lycurgus-29,
0.2,0.002409639,Plutarch_Lycurgus-3,
0.2,0.002409639,Plutarch_Lycurgus-30,
0.2,0.002409639,Plutarch_Lycurgus-31,
0.2,0.002409639,Plutarch_Lycurgus-32,
0.2,0.002409639,Plutarch_Lycurgus-33,
0.2,0.002409639,Plutarch_Lycurgus-34,
0.2,0.002409639,Plutarch_Lycurgus-35,
0.2,0.002409639,Plutarch_Lycurgus-36,
0.2,0.002409639,Plutarch_Lycurgus-37,
0.2,0.002409639,Plutarch_Lycurgus-38,
0.2,0.002409639,Plutarch_Lycurgus-39,
0.2,0.002409639,Plutarch_Lycurgus-4,
0.2,0.002409639,Plutarch_Lycurgus-40,
0.2,0.002409639,Plutarch_Lycurgus-5,
0.2,0.002409639,Plutarch_Lycurgus-6,
0.2,0.002409639,Plutarch_Lycurgus-7,
0.2,0.002409639,Plutarch_Lycurgus-8,
0.2,0.002409639,Plutarch_Lycurgus-9,
0.2,0.000692042,Polybius_Book1-1,289
0.2,0.000692042,Polybius_Book1-10,
0.2,0.000692042,Polybius_Book1-100,
0.2,0.000692042,Polybius_Book1-101,
0.2,0.000692042,Polybius_Book1-102,
0.2,0.000692042,Polybius_Book1-103,
0.2,0.000692042,Polybius_Book1-104,
0.2,0.000692042,Polybius_Book1-105,
0.2,0.000692042,Polybius_Book1-106,
0.2,0.000692042,Polybius_Book1-107,
0.2,0.000692042,Polybius_Book1-108,
0.2,0.000692042,Polybius_Book1-11,
0.2,0.000692042,Polybius_Book1-12,
0.2,0.000692042,Polybius_Book1-13,
0.2,0.000692042,Polybius_Book1-14,
0.2,0.000692042,Polybius_Book1-15,
0.2,0.000692042,Polybius_Book1-16,
0.2,0.000692042,Polybius_Book1-17,
0.2,0.000692042,Polybius_Book1-18,
0.2,0.000692042,Polybius_Book1-19,
0.2,0.000692042,Polybius_Book1-2,
0.2,0.000692042,Polybius_Book1-20,
0.2,0.000692042,Polybius_Book1-21,
0.2,0.000692042,Polybius_Book1-22,
0.2,0.000692042,Polybius_Book1-23,
0.2,0.000692042,Polybius_Book1-24,
0.2,0.000692042,Polybius_Book1-25,
0.2,0.000692042,Polybius_Book1-26,
0.2,0.000692042,Polybius_Book1-27,
0.2,0.000692042,Polybius_Book1-28,
0.2,0.000692042,Polybius_Book1-29,
