author_rate,chunk_rate,chunk_ref
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
0.2,0.000823045,Diodorus
