author_rate,chunk_rate,chunk_ref,
0.2,0.002061856,Diodorus,97
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.002061856,Diodorus,
0.2,0.0016,Herodotus,125
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
0.2,0.0016,Herodotus,
