"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucycides","Xenophon","-SUM-"
"-SUM-",22,32,80,8,56,26,27,25,126,24,49,37,512
"Aeschylus",66,0,0,1,0,0,0,0,0,19,0,0,20
"Diodorus",0,44,7,0,0,0,1,2,32,0,1,0,43
"Herodotus",0,11,67,0,0,0,7,1,9,2,7,4,41
"Hesiod",6,0,0,49,16,14,0,1,0,3,0,0,40
"HomerIL",1,0,0,1,98,14,0,0,0,0,0,0,16
"HomerOD",0,0,0,4,17,72,0,0,0,0,0,0,21
"Lysias",0,3,17,0,0,0,49,3,13,0,5,16,57
"Plutarch",0,13,12,0,0,0,5,37,22,0,5,6,63
"Polybius",0,5,1,0,0,0,2,5,89,0,1,1,15
"Sophocles",13,0,0,0,6,0,0,0,0,75,0,0,19
"Thucycides",0,2,17,0,1,1,8,4,23,0,18,8,64
"Xenophon",0,7,14,0,0,0,14,7,11,0,5,28,58
"-SUM-",20,41,68,6,40,29,37,23,110,24,24,35,457
"Aeschylus",73,0,0,2,2,0,0,0,0,20,0,0,24
"Diodorus",0,31,6,0,0,0,0,4,43,0,2,3,58
"Herodotus",0,7,50,0,0,0,6,3,9,1,6,13,45
"Hesiod",15,0,0,50,14,12,0,0,0,2,0,0,43
"HomerIL",1,0,0,3,87,7,0,0,0,0,0,0,11
"HomerOD",0,0,0,5,20,70,0,0,0,1,0,0,26
"Lysias",1,0,14,0,0,0,58,1,9,3,11,8,47
"Plutarch",0,5,7,0,0,0,1,31,18,0,5,2,38
"Polybius",0,10,4,0,0,0,5,6,79,0,1,1,27
"Sophocles",21,0,0,1,3,1,3,0,0,70,1,0,30
"Thucycides",0,5,20,0,1,1,4,9,18,0,35,6,64
"Xenophon",0,7,20,0,0,0,16,5,9,0,14,31,71
"-SUM-",38,34,71,11,40,21,35,28,106,27,40,33,484
"Aeschylus",74,0,1,2,0,3,0,1,0,12,0,0,19
"Diodorus",0,39,7,0,0,0,0,4,35,0,3,6,55
"Herodotus",0,5,64,0,0,0,8,6,8,0,3,9,39
"Hesiod",6,0,0,54,20,14,0,0,0,7,0,0,47
"HomerIL",0,0,0,2,88,14,0,0,0,0,0,0,16
"HomerOD",0,0,0,3,18,71,0,0,0,0,0,0,21
"Lysias",1,3,12,0,0,1,45,1,11,0,3,10,42
"Plutarch",0,4,7,0,0,0,7,30,25,0,4,3,50
"Polybius",0,9,2,0,0,0,1,7,74,0,5,3,27
"Sophocles",27,0,0,2,1,2,0,0,1,70,0,0,33
"Thucycides",0,2,16,0,0,0,7,7,19,0,28,10,61
"Xenophon",0,8,17,0,0,0,17,6,17,1,10,26,76
"-SUM-",34,31,62,9,39,34,40,32,116,20,28,41,486
"Aeschylus",77,0,1,3,3,3,0,0,0,17,0,0,27
"Diodorus",0,33,6,0,0,0,3,1,44,0,4,3,61
"Herodotus",2,5,49,0,0,0,8,6,7,0,9,8,45
"Hesiod",5,0,0,41,25,8,0,1,0,4,0,0,43
"HomerIL",2,0,0,3,85,15,0,0,0,0,0,0,20
"HomerOD",0,0,0,4,30,71,0,0,0,1,0,0,35
"Lysias",1,5,15,0,0,1,38,5,14,1,7,11,60
"Plutarch",0,7,7,0,0,0,0,30,25,0,5,2,46
"Polybius",1,11,4,0,0,0,3,8,86,1,1,1,30
"Sophocles",20,0,0,1,0,2,3,0,0,66,0,0,26
"Thucycides",0,5,15,0,0,0,7,3,24,0,30,16,70
"Xenophon",0,3,9,0,0,1,14,3,9,0,15,26,54
"-SUM-",31,36,57,11,58,30,38,27,123,24,41,41,517
"Aeschylus",73,0,0,2,4,3,0,0,1,24,0,0,34
"Diodorus",0,28,9,0,0,0,1,3,52,0,2,3,70
"Herodotus",0,4,54,0,0,0,4,4,12,0,12,10,46
"Hesiod",7,0,0,46,20,8,0,0,0,7,0,0,42
"HomerIL",0,0,0,3,74,19,0,0,0,0,0,0,22
"HomerOD",1,0,0,2,20,77,0,0,0,0,0,0,23
"Lysias",0,0,16,0,0,1,48,2,10,1,6,12,48
"Plutarch",0,7,17,0,1,0,2,30,28,0,7,5,67
"Polybius",0,8,7,0,1,1,1,5,86,0,0,2,25
"Sophocles",21,0,0,1,2,0,0,0,0,59,0,0,24
"Thucycides",0,1,20,0,0,1,11,7,16,0,27,6,62
"Xenophon",0,5,9,0,1,1,12,6,8,0,12,30,54
"-SUM-",29,25,78,8,49,34,31,27,127,32,39,38,517
"Aeschylus",66,0,1,3,1,0,0,0,0,16,0,0,21
"Diodorus",0,33,6,0,0,0,0,9,39,0,4,3,61
"Herodotus",1,3,50,0,0,0,8,2,3,2,6,6,31
"Hesiod",10,0,1,37,16,7,0,1,0,4,0,1,40
"HomerIL",2,0,0,2,97,11,0,0,0,0,0,0,15
"HomerOD",3,0,1,2,22,87,0,0,0,1,0,0,29
"Lysias",0,1,11,0,0,0,56,3,8,2,10,13,48
"Plutarch",0,13,5,1,0,0,1,29,24,0,4,3,51
"Polybius",0,11,2,0,0,0,4,7,83,0,3,1,28
"Sophocles",15,0,0,3,2,1,0,0,0,68,1,0,22
"Thucycides",0,6,15,0,0,0,4,11,22,0,37,6,64
"Xenophon",0,5,17,0,0,0,15,1,15,0,14,29,67
"-SUM-",31,39,59,11,41,19,32,34,111,25,42,33,477
"Aeschylus",76,0,0,1,1,5,0,0,0,19,0,0,26
"Diodorus",0,24,7,1,0,0,0,3,40,0,1,4,56
"Herodotus",1,6,55,0,0,0,4,5,11,1,9,5,42
"Hesiod",2,0,0,51,17,18,0,1,0,2,0,0,40
"HomerIL",1,0,0,1,77,9,0,0,0,1,0,0,12
"HomerOD",1,0,1,1,27,82,0,0,0,0,0,0,30
"Lysias",0,2,10,0,0,0,55,3,10,0,5,12,42
"Plutarch",0,4,7,0,0,0,2,31,28,0,10,4,55
"Polybius",0,6,5,0,0,0,0,3,76,0,4,2,20
"Sophocles",25,0,1,2,4,1,0,0,0,81,0,0,33
"Thucycides",0,3,23,0,0,0,6,3,19,1,34,3,58
"Xenophon",0,7,19,0,1,0,10,4,9,0,13,30,63
"-SUM-",30,28,73,6,50,33,22,22,117,24,42,30,477
"Aeschylus",90,0,0,0,2,0,0,0,0,19,0,0,21
"Diodorus",0,49,7,0,0,0,0,7,39,0,1,1,55
"Herodotus",1,5,45,0,0,0,8,5,8,1,6,2,36
"Hesiod",10,0,0,46,14,14,0,0,0,3,0,0,41
"HomerIL",0,0,0,2,77,12,0,0,0,1,0,0,15
"HomerOD",1,0,0,1,15,81,0,0,0,2,0,0,19
"Lysias",0,2,19,0,0,0,53,2,8,1,5,12,49
"Plutarch",0,7,9,0,0,0,2,34,31,0,8,5,62
"Polybius",1,6,2,0,0,0,3,4,87,0,4,3,23
"Sophocles",17,0,0,0,0,1,0,0,0,57,0,0,18
"Thucycides",0,7,18,0,0,1,7,7,26,0,27,7,73
"Xenophon",0,8,19,0,0,0,13,7,11,0,6,27,64
"-SUM-",30,35,74,3,31,28,33,32,123,27,30,30,476
"Aeschylus",78,0,0,1,5,4,0,0,0,11,0,0,21
"Diodorus",0,33,10,0,0,0,2,3,41,0,3,4,63
"Herodotus",1,8,44,0,0,0,2,2,7,1,10,10,41
"Hesiod",6,0,0,45,18,13,0,0,0,5,0,0,42
"HomerIL",0,0,0,3,89,13,0,0,0,2,0,0,18
"HomerOD",1,0,0,2,22,90,0,0,0,0,0,0,25
"Lysias",0,2,13,0,0,0,39,5,17,1,5,9,52
"Plutarch",0,4,9,0,0,0,0,30,28,0,2,6,49
"Polybius",0,12,4,0,0,0,0,6,77,0,3,1,26
"Sophocles",15,0,0,0,1,0,1,0,0,76,0,0,17
"Thucycides",0,6,22,0,1,0,7,5,12,0,29,7,60
"Xenophon",0,4,19,0,0,0,15,2,15,0,14,36,69
"-SUM-",23,36,77,6,47,30,27,23,120,20,37,37,483
"Aeschylus",64,0,1,1,5,2,0,0,1,17,0,0,27
"Diodorus",0,39,6,1,0,0,0,1,40,0,2,0,50
"Herodotus",0,4,47,0,0,2,7,3,6,0,3,4,29
"Hesiod",10,0,0,39,23,7,0,0,0,4,0,0,44
"HomerIL",2,0,0,4,76,11,0,0,0,2,0,0,19
"HomerOD",0,0,0,3,23,81,0,0,0,1,0,0,27
"Lysias",0,1,14,0,0,1,51,9,13,1,6,9,54
"Plutarch",0,7,12,0,0,0,2,44,27,0,9,4,61
"Polybius",0,5,6,0,0,0,4,8,76,1,2,0,26
"Sophocles",22,0,2,0,3,1,1,0,0,71,0,0,29
"Thucycides",0,5,13,0,1,0,9,13,13,0,31,15,69
"Xenophon",1,6,19,0,0,0,11,1,14,0,9,34,61
"-SUM-",35,28,73,9,55,24,34,35,114,26,31,32,496
"Aeschylus",82,0,0,1,2,1,0,0,0,16,0,1,21
"Diodorus",0,37,7,0,0,0,3,2,31,0,1,0,44
"Herodotus",1,4,58,0,0,2,4,3,11,0,7,6,38
"Hesiod",9,0,0,46,14,14,0,0,0,8,0,0,45
"HomerIL",0,0,1,3,93,14,0,0,0,0,0,0,18
"HomerOD",1,0,0,2,21,79,0,0,0,1,0,0,25
"Lysias",0,2,11,0,0,0,48,2,13,2,5,13,48
"Plutarch",0,7,6,0,2,0,2,38,31,0,10,3,61
"Polybius",0,10,4,0,0,0,2,4,77,0,1,2,23
"Sophocles",18,0,0,1,0,0,0,0,0,73,1,0,20
"Thucycides",0,4,15,0,0,0,10,6,19,0,30,4,58
"Xenophon",0,2,10,0,0,0,15,2,18,0,12,28,59
"-SUM-",29,29,54,7,39,31,36,19,123,27,37,29,460
"Aeschylus",82,0,0,2,1,2,0,0,0,15,0,0,20
"Diodorus",0,39,6,0,0,0,1,4,43,0,1,4,59
"Herodotus",0,5,57,0,1,0,9,6,8,1,12,8,50
"Hesiod",10,0,0,42,14,18,0,0,0,5,0,0,47
"HomerIL",0,0,0,1,87,20,0,0,0,0,0,0,21
"HomerOD",1,0,0,2,17,61,0,0,0,0,0,0,20
"Lysias",0,2,12,0,0,0,51,3,11,0,3,12,43
"Plutarch",0,5,8,0,1,0,2,32,23,0,6,5,50
"Polybius",0,8,3,0,0,0,5,3,77,0,4,1,24
"Sophocles",16,0,2,1,7,3,1,0,0,79,0,0,30
"Thucycides",0,4,16,0,0,0,15,10,18,0,25,4,67
"Xenophon",0,7,20,0,0,0,14,4,7,0,11,23,63
"-SUM-",27,31,67,6,41,43,47,30,110,21,37,34,494
"Aeschylus",88,0,0,4,1,0,0,0,0,19,0,0,24
"Diodorus",0,49,5,0,0,0,0,5,37,0,1,1,49
"Herodotus",1,9,62,0,0,0,3,3,11,1,5,9,42
"Hesiod",11,0,0,43,18,13,0,0,0,1,0,0,43
"HomerIL",0,0,0,3,86,7,0,0,0,0,0,0,10
"HomerOD",1,0,0,0,15,78,0,0,0,0,0,0,16
"Lysias",0,1,14,0,0,1,33,4,11,2,6,8,47
"Plutarch",1,8,7,1,1,0,4,36,29,0,10,7,68
"Polybius",0,11,0,0,0,0,1,5,81,1,5,2,25
"Sophocles",20,0,1,0,3,2,2,0,1,77,0,0,29
"Thucycides",0,4,22,0,0,1,8,9,13,0,31,6,63
"Xenophon",0,2,13,0,0,1,7,3,16,1,8,18,51
"-SUM-",34,35,62,8,38,25,25,29,118,25,35,33,467
"Aeschylus",75,0,1,6,2,1,0,0,0,14,0,0,24
"Diodorus",0,45,5,0,0,0,1,4,40,0,1,2,53
"Herodotus",1,5,46,0,0,0,1,7,12,1,11,7,45
"Hesiod",8,0,0,46,14,17,0,1,0,4,0,0,44
"HomerIL",0,0,0,2,99,17,0,0,0,1,0,0,20
"HomerOD",0,0,0,4,19,78,0,0,0,1,0,0,24
"Lysias",0,5,15,0,0,0,39,5,13,3,9,4,54
"Plutarch",0,6,11,0,0,0,2,37,29,0,7,4,59
"Polybius",0,8,5,0,0,0,2,4,73,0,0,0,19
"Sophocles",14,0,0,1,3,2,1,0,0,72,0,0,21
"Thucycides",0,6,17,0,0,0,6,5,13,0,30,5,52
"Xenophon",1,5,12,0,0,0,19,9,12,0,10,26,68
"-SUM-",24,35,66,13,38,37,32,35,119,24,38,22,483
"Aeschylus",75,0,0,1,2,2,0,0,1,21,0,0,27
"Diodorus",0,37,6,0,0,0,1,7,46,0,4,0,64
"Herodotus",0,9,54,0,0,0,5,5,9,0,4,11,43
"Hesiod",11,0,0,53,18,18,0,0,0,2,0,0,49
"HomerIL",0,0,0,2,67,15,0,0,0,0,0,0,17
"HomerOD",0,0,0,0,25,71,0,0,0,0,0,0,25
"Lysias",0,0,15,0,0,1,35,0,10,0,6,14,46
"Plutarch",1,3,13,0,0,0,1,41,34,0,5,2,59
"Polybius",0,6,2,0,0,0,7,0,77,0,1,3,19
"Sophocles",23,0,1,2,3,1,0,0,1,76,0,0,31
"Thucycides",0,7,17,0,0,2,13,6,17,0,26,8,70
"Xenophon",0,8,14,0,1,0,11,6,9,1,11,26,61
"-SUM-",35,33,68,5,49,39,38,24,127,24,31,38,511
"Aeschylus",67,0,0,3,2,0,0,0,0,15,0,0,20
"Diodorus",0,45,11,0,0,0,0,2,36,0,4,2,55
"Herodotus",1,4,54,0,0,0,8,5,10,0,6,8,42
"Hesiod",10,0,0,53,13,7,0,0,0,3,0,0,33
"HomerIL",2,0,0,6,78,18,0,0,0,0,0,0,26
"HomerOD",1,0,0,3,18,76,0,0,0,1,0,0,23
"Lysias",0,3,10,0,0,0,47,3,8,0,8,13,45
"Plutarch",0,7,15,0,0,0,4,38,31,0,10,4,71
"Polybius",0,8,2,0,0,0,2,5,70,0,2,2,21
"Sophocles",29,1,0,2,3,0,1,0,0,68,0,0,36
"Thucycides",0,3,18,0,0,0,9,6,14,0,32,5,55
"Xenophon",1,7,20,0,0,0,12,4,14,0,9,27,67
"-SUM-",44,33,76,14,36,25,36,25,113,19,39,34,494
"Aeschylus",75,0,0,1,0,0,0,0,0,18,0,0,19
"Diodorus",0,30,3,0,0,0,0,4,35,0,2,1,45
"Herodotus",1,5,58,0,0,0,13,6,13,1,6,7,52
"Hesiod",8,0,0,52,15,16,0,0,0,7,0,0,46
"HomerIL",1,0,0,4,82,19,0,0,0,0,0,0,24
"HomerOD",1,0,0,9,16,70,0,0,0,0,0,0,26
"Lysias",0,1,5,0,0,1,43,3,8,0,7,6,31
"Plutarch",0,5,6,0,0,0,1,36,24,0,6,4,46
"Polybius",0,14,4,0,0,0,3,3,84,0,6,1,31
"Sophocles",30,0,0,1,4,0,4,0,0,70,0,0,39
"Thucycides",0,5,25,0,0,1,5,7,14,1,31,8,66
"Xenophon",0,9,17,0,0,1,14,7,15,0,10,20,73
"-SUM-",41,39,60,15,35,38,40,30,109,27,37,27,498
"Aeschylus",74,0,0,4,1,3,0,0,0,13,0,0,21
"Diodorus",0,46,6,0,0,0,2,2,46,0,4,2,62
"Herodotus",1,8,57,0,1,0,7,1,12,0,7,9,46
"Hesiod",10,0,0,49,15,13,0,0,0,5,0,0,43
"HomerIL",0,0,0,3,82,20,0,0,0,1,0,0,24
"HomerOD",3,0,0,2,21,86,0,0,0,1,0,0,27
"Lysias",0,0,13,0,0,0,42,2,8,1,4,17,45
"Plutarch",0,10,6,0,0,0,1,27,30,0,8,9,64
"Polybius",0,6,3,0,1,0,4,6,77,0,5,0,25
"Sophocles",26,0,1,0,2,2,1,0,0,66,1,0,33
"Thucycides",0,1,11,0,0,0,9,8,14,0,20,11,54
"Xenophon",0,5,12,0,0,0,7,2,8,0,8,37,42
"-SUM-",40,30,52,9,41,38,31,21,118,21,37,48,486
"Aeschylus",77,0,1,2,1,1,0,0,0,18,0,0,23
"Diodorus",0,45,4,0,0,0,0,2,31,0,3,5,45
"Herodotus",1,5,74,0,0,0,5,3,8,0,8,6,36
"Hesiod",5,0,0,43,19,7,0,0,0,7,0,0,38
"HomerIL",1,0,0,1,73,15,0,0,0,0,0,0,17
"HomerOD",2,0,0,1,14,81,0,0,0,0,0,0,17
"Lysias",0,4,17,0,0,1,36,1,9,2,2,9,45
"Plutarch",0,6,10,0,1,0,3,39,24,0,7,2,53
"Polybius",0,7,2,0,0,0,9,5,90,0,2,0,25
"Sophocles",12,0,1,0,6,1,1,1,2,87,0,0,24
"Thucycides",0,6,15,0,0,1,12,8,12,0,30,5,59
"Xenophon",0,6,13,0,0,0,17,4,14,1,12,25,67
"-SUM-",21,34,63,4,41,26,47,24,100,28,34,27,449
"Aeschylus",71,0,2,2,2,3,0,0,0,19,0,0,28
"Diodorus",0,41,4,0,0,0,2,5,38,0,1,1,51
"Herodotus",0,2,51,0,1,0,6,3,13,0,9,5,39
"Hesiod",6,0,0,45,16,13,0,1,0,3,0,0,39
"HomerIL",0,0,0,3,84,14,0,0,0,0,0,0,17
"HomerOD",2,0,0,1,27,79,0,0,0,1,0,0,31
"Lysias",0,2,14,0,0,0,45,4,9,0,3,13,45
"Plutarch",0,5,14,0,0,0,3,28,31,0,5,4,62
"Polybius",0,8,5,0,0,0,2,3,69,0,3,3,24
"Sophocles",26,0,2,0,1,3,0,0,1,72,1,0,34
"Thucycides",0,6,19,0,0,2,12,8,14,1,22,10,72
"Xenophon",0,4,16,0,1,0,14,4,12,0,11,38,62
"-SUM-",34,27,76,6,48,35,39,28,118,24,33,36,504
"Aeschylus",74,0,0,3,0,0,0,0,0,14,0,0,17
"Diodorus",0,40,6,0,0,0,0,3,39,0,5,4,57
"Herodotus",1,4,53,0,1,1,9,6,9,1,4,5,41
"Hesiod",6,0,0,38,21,18,0,0,0,2,0,0,47
"HomerIL",1,0,0,5,92,18,0,0,0,0,0,0,24
"HomerOD",1,0,0,2,25,75,0,0,1,0,0,0,29
"Lysias",0,1,12,0,0,0,47,2,12,0,2,9,38
"Plutarch",0,4,11,0,2,0,6,28,30,1,11,5,70
"Polybius",0,7,2,0,0,0,1,11,69,0,1,0,22
"Sophocles",24,0,0,1,3,3,0,0,0,63,0,0,31
"Thucycides",0,3,29,0,0,0,7,9,14,0,28,5,67
"Xenophon",0,4,21,0,0,0,17,4,14,1,7,31,68
"-SUM-",33,23,81,11,52,40,40,35,119,19,30,28,511
"Aeschylus",65,0,2,3,2,4,0,1,0,17,0,0,29
"Diodorus",0,36,3,0,0,0,1,2,40,0,3,0,49
"Herodotus",1,8,63,0,0,0,7,6,5,0,3,12,42
"Hesiod",9,0,0,41,13,10,0,0,0,4,0,0,36
"HomerIL",0,0,0,1,86,12,0,0,0,1,0,0,14
"HomerOD",0,0,0,1,22,70,0,0,0,0,0,0,23
"Lysias",0,3,15,0,0,0,43,1,17,3,4,7,50
"Plutarch",0,8,13,1,0,0,2,33,34,1,11,3,73
"Polybius",0,11,3,0,0,0,0,4,88,1,5,1,25
"Sophocles",20,0,0,2,6,4,1,0,0,63,0,0,33
"Thucycides",0,6,24,0,0,0,11,4,11,0,26,6,62
"Xenophon",0,9,13,0,0,0,13,5,12,0,14,33,66
"-SUM-",30,45,73,8,43,30,35,23,119,27,40,29,502
"Aeschylus",76,0,1,4,0,3,0,0,0,18,0,0,26
"Diodorus",0,40,6,0,0,0,0,3,43,0,3,1,56
"Herodotus",1,8,60,0,0,0,4,6,5,1,8,6,39
"Hesiod",7,0,0,52,26,15,0,0,0,2,0,0,50
"HomerIL",0,0,0,3,86,15,0,0,0,1,0,0,19
"HomerOD",2,0,0,2,17,90,0,0,0,0,0,0,21
"Lysias",0,2,10,0,0,0,42,3,11,2,7,8,43
"Plutarch",1,7,7,0,0,0,3,33,27,0,6,4,55
"Polybius",0,5,3,0,0,0,2,3,94,0,3,0,16
"Sophocles",13,0,0,1,2,2,1,0,0,71,0,0,19
"Thucycides",0,2,14,0,0,0,10,4,8,0,27,7,45
"Xenophon",0,4,18,0,0,0,19,7,16,1,6,18,71
"-SUM-",24,28,59,10,45,35,39,26,110,25,33,26,460
"Aeschylus",70,0,0,0,1,2,0,0,0,10,0,0,13
"Diodorus",0,49,2,0,0,0,2,2,39,0,4,3,52
"Herodotus",0,9,61,0,0,0,6,5,14,2,11,5,52
"Hesiod",8,0,0,49,15,10,0,1,0,4,0,0,38
"HomerIL",0,0,0,4,100,5,0,0,0,2,0,0,11
"HomerOD",0,0,0,2,25,78,0,0,0,0,0,0,27
"Lysias",0,2,7,0,0,0,47,3,8,2,10,14,46
"Plutarch",0,6,18,0,0,0,1,25,32,0,10,3,70
"Polybius",0,8,2,0,0,0,2,7,75,0,2,0,21
"Sophocles",18,0,0,2,6,0,1,0,0,73,0,0,27
"Thucycides",0,3,12,0,0,1,5,3,16,0,28,3,43
"Xenophon",0,6,14,0,0,0,20,3,12,0,9,30,64
"-SUM-",26,34,55,8,47,18,37,24,121,20,46,28,464
"Aeschylus",73,0,0,5,1,2,0,0,0,19,0,0,27
"Diodorus",0,37,6,0,0,1,1,4,38,0,2,1,53
"Herodotus",1,9,66,0,0,0,7,3,6,0,7,2,35
"Hesiod",5,0,0,43,22,8,0,0,0,6,0,0,41
"HomerIL",0,0,0,5,93,8,0,0,0,0,0,0,13
"HomerOD",1,0,1,2,31,75,0,0,0,0,0,0,35
"Lysias",0,4,12,0,0,0,42,2,9,0,9,7,43
"Plutarch",0,9,7,0,1,0,2,29,31,1,10,4,65
"Polybius",0,10,4,0,0,0,2,5,79,0,0,3,24
"Sophocles",27,0,1,2,2,1,0,0,0,61,0,1,34
"Thucycides",0,8,15,0,0,0,7,6,15,0,32,12,63
"Xenophon",0,4,24,0,0,0,10,3,11,0,10,24,62
"-SUM-",34,44,70,14,57,20,29,23,110,26,38,30,495
"Aeschylus",85,0,2,3,4,3,0,0,0,18,0,0,30
"Diodorus",0,35,7,0,0,0,0,2,40,0,0,3,52
"Herodotus",0,4,46,0,0,1,8,3,6,1,13,5,41
"Hesiod",6,0,0,49,12,10,0,0,0,6,0,0,34
"HomerIL",2,0,0,3,88,10,0,0,0,1,0,0,16
"HomerOD",1,0,0,4,22,72,0,0,0,0,0,0,27
"Lysias",0,3,18,0,0,0,40,4,11,2,3,11,52
"Plutarch",0,5,9,0,0,0,0,40,25,0,9,1,49
"Polybius",0,11,0,0,0,0,1,4,80,0,4,1,21
"Sophocles",15,1,1,2,1,4,0,0,0,72,0,0,24
"Thucycides",0,3,16,0,1,2,10,7,17,0,32,10,66
"Xenophon",0,8,22,0,1,0,14,7,9,0,12,25,73
"-SUM-",24,35,75,12,41,30,33,27,108,28,41,31,485
"Aeschylus",79,0,0,3,3,1,0,1,0,16,0,0,24
"Diodorus",0,52,2,0,0,0,1,3,39,0,2,0,47
"Herodotus",0,5,47,0,0,0,6,6,10,0,13,11,51
"Hesiod",7,0,0,53,18,13,0,0,0,4,0,0,42
"HomerIL",1,0,0,5,81,14,0,0,0,0,0,0,20
"HomerOD",3,0,0,4,19,72,0,0,0,0,0,0,26
"Lysias",0,1,12,0,0,1,46,1,14,1,1,10,41
"Plutarch",0,6,18,0,0,0,0,33,18,1,5,3,51
"Polybius",1,9,2,0,0,0,2,4,90,0,2,2,22
"Sophocles",13,0,0,2,1,0,1,0,0,65,0,0,17
"Thucycides",0,2,14,0,0,2,15,7,20,0,30,11,71
"Xenophon",0,4,13,0,0,0,15,6,14,0,14,23,66
"-SUM-",25,27,61,14,41,31,40,28,115,22,37,37,478
"Aeschylus",77,0,0,1,2,3,0,0,0,23,0,1,30
"Diodorus",0,38,6,0,0,0,3,1,42,0,2,2,56
"Herodotus",1,6,53,0,0,0,3,2,7,0,3,14,36
"Hesiod",9,0,0,37,19,9,0,0,0,5,0,0,42
"HomerIL",3,0,0,2,83,10,0,0,0,1,0,0,16
"HomerOD",1,0,0,0,20,68,0,0,0,2,0,0,23
"Lysias",0,0,14,0,0,1,52,2,16,2,2,12,49
"Plutarch",0,8,16,0,0,0,2,35,19,0,6,5,56
"Polybius",0,11,4,0,0,0,5,9,83,1,5,1,36
"Sophocles",13,0,0,1,4,1,0,0,0,80,0,1,20
"Thucycides",0,2,16,0,0,0,8,7,18,0,25,7,58
"Xenophon",0,4,26,0,0,0,13,7,9,0,11,26,70
"-SUM-",27,31,82,4,45,24,34,28,111,34,29,43,492
"Aeschylus",80,0,0,2,2,4,0,0,0,19,0,0,27
"Diodorus",0,27,6,0,0,1,0,3,40,0,1,2,53
"Herodotus",1,4,54,0,0,0,6,3,12,2,5,8,41
"Hesiod",1,0,0,43,27,16,0,0,0,3,0,0,47
"HomerIL",0,0,0,4,81,13,0,0,0,1,0,0,18
"HomerOD",0,0,0,1,44,65,0,0,0,0,0,0,45
"Lysias",0,3,19,0,0,0,41,5,11,2,4,9,53
"Plutarch",0,5,9,0,1,0,1,37,25,0,6,2,49
"Polybius",0,10,3,0,0,0,2,5,81,0,2,1,23
"Sophocles",32,0,0,0,3,0,2,0,0,64,2,0,39
"Thucycides",0,8,22,0,0,0,10,8,12,0,25,7,67
"Xenophon",0,4,19,0,0,1,16,2,11,0,13,23,66
"-SUM-",34,34,78,7,77,35,37,26,111,27,33,29,528
"Aeschylus",66,0,0,2,4,2,0,0,0,12,0,0,20
"Diodorus",0,52,5,0,0,0,1,1,32,0,1,1,41
"Herodotus",2,3,50,0,1,0,4,7,10,2,7,6,42
"Hesiod",6,0,0,42,22,16,0,0,0,5,0,0,49
"HomerIL",1,0,0,3,104,11,0,0,0,0,0,0,15
"HomerOD",1,0,0,1,27,71,0,0,0,0,0,0,29
"Lysias",0,1,7,0,0,0,48,2,14,0,12,10,46
"Plutarch",0,8,11,0,0,0,2,24,21,0,9,4,55
"Polybius",0,9,4,0,0,0,7,4,99,0,1,1,26
"Sophocles",19,0,0,2,4,3,0,0,0,71,0,0,28
"Thucycides",0,4,19,0,0,1,8,7,15,0,29,7,61
"Xenophon",0,7,11,0,0,0,19,3,8,0,13,20,61
"-SUM-",29,32,57,8,58,33,41,24,100,19,43,29,473
"Aeschylus",64,0,2,5,4,1,0,0,0,28,0,0,40
"Diodorus",0,40,9,0,0,0,1,3,33,0,4,1,51
"Herodotus",1,5,51,0,0,1,2,3,11,3,9,10,45
"Hesiod",6,0,0,43,16,13,0,0,0,1,0,0,36
"HomerIL",0,0,1,6,76,10,0,0,0,0,0,0,17
"HomerOD",2,0,0,3,25,65,0,0,0,0,0,0,30
"Lysias",0,2,17,0,0,0,39,2,11,0,3,13,48
"Plutarch",0,8,14,0,0,0,0,36,29,0,7,3,61
"Polybius",0,11,3,0,0,0,4,6,84,0,4,1,29
"Sophocles",17,0,0,2,4,3,1,0,1,70,0,0,28
"Thucycides",0,6,17,0,0,1,15,11,19,1,27,6,76
"Xenophon",0,6,14,0,0,0,20,5,13,1,11,23,70
"-SUM-",26,38,77,16,49,29,43,30,117,34,38,34,531
"Aeschylus",75,0,0,2,1,4,0,0,0,15,0,0,22
"Diodorus",0,44,8,0,0,0,3,2,41,0,2,4,60
"Herodotus",0,7,52,0,0,1,7,2,10,1,6,8,42
"Hesiod",6,0,0,47,15,19,0,1,0,3,0,0,44
"HomerIL",0,0,0,2,88,12,0,0,0,0,0,0,14
"HomerOD",1,0,0,2,26,76,0,0,0,0,0,0,29
"Lysias",0,1,13,0,0,0,32,5,13,1,8,8,49
"Plutarch",0,7,17,0,1,0,4,29,25,0,8,6,68
"Polybius",1,4,4,0,0,0,2,2,83,0,0,3,16
"Sophocles",21,0,0,0,5,2,1,0,0,53,0,0,29
"Thucycides",0,5,15,0,0,0,12,6,18,0,30,9,65
"Xenophon",0,8,17,0,0,0,18,7,19,0,13,20,82
"-SUM-",29,32,74,6,48,38,47,25,126,20,37,38,520
"Aeschylus",68,0,0,3,2,4,0,1,0,21,0,0,31
"Diodorus",0,45,4,0,0,0,0,6,43,0,4,0,57
"Herodotus",1,5,40,0,1,0,7,3,4,0,7,9,37
"Hesiod",7,0,0,46,20,15,0,0,0,4,0,0,46
"HomerIL",1,0,0,7,97,11,0,0,0,0,0,0,19
