"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucycides","Xenophon","-SUM-"
"Hesiod",6,0,0,44,9,19,0,0,0,3,0,0,37
"HomerIL",1,0,0,2,91,9,0,0,0,1,0,0,13
"HomerOD",0,0,0,0,22,66,0,0,0,0,0,0,22
"Lysias",1,2,13,0,0,0,43,5,14,0,11,12,58
"Plutarch",0,8,10,0,0,0,4,26,19,0,11,4,56
"Polybius",0,8,4,0,0,0,2,6,67,0,1,2,23
"Sophocles",31,0,0,2,3,3,1,0,1,68,0,0,41
"Thucycides",0,6,12,0,0,0,8,7,22,0,22,7,62
"Xenophon",0,4,11,0,0,0,19,6,9,0,15,28,64
"-SUM-",39,37,54,11,36,35,40,28,132,20,53,33,518
"Aeschylus",74,0,1,2,5,3,0,0,0,17,0,0,28
"Diodorus",0,43,6,0,1,0,0,4,37,0,0,1,49
"Herodotus",0,6,56,0,2,0,9,4,6,1,17,8,53
"Hesiod",11,0,0,46,16,14,0,0,0,6,0,0,47
"HomerIL",0,0,0,2,81,14,0,0,0,1,0,0,17
"HomerOD",1,0,0,2,13,88,0,0,0,0,0,0,16
"Lysias",0,1,7,0,0,1,41,2,10,0,7,12,40
"Plutarch",0,4,13,0,0,0,2,28,26,0,9,4,58
"Polybius",0,9,2,0,0,0,3,3,84,0,1,0,18
"Sophocles",25,0,0,3,3,2,0,0,0,69,0,0,33
"Thucycides",0,3,14,0,0,1,9,3,25,0,33,8,63
"Xenophon",0,7,11,0,0,0,8,3,9,0,18,28,56
"-SUM-",37,30,54,9,40,35,31,19,113,25,52,33,478
"Aeschylus",77,0,1,4,5,4,0,0,0,19,0,0,33
"Diodorus",0,34,6,0,0,1,1,2,40,0,3,0,53
"Herodotus",1,7,43,0,0,0,6,4,7,0,9,4,38
"Hesiod",16,0,0,49,22,14,0,0,0,10,0,0,62
"HomerIL",0,0,0,1,77,8,0,0,0,2,0,0,11
"HomerOD",0,0,0,3,23,78,0,0,0,1,0,0,27
"Lysias",0,0,15,0,0,0,36,5,9,1,8,15,53
"Plutarch",0,4,9,0,0,0,2,35,29,1,5,2,52
"Polybius",0,14,3,0,0,0,4,6,76,0,3,0,30
"Sophocles",26,0,0,0,2,1,2,0,0,74,0,0,31
"Thucycides",0,2,20,0,0,0,6,9,22,1,26,8,68
"Xenophon",0,2,18,0,0,0,9,5,12,0,12,28,58
"-SUM-",43,29,72,8,52,28,30,31,119,35,40,29,516
"Aeschylus",90,0,0,0,2,2,0,0,0,16,0,0,20
"Diodorus",0,40,5,0,1,0,0,3,40,0,1,1,51
"Herodotus",0,6,49,0,0,0,8,0,12,1,6,10,43
"Hesiod",10,0,0,42,21,18,0,1,0,6,0,0,56
"HomerIL",2,0,0,2,94,11,0,0,0,0,0,0,15
"HomerOD",1,0,0,4,16,68,0,0,0,1,0,0,22
"Lysias",1,2,13,0,0,0,42,2,13,2,4,6,43
"Plutarch",0,9,6,1,1,0,3,34,21,1,10,7,59
"Polybius",0,8,2,0,0,0,0,3,81,0,5,0,18
"Sophocles",20,0,1,4,3,3,2,0,0,77,0,0,33
"Thucycides",0,5,16,0,1,0,6,6,17,0,33,3,54
"Xenophon",0,4,15,0,0,2,9,5,12,0,13,25,60
"-SUM-",34,34,58,11,45,36,28,20,115,27,39,27,474
"Aeschylus",83,0,0,4,1,2,0,0,1,24,0,0,32
"Diodorus",0,38,6,0,0,0,0,6,41,0,1,0,54
"Herodotus",0,5,57,0,1,0,8,8,8,1,9,7,47
"Hesiod",11,0,0,51,12,8,0,0,0,6,0,0,37
"HomerIL",1,0,0,0,92,17,0,0,0,1,0,0,19
"HomerOD",0,0,0,6,20,65,0,0,0,0,0,0,26
"Lysias",0,4,11,0,0,1,30,3,13,1,6,13,52
"Plutarch",1,5,12,0,0,0,4,35,43,0,4,4,73
"Polybius",1,8,1,0,0,0,2,3,68,0,4,1,20
"Sophocles",22,0,1,3,4,1,2,0,0,65,0,0,33
"Thucycides",0,7,13,0,0,0,10,5,14,1,32,7,57
"Xenophon",0,5,18,0,0,0,15,4,11,0,10,20,63
"-SUM-",36,34,62,13,38,29,41,29,131,34,34,32,513
"Aeschylus",74,0,0,1,0,0,0,0,0,15,0,0,16
"Diodorus",0,40,4,0,0,0,0,0,40,0,4,0,48
"Herodotus",1,9,56,0,0,0,11,1,10,1,9,4,46
"Hesiod",7,0,0,53,7,14,0,1,0,2,0,0,31
"HomerIL",2,0,0,1,97,12,0,0,0,0,0,0,15
"HomerOD",0,0,0,3,12,81,0,0,0,0,0,0,15
"Lysias",0,2,18,0,0,0,46,3,10,2,5,17,57
"Plutarch",0,10,9,0,1,0,1,31,20,0,7,2,50
"Polybius",0,11,4,0,0,0,0,8,81,1,6,4,34
"Sophocles",19,0,0,2,3,0,0,0,0,70,0,0,24
"Thucycides",0,2,13,0,0,0,14,7,18,0,25,7,61
"Xenophon",0,6,10,0,0,0,17,4,19,0,13,29,69
"-SUM-",29,40,58,7,23,26,43,24,117,21,44,34,466
"Aeschylus",76,0,0,2,1,1,0,0,0,17,0,0,21
"Diodorus",0,39,6,0,0,0,1,4,39,0,0,0,50
"Herodotus",0,5,51,0,0,1,7,6,5,0,5,9,38
"Hesiod",6,0,0,55,17,12,0,1,0,4,0,0,40
"HomerIL",0,0,0,2,87,15,0,0,0,1,0,0,18
"HomerOD",1,0,0,5,31,81,0,0,0,0,0,0,37
"Lysias",0,2,21,0,0,0,37,4,14,0,5,13,59
"Plutarch",0,4,11,0,0,0,4,33,15,0,6,4,44
"Polybius",0,7,1,0,0,0,4,12,83,0,6,0,30
"Sophocles",16,0,0,1,2,1,1,0,0,71,1,0,22
"Thucycides",0,4,19,0,0,0,12,8,15,0,22,8,66
"Xenophon",0,5,13,0,0,0,16,7,10,0,12,26,63
"-SUM-",23,27,71,10,51,30,45,42,98,22,35,34,488
"Aeschylus",68,0,2,3,2,3,0,1,0,16,0,0,27
"Diodorus",0,40,3,0,0,1,1,4,37,0,0,2,48
"Herodotus",0,8,57,0,1,0,6,2,4,1,9,7,38
"Hesiod",8,0,0,43,18,14,0,1,0,5,0,0,46
"HomerIL",3,0,0,3,90,14,0,0,0,0,0,0,20
"HomerOD",0,0,0,3,21,74,0,0,0,0,0,0,24
"Lysias",0,2,12,0,0,0,40,0,11,0,3,8,36
"Plutarch",0,8,12,0,0,0,1,31,30,0,3,3,57
"Polybius",1,10,1,0,0,0,1,3,81,0,3,3,22
"Sophocles",25,0,2,0,3,3,0,0,1,85,0,0,34
"Thucycides",0,11,20,0,0,0,7,2,15,0,32,11,66
"Xenophon",1,2,13,0,0,0,16,7,16,0,12,23,67
"-SUM-",38,41,65,9,45,35,32,20,114,22,30,34,485
"Aeschylus",46,0,0,0,3,1,0,0,0,18,0,0,22
"Diodorus",0,32,5,0,0,0,2,6,38,0,1,1,53
"Herodotus",1,3,56,0,0,0,8,6,11,0,5,5,39
"Hesiod",6,0,0,49,15,14,0,0,0,6,0,0,41
"HomerIL",0,0,0,4,110,15,0,0,0,0,0,0,19
"HomerOD",1,0,0,0,22,88,0,0,0,0,0,0,23
"Lysias",0,0,14,0,0,0,42,4,15,2,7,10,52
"Plutarch",0,10,15,0,0,0,6,34,22,0,3,4,60
"Polybius",0,9,8,0,0,0,2,4,87,0,1,0,24
"Sophocles",17,0,0,0,3,1,0,0,0,71,0,0,21
"Thucycides",0,7,19,0,0,0,5,6,17,0,29,3,57
"Xenophon",1,7,15,0,0,0,14,2,12,1,13,29,65
"-SUM-",26,36,76,4,43,31,37,28,115,27,30,23,476
"Aeschylus",74,0,1,3,2,1,0,0,0,10,0,0,17
"Diodorus",0,35,7,0,0,0,0,3,36,0,2,5,53
"Herodotus",0,8,40,0,0,0,5,4,9,1,8,12,47
"Hesiod",5,0,0,59,12,19,0,0,0,4,0,0,40
"HomerIL",0,0,0,4,93,16,0,0,0,0,0,0,20
"HomerOD",0,0,0,1,17,72,0,0,0,0,0,0,18
"Lysias",0,0,15,0,0,1,50,3,15,1,2,5,42
"Plutarch",0,5,5,0,0,0,2,35,36,0,4,9,61
"Polybius",0,10,2,1,0,0,4,6,63,0,2,1,26
"Sophocles",21,0,2,1,3,3,0,0,1,80,0,0,31
"Thucycides",0,5,16,0,0,0,12,9,15,0,30,11,68
"Xenophon",0,5,15,0,0,0,20,5,14,1,8,27,68
"-SUM-",26,33,63,10,34,40,43,30,126,17,26,43,491
"Aeschylus",62,0,1,2,3,1,0,0,0,23,0,0,30
"Diodorus",0,32,5,0,0,0,0,3,37,0,1,0,46
"Herodotus",1,9,60,0,0,0,9,4,8,0,7,3,41
"Hesiod",8,0,0,41,16,15,0,0,0,8,0,0,47
"HomerIL",0,0,0,2,98,17,0,0,0,0,0,0,19
"HomerOD",0,0,0,2,26,66,0,0,0,0,0,0,28
"Lysias",0,5,13,0,0,0,45,3,6,0,1,10,38
"Plutarch",0,6,15,0,1,0,2,24,30,0,3,4,61
"Polybius",0,8,3,0,0,0,4,3,95,0,4,3,25
"Sophocles",18,0,1,1,3,3,2,0,1,76,0,0,29
"Thucycides",0,5,27,0,0,0,9,5,12,0,38,3,61
"Xenophon",0,5,13,0,0,1,17,4,8,0,9,30,57
"-SUM-",27,38,78,7,49,37,43,22,102,31,25,23,482
"Aeschylus",79,0,1,2,6,2,0,0,0,18,0,0,29
"Diodorus",0,44,6,1,0,0,0,2,27,0,1,2,39
"Herodotus",2,7,45,0,0,0,9,7,12,0,10,6,53
"Hesiod",6,0,0,47,16,13,0,0,0,3,0,0,38
"HomerIL",3,0,0,4,75,10,0,0,0,1,0,0,18
"HomerOD",2,0,0,2,21,73,0,0,0,0,0,0,25
"Lysias",1,4,15,0,0,0,43,4,7,2,8,11,52
"Plutarch",0,7,10,0,0,0,1,22,29,0,11,3,61
"Polybius",0,9,3,0,0,0,0,3,102,1,1,1,18
"Sophocles",19,1,0,2,4,0,2,0,1,54,1,0,30
"Thucycides",0,7,16,0,1,0,7,7,17,0,34,9,64
"Xenophon",0,9,19,0,0,0,20,5,17,0,11,23,81
"-SUM-",33,44,70,11,48,25,39,28,110,25,43,32,508
"Aeschylus",76,0,2,3,0,1,0,0,0,18,0,0,24
"Diodorus",0,35,3,0,0,0,2,5,38,0,2,2,52
"Herodotus",0,3,52,0,0,0,5,5,10,1,9,6,39
"Hesiod",9,0,0,49,10,9,0,0,0,5,0,0,33
"HomerIL",0,0,1,2,88,10,0,0,0,1,0,0,14
"HomerOD",1,0,0,2,27,86,0,0,0,0,0,0,30
"Lysias",0,1,15,0,0,1,59,3,13,0,4,11,48
"Plutarch",0,5,15,0,0,0,4,26,14,0,4,5,47
"Polybius",0,8,4,1,0,0,6,7,80,0,4,2,32
"Sophocles",21,0,3,1,2,4,3,1,1,66,0,0,36
"Thucycides",0,3,23,0,0,0,9,9,15,0,29,7,66
"Xenophon",0,3,22,0,1,0,10,5,11,0,12,18,64
"-SUM-",31,23,88,9,40,25,39,35,102,25,35,33,485
"Aeschylus",81,0,1,5,2,1,0,0,0,20,0,0,29
"Diodorus",0,43,4,0,0,0,0,3,37,1,4,0,49
"Herodotus",0,4,49,0,0,0,5,6,10,0,10,11,46
"Hesiod",6,0,0,39,13,12,0,0,0,5,0,0,36
"HomerIL",1,0,0,0,82,13,0,0,0,0,0,0,14
"HomerOD",2,0,0,2,27,80,0,0,0,2,0,0,33
"Lysias",0,0,12,0,0,0,36,5,13,0,8,11,49
"Plutarch",0,5,8,0,0,0,2,45,16,0,2,2,35
"Polybius",0,10,1,0,0,0,5,3,74,0,2,3,24
"Sophocles",26,0,0,0,4,1,0,0,1,75,0,0,32
"Thucycides",0,5,27,0,0,0,6,4,16,0,33,7,65
"Xenophon",0,5,23,0,0,0,13,5,16,1,10,27,73
"-SUM-",35,29,76,7,46,27,31,26,109,29,36,34,485
"Aeschylus",82,0,1,3,4,1,0,0,0,13,0,0,22
"Diodorus",0,46,6,0,0,0,0,7,46,0,3,2,64
"Herodotus",0,6,37,0,0,1,4,4,12,1,10,7,45
"Hesiod",13,0,0,37,20,10,0,0,0,4,0,0,47
"HomerIL",2,0,0,2,89,11,0,0,0,0,0,0,15
"HomerOD",2,0,0,1,14,72,0,0,0,1,0,0,18
"Lysias",0,1,8,0,0,1,44,3,10,0,6,10,39
