"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Hesiod",10,0,0,49,31,23,0,0,0,8,0,0,72
"HomerIL",2,0,0,7,117,21,0,0,0,1,0,0,31
"HomerOD",1,0,0,5,36,90,0,0,0,3,0,0,45
"Lysias",0,2,22,0,0,0,59,10,27,4,12,21,98
"Plutarch",0,6,20,0,0,1,5,40,46,1,5,7,91
"Polybius",0,15,5,0,0,0,5,7,97,0,2,4,38
"Sophocles",29,0,3,2,6,3,0,2,1,89,0,0,46
"Thucydides",0,6,26,0,1,1,11,12,31,1,34,16,105
"Xenophon",1,8,23,0,2,0,21,7,19,1,14,39,96
"-SUM-",44,45,105,19,87,54,53,53,198,50,46,60,814
"Aeschylus",96,0,0,1,11,5,0,0,0,34,0,0,51
"Diodorus",3,48,8,0,0,0,2,4,63,0,3,5,88
"Herodotus",0,11,62,0,2,2,10,4,17,2,12,6,66
"Hesiod",18,0,0,54,29,28,0,0,0,10,0,0,85
"HomerIL",4,0,0,4,109,26,0,0,0,0,0,0,34
"HomerOD",3,0,0,6,39,90,0,0,0,1,0,1,50
"Lysias",0,1,11,0,1,0,46,9,19,1,4,11,57
"Plutarch",1,12,17,0,0,0,5,41,31,0,9,5,80
"Polybius",1,11,5,0,0,0,3,8,124,0,2,5,35
"Sophocles",31,0,0,1,3,2,0,0,1,88,0,1,39
"Thucydides",0,8,26,0,1,1,17,15,40,0,33,6,114
"Xenophon",0,6,26,0,2,0,23,9,25,0,26,34,117
"-SUM-",61,49,93,12,88,64,60,49,196,48,56,40,816
"Aeschylus",100,1,0,3,6,3,0,1,0,31,0,0,45
"Diodorus",0,40,6,0,0,0,1,4,62,0,5,2,80
"Herodotus",2,10,58,1,0,2,8,5,24,1,7,14,74
"Hesiod",16,0,0,55,38,19,0,0,0,7,0,0,80
"HomerIL",1,0,0,4,127,14,0,0,0,2,0,0,21
"HomerOD",2,0,0,4,35,86,0,0,0,0,0,0,41
"Lysias",0,4,20,0,2,1,59,7,32,1,9,17,93
"Plutarch",0,13,14,1,0,1,7,36,42,0,9,5,92
"Polybius",0,14,3,0,0,0,4,4,100,1,5,2,33
"Sophocles",30,0,2,2,7,3,1,0,1,107,0,0,46
"Thucydides",0,10,31,0,0,0,14,6,26,1,32,6,94
