"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Hesiod",22,0,1,67,26,18,0,0,0,4,0,0,71
"HomerIL",3,0,0,5,109,32,0,0,0,0,0,0,40
"HomerOD",2,0,0,4,52,100,0,0,0,0,0,0,58
"Lysias",2,0,17,0,1,0,51,7,22,2,15,12,78
"Plutarch",0,19,22,0,1,1,14,36,38,0,13,1,109
"Polybius",0,17,6,0,1,0,3,9,98,0,3,3,42
"Sophocles",30,0,0,1,8,5,1,1,0,82,0,1,47
"Thucydides",0,7,23,0,1,0,12,8,26,2,29,10,89
"Xenophon",1,7,21,0,1,1,24,13,19,0,12,29,99
"-SUM-",62,61,101,15,101,63,67,52,189,42,59,36,848
"Aeschylus",75,0,0,6,8,3,0,0,0,29,0,0,46
"Diodorus",1,71,8,0,0,0,1,8,50,0,2,4,74
"Herodotus",1,9,70,0,1,1,10,8,13,3,16,6,68
"Hesiod",19,0,0,63,33,20,0,0,0,5,0,0,77
"HomerIL",2,0,0,6,98,19,0,0,0,1,0,0,28
"HomerOD",2,0,0,5,34,87,0,0,0,1,0,0,42
"Lysias",1,3,17,0,0,0,54,7,17,2,14,14,75
"Plutarch",0,11,15,0,0,0,11,41,40,0,13,5,95
"Polybius",0,17,4,0,0,0,3,4,115,0,8,2,38
"Sophocles",34,0,0,4,6,3,1,0,3,98,2,0,53
"Thucydides",1,7,26,0,0,1,9,10,32,0,39,11,97
"Xenophon",0,8,23,0,0,0,20,11,23,1,15,36,101
"-SUM-",61,55,93,21,82,47,55,48,178,42,70,42,794
"Aeschylus",93,1,1,1,5,4,0,1,0,34,0,0,47
"Diodorus",0,66,3,0,0,0,3,11,53,0,2,2,74
"Herodotus",0,12,72,0,2,0,1,6,21,1,12,6,61
"Hesiod",18,0,0,61,32,23,0,0,0,8,0,0,81
"HomerIL",3,0,0,4,128,19,0,0,1,0,0,0,27
"HomerOD",2,0,0,2,49,86,0,0,0,0,0,0,53
"Lysias",0,4,13,1,0,1,45,3,18,3,13,11,67
"Plutarch",0,8,14,0,1,1,6,35,37,0,12,9,88
"Polybius",0,13,11,0,0,0,1,7,93,0,5,2,39
"Sophocles",29,0,2,3,7,8,1,0,2,86,0,0,52
"Thucydides",1,7,22,0,0,0,17,12,30,1,49,10,100
"Xenophon",1,8,19,0,1,0,24,6,17,0,16,46,92
"-SUM-",54,53,85,11,97,56,53,46,179,47,60,40,781
"Aeschylus",107,1,0,2,0,2,0,1,0,37,0,0,43
"Diodorus",0,47,9,0,0,0,2,7,61,0,4,4,87
"Herodotus",0,9,63,0,1,1,5,6,27,1,10,16,76
"Hesiod",17,0,0,53,30,21,0,0,0,5,0,0,73
"HomerIL",3,0,1,9,119,24,0,0,0,0,0,0,37
"HomerOD",2,0,0,4,35,101,0,0,0,0,0,0,41
"Lysias",0,3,17,0,1,0,52,6,19,4,11,11,72
"Plutarch",1,14,14,0,1,0,4,41,39,0,7,10,90
"Polybius",1,17,5,0,0,0,6,4,112,0,4,3,40
"Sophocles",31,0,0,2,4,2,0,1,3,84,0,1,44
"Thucydides",1,7,16,0,0,1,19,12,20,1,36,15,92
"Xenophon",0,8,20,0,0,1,19,9,22,1,14,37,94
"-SUM-",56,59,82,17,72,52,55,46,191,49,50,60,789
"Aeschylus",103,1,1,5,3,5,0,0,0,29,0,0,44
"Diodorus",1,51,6,0,0,0,5,8,56,0,3,1,80
"Herodotus",3,4,64,0,0,0,8,5,11,3,8,11,53
"Hesiod",11,0,0,50,32,16,0,0,0,8,0,0,67
"HomerIL",1,0,0,7,127,24,0,0,0,2,0,0,34
"HomerOD",2,0,0,5,44,105,0,0,0,0,0,0,51
"Lysias",1,2,13,0,0,0,59,7,21,4,9,14,71
"Plutarch",1,17,13,1,0,0,5,44,39,0,11,6,93
"Polybius",0,20,2,0,0,0,2,11,90,0,4,3,42
"Sophocles",33,0,2,2,8,5,1,0,0,87,0,2,53
"Thucydides",0,8,16,1,0,0,11,10,29,0,43,5,80
"Xenophon",0,10,30,0,0,0,26,10,23,1,20,30,120
"-SUM-",53,62,83,21,87,50,58,51,179,47,55,42,788
"Aeschylus",86,0,1,7,2,5,0,1,0,38,0,0,54
"Diodorus",1,54,6,0,0,0,1,4,57,0,6,2,77
"Herodotus",1,9,61,0,1,1,5,6,23,3,17,13,79
"Hesiod",21,0,0,67,21,25,0,0,0,7,0,0,74
"HomerIL",4,0,0,5,114,24,0,0,0,1,0,0,34
"HomerOD",4,0,0,1,39,89,0,0,0,0,0,0,44
"Lysias",1,2,19,1,1,0,58,5,15,3,14,11,72
"Plutarch",2,11,15,0,0,1,10,38,43,0,11,9,102
"Polybius",0,10,4,0,0,0,9,4,100,0,8,1,36
"Sophocles",28,0,2,7,5,4,3,0,1,92,0,0,50
"Thucydides",1,8,28,0,0,0,16,11,26,3,44,7,100
"Xenophon",0,5,24,0,1,0,20,6,23,1,12,24,92
