,Aeschylus,Diodorus,Herodotus,Hesiod,HomerIl,HomerOd,Lysias,Plutarch,Polybius,Sophocles,Thucydides,Xenophon,-SUM-,,,,
Polybius,0,2,0,0,0,0,0,1,37,0,1,1,5,,,,
Sophocles,5,0,0,0,1,0,0,0,0,32,0,0,6,,,,
Thucydides,0,0,3,0,0,0,0,2,2,0,15,2,9,,,,
Xenophon,0,0,3,0,0,0,3,0,3,0,9,20,18,,,,
-SUM-,7,5,13,1,7,8,6,3,28,4,22,6,110,,,,
Aeschylus,43,0,0,0,0,0,0,0,0,5,0,0,5,,,,
Diodorus,0,17,1,0,0,0,0,0,12,0,2,0,15,,,,
Herodotus,0,3,35,0,0,0,1,0,1,0,3,2,10,,,,
Hesiod,0,0,0,31,4,3,0,0,0,1,0,0,8,,,,
HomerIl,0,0,0,0,40,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,1,3,31,0,0,0,0,0,0,4,,,,
Lysias,0,1,4,0,0,0,26,0,2,0,2,2,11,,,,
Plutarch,0,1,1,0,0,0,2,19,11,0,2,1,18,,,,
Polybius,0,2,1,0,0,0,1,2,36,0,0,1,7,,,,
Sophocles,1,0,0,1,0,0,0,0,0,30,0,0,2,,,,
Thucydides,0,1,6,0,0,0,8,2,7,0,14,1,25,,,,
Xenophon,0,6,4,0,0,0,2,1,2,0,1,16,16,,,,
-SUM-,1,14,17,2,7,4,14,5,35,6,10,7,122,,,,
Aeschylus,38,0,0,0,0,0,0,0,0,1,0,0,1,,,,
Diodorus,0,27,0,0,0,0,0,0,12,0,1,0,13,,,,
Herodotus,0,4,19,0,0,0,2,0,2,0,4,5,17,,,,
Hesiod,0,0,0,28,2,2,0,0,0,1,0,0,5,,,,
HomerIl,0,0,0,0,25,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,6,34,0,0,0,0,0,0,6,,,,
Lysias,0,0,4,0,0,0,23,0,2,0,2,2,10,,,,
Plutarch,0,1,7,0,0,0,0,18,8,0,4,2,22,,,,
Polybius,0,4,0,0,0,0,1,1,44,0,0,0,6,,,,
Sophocles,5,0,0,0,0,1,0,0,0,39,0,0,6,,,,
Thucydides,0,0,9,0,0,0,3,1,3,0,28,2,18,,,,
Xenophon,0,2,3,0,0,0,3,1,4,0,3,16,16,,,,
-SUM-,5,11,23,0,8,4,9,3,31,2,14,11,121,,,,
Aeschylus,27,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,24,1,0,0,0,0,1,10,0,0,0,12,,,,
Herodotus,1,1,26,0,0,0,1,1,0,0,2,3,9,,,,
Hesiod,3,0,0,27,3,4,0,0,0,1,0,1,12,,,,
HomerIl,0,0,0,0,34,6,0,0,0,0,0,0,6,,,,
HomerOd,0,0,0,1,4,34,0,0,0,0,0,0,5,,,,
Lysias,0,1,8,0,0,0,23,0,0,0,2,6,17,,,,
Plutarch,0,0,5,0,0,0,1,23,10,0,1,1,18,,,,
Polybius,0,2,0,0,0,0,0,1,32,0,1,0,4,,,,
Sophocles,5,0,0,0,2,1,0,0,0,41,0,0,8,,,,
Thucydides,0,2,7,0,0,0,0,5,5,0,16,2,21,,,,
Xenophon,0,1,4,0,0,0,5,2,0,0,4,19,16,,,,
-SUM-,9,7,25,1,9,11,7,10,25,7,10,13,134,,,,
Aeschylus,34,0,0,1,0,0,0,0,0,6,0,0,7,,,,
Diodorus,0,21,2,0,0,0,0,0,16,0,0,0,18,,,,
Herodotus,0,1,33,0,0,0,1,0,3,0,2,0,7,,,,
