,Aeschylus,Diodorus,Herodotus,Hesiod,HomerIl,HomerOd,Lysias,Plutarch,Polybius,Sophocles,Thucydides,Xenophon,-SUM-,,,,
-SUM-,7,10,31,1,11,3,9,6,26,6,11,7,128,,,,
Aeschylus,33,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,31,0,0,0,0,0,0,18,0,1,2,21,,,,
Herodotus,0,1,31,0,0,0,6,1,3,0,5,1,17,,,,
Hesiod,2,0,0,29,5,1,0,0,0,1,0,0,9,,,,
HomerIl,0,0,0,0,25,4,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,2,36,0,0,0,0,0,0,2,,,,
Lysias,0,1,3,0,0,0,30,0,1,0,4,2,11,,,,
Plutarch,0,6,0,0,0,0,0,26,2,0,4,0,12,,,,
Polybius,0,5,0,0,0,0,0,2,28,0,0,1,8,,,,
Sophocles,3,0,0,0,0,1,0,0,0,36,0,0,4,,,,
Thucydides,0,0,1,0,0,0,6,1,3,0,20,0,11,,,,
Xenophon,0,0,8,0,0,0,2,0,2,0,4,17,16,,,,
-SUM-,5,13,12,0,7,6,14,4,29,4,18,6,118,,,,
Aeschylus,38,0,0,0,0,1,0,0,0,4,0,0,5,,,,
Diodorus,0,26,3,0,0,0,0,1,9,0,0,1,14,,,,
Herodotus,0,2,22,0,0,0,2,1,3,0,4,2,14,,,,
Hesiod,3,0,0,22,5,2,0,0,0,1,0,0,11,,,,
HomerIl,0,0,0,0,39,1,0,0,0,0,0,0,1,,,,
HomerOd,2,0,0,0,5,33,0,0,0,0,0,0,7,,,,
Lysias,0,0,2,0,0,0,22,1,0,0,1,4,8,,,,
Plutarch,0,2,3,0,0,0,1,22,6,0,4,1,17,,,,
Polybius,0,3,0,0,0,0,0,1,34,0,1,1,6,,,,
Sophocles,6,0,0,0,1,0,0,0,0,38,0,0,7,,,,
Thucydides,0,1,7,0,0,0,4,1,2,0,18,3,18,,,,
Xenophon,0,1,8,0,0,0,7,0,2,0,4,16,22,,,,
-SUM-,11,9,23,0,11,4,14,5,22,5,14,12,130,,,,
Aeschylus,32,0,0,1,0,0,0,0,0,0,0,0,1,,,,
Diodorus,0,19,2,0,0,0,0,2,15,0,0,0,19,,,,
Herodotus,0,1,29,0,0,0,3,1,0,0,1,3,9,,,,
Hesiod,1,0,1,27,5,4,0,0,0,1,0,0,12,,,,
HomerIl,0,0,0,0,37,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,1,7,36,0,0,0,0,0,0,8,,,,
Lysias,0,2,0,0,0,0,27,0,2,0,1,3,8,,,,
Plutarch,0,5,2,0,0,0,0,16,15,0,3,3,28,,,,
Polybius,0,3,0,0,0,0,0,1,24,0,1,0,5,,,,
Sophocles,5,0,0,0,1,0,0,0,0,32,0,0,6,,,,
Thucydides,0,1,7,0,0,0,2,1,2,0,19,0,13,,,,
Xenophon,0,3,7,0,0,0,3,1,7,0,5,24,26,,,,
-SUM-,6,15,19,2,13,7,8,6,41,1,11,9,138,,,,
Aeschylus,34,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,28,2,0,0,0,0,1,9,0,1,0,13,,,,
Herodotus,0,1,27,0,0,0,1,1,0,0,5,1,9,,,,
Hesiod,1,0,0,17,5,1,0,0,0,3,0,0,10,,,,
HomerIl,0,0,0,0,32,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,1,6,38,0,0,0,0,0,0,7,,,,
Lysias,0,0,4,0,0,0,35,0,1,0,8,3,16,,,,
Plutarch,0,1,2,0,0,0,2,21,5,0,5,0,15,,,,
Polybius,0,4,0,0,0,0,0,2,44,0,0,0,6,,,,
Sophocles,3,0,0,0,0,0,0,0,0,30,0,0,3,,,,
Thucydides,0,1,3,0,0,0,5,6,1,0,22,1,17,,,,
Xenophon,0,0,3,0,0,0,4,3,1,0,2,14,13,,,,
-SUM-,4,7,14,1,11,4,12,13,17,9,21,5,118,,,,
Aeschylus,32,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,29,2,0,0,0,0,0,11,0,0,0,13,,,,
Herodotus,0,1,27,0,0,0,0,1,0,0,2,4,8,,,,
Hesiod,1,0,0,28,5,3,0,0,0,1,0,0,10,,,,
HomerIl,0,0,0,0,49,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,3,34,0,0,0,0,0,0,3,,,,
Lysias,0,0,3,0,0,0,33,0,1,0,0,2,6,,,,
Plutarch,0,0,0,0,0,0,1,19,8,0,2,2,13,,,,
Polybius,0,5,0,0,0,0,0,2,32,0,2,0,9,,,,
Sophocles,3,0,0,0,0,0,0,0,0,27,0,0,3,,,,
Thucydides,0,2,7,0,0,0,4,6,4,0,21,6,29,,,,
Xenophon,0,2,5,0,0,0,4,2,1,0,1,15,15,,,,
-SUM-,4,10,17,0,8,5,9,11,25,4,7,14,114,,,,
Aeschylus,48,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,25,0,0,0,0,0,0,10,0,0,0,10,,,,
Herodotus,0,1,23,0,0,0,2,2,0,0,8,3,16,,,,
Hesiod,1,0,0,23,4,0,0,0,0,0,0,0,5,,,,
HomerIl,0,0,0,0,49,0,0,0,0,0,0,0,0,,,,
HomerOd,0,0,0,0,4,39,0,0,0,0,0,0,4,,,,
Lysias,0,0,3,0,0,0,23,0,3,0,1,1,8,,,,
Plutarch,0,0,1,0,0,0,1,21,7,0,4,1,14,,,,
Polybius,1,2,0,0,0,0,0,1,27,0,1,0,5,,,,
Sophocles,4,0,0,0,2,0,0,0,0,31,0,0,6,,,,
Thucydides,0,1,9,0,0,0,4,2,2,0,23,1,19,,,,
Xenophon,0,4,7,0,0,0,3,1,5,0,1,17,21,,,,
-SUM-,6,8,20,0,10,0,10,6,27,3,15,6,111,,,,
Aeschylus,32,0,0,0,1,1,0,0,0,8,0,0,10,,,,
Diodorus,0,26,0,0,0,0,0,0,5,0,1,1,7,,,,
Herodotus,0,3,26,0,0,0,3,1,3,0,7,9,26,,,,
Hesiod,2,0,0,24,5,3,0,0,0,1,0,0,11,,,,
HomerIl,0,0,0,0,37,0,0,0,0,0,0,0,0,,,,
HomerOd,0,0,0,2,4,35,0,0,0,0,0,0,6,,,,
Lysias,0,0,1,0,0,0,23,0,0,0,1,2,4,,,,
Plutarch,0,1,0,0,0,0,0,23,8,0,4,0,13,,,,
Polybius,0,4,0,0,0,0,1,3,31,0,0,1,9,,,,
Sophocles,1,0,0,0,2,0,0,0,0,32,0,0,3,,,,
Thucydides,0,0,5,0,0,0,5,4,5,0,24,4,23,,,,
Xenophon,0,1,1,0,0,0,8,2,3,0,5,15,20,,,,
-SUM-,3,9,7,2,12,4,17,10,24,9,18,17,132,,,,
Aeschylus,34,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,19,0,0,0,0,0,2,15,0,2,0,19,,,,
Herodotus,0,2,29,0,0,0,2,3,2,0,3,2,14,,,,
Hesiod,0,0,0,27,4,0,0,0,0,0,0,0,4,,,,
HomerIl,0,0,0,2,32,2,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,6,35,0,0,0,0,0,0,6,,,,
Lysias,0,0,5,0,0,0,28,0,1,0,4,3,13,,,,
Plutarch,0,1,1,0,0,0,1,23,3,0,4,1,11,,,,
Polybius,0,1,0,0,0,0,1,2,23,0,0,0,4,,,,
Sophocles,2,0,0,0,1,0,0,0,0,39,0,0,3,,,,
Thucydides,0,2,6,0,0,0,3,2,7,0,22,2,22,,,,
Xenophon,0,1,8,0,0,0,5,1,4,0,5,19,24,,,,
-SUM-,2,7,20,2,11,2,12,10,32,6,18,8,130,,,,
Aeschylus,45,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,21,1,0,0,0,0,0,13,0,1,0,15,,,,
Herodotus,0,0,32,0,0,0,2,1,2,0,4,5,14,,,,
Hesiod,2,0,0,26,3,3,0,0,0,1,0,0,9,,,,
HomerIl,0,0,0,0,30,1,0,0,0,0,0,0,1,,,,
HomerOd,1,0,0,1,4,37,0,0,0,0,0,0,6,,,,
Lysias,0,0,6,0,0,0,25,1,0,0,5,2,14,,,,
Plutarch,0,3,2,0,0,0,0,21,4,0,0,5,14,,,,
Polybius,0,2,0,0,0,0,0,1,28,0,1,1,5,,,,
Sophocles,1,0,0,0,0,1,0,0,0,33,0,0,2,,,,
Thucydides,0,1,7,0,0,0,2,1,4,0,24,1,16,,,,
Xenophon,0,4,3,0,0,0,4,1,1,0,4,19,17,,,,
-SUM-,4,10,19,1,7,5,8,5,24,7,15,14,119,,,,
Aeschylus,36,0,0,1,0,0,0,0,0,4,0,0,5,,,,
Diodorus,0,15,0,0,0,0,0,1,7,0,1,0,9,,,,
Herodotus,0,3,34,0,0,0,1,1,2,0,2,2,11,,,,
Hesiod,3,0,0,24,5,1,0,0,0,2,0,0,11,,,,
HomerIl,0,0,0,0,45,0,0,0,0,0,0,0,0,,,,
HomerOd,0,0,0,0,6,33,0,0,0,0,0,0,6,,,,
Lysias,0,0,4,0,0,0,28,1,1,0,5,1,12,,,,
Plutarch,0,1,3,0,0,0,0,29,5,0,0,2,11,,,,
Polybius,0,0,2,0,0,0,2,2,33,0,0,0,6,,,,
Sophocles,8,0,0,0,1,0,0,0,0,30,0,0,9,,,,
Thucydides,0,1,6,0,0,0,1,1,5,0,17,2,16,,,,
Xenophon,0,2,4,0,0,0,8,2,2,0,6,16,24,,,,
-SUM-,11,7,19,1,12,1,12,8,22,6,14,7,120,,,,
Aeschylus,26,0,0,0,0,0,0,0,0,7,0,0,7,,,,
Diodorus,0,20,0,0,0,0,0,1,16,0,2,1,20,,,,
Herodotus,0,2,26,0,0,0,1,1,0,0,6,0,10,,,,
Hesiod,0,0,0,24,6,4,0,0,0,0,0,0,10,,,,
HomerIl,0,0,0,0,39,3,0,0,0,0,0,0,3,,,,
HomerOd,1,0,0,0,5,44,0,0,0,0,0,0,6,,,,
Lysias,0,0,4,0,0,0,26,0,0,0,3,0,7,,,,
Plutarch,0,1,3,0,0,0,2,21,9,0,3,2,20,,,,
Polybius,0,3,0,0,0,0,0,1,37,0,1,0,5,,,,
Sophocles,4,0,0,0,2,0,0,0,0,33,0,0,6,,,,
Thucydides,0,1,7,0,0,0,1,1,5,0,19,4,19,,,,
Xenophon,0,0,5,0,0,0,3,0,7,0,3,14,18,,,,
-SUM-,5,7,19,0,13,7,7,4,37,7,18,7,131,,,,
Aeschylus,33,0,0,0,0,2,0,0,0,4,0,0,6,,,,
Diodorus,0,14,3,0,0,0,0,0,10,0,0,0,13,,,,
Herodotus,0,1,28,0,0,0,3,2,3,0,3,2,14,,,,
Hesiod,0,0,0,30,1,3,0,0,0,0,0,0,4,,,,
HomerIl,0,0,0,0,32,6,0,0,0,0,0,0,6,,,,
HomerOd,0,0,0,1,12,48,0,0,0,0,0,0,13,,,,
Lysias,0,0,4,0,0,0,17,0,0,0,2,1,7,,,,
Plutarch,0,3,3,0,0,0,0,23,8,0,3,2,19,,,,
Polybius,0,5,1,0,0,0,0,3,35,0,1,0,10,,,,
Sophocles,0,0,0,0,2,1,0,0,0,34,0,0,3,,,,
Thucydides,0,1,13,0,0,0,1,3,1,0,17,1,20,,,,
Xenophon,0,4,5,0,0,0,7,1,6,0,0,11,23,,,,
-SUM-,0,14,29,1,15,12,11,9,28,4,9,6,138,,,,
Aeschylus,40,0,0,1,0,0,0,0,0,5,0,0,6,,,,
Diodorus,0,18,0,0,0,0,0,1,11,0,0,0,12,,,,
Herodotus,0,0,24,0,0,0,3,0,0,0,3,1,7,,,,
Hesiod,2,0,0,24,2,1,0,0,0,1,0,0,6,,,,
HomerIl,0,0,0,0,39,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,5,50,0,0,0,0,0,0,5,,,,
Lysias,0,0,5,0,0,0,31,1,0,0,6,1,13,,,,
Plutarch,0,2,5,0,0,0,3,16,9,0,4,1,24,,,,
Polybius,0,1,3,0,0,0,0,1,33,0,0,2,7,,,,
Sophocles,5,0,0,0,0,0,0,0,0,32,0,0,5,,,,
Thucydides,0,2,3,0,0,0,1,4,0,0,16,5,15,,,,
Xenophon,0,1,5,0,0,0,3,2,3,0,4,17,18,,,,
-SUM-,7,6,21,1,7,3,10,9,23,6,17,10,120,,,,
Aeschylus,29,0,0,0,0,0,0,0,0,7,0,0,7,,,,
Diodorus,0,27,0,0,0,0,0,0,9,0,0,0,9,,,,
Herodotus,0,0,21,0,0,0,4,1,2,0,4,2,13,,,,
Hesiod,1,0,0,25,6,1,0,0,0,0,0,0,8,,,,
HomerIl,0,0,0,0,38,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,3,25,0,0,0,0,0,0,3,,,,
Lysias,0,0,5,0,0,0,17,0,2,0,0,1,8,,,,
Plutarch,0,2,2,0,0,0,0,20,3,0,3,0,10,,,,
Polybius,1,5,0,0,0,0,1,1,46,0,1,0,9,,,,
Sophocles,2,0,0,0,0,1,0,0,0,50,0,0,3,,,,
Thucydides,0,5,9,0,0,0,4,0,3,0,24,6,27,,,,
Xenophon,0,3,5,0,0,0,3,2,8,0,4,15,25,,,,
-SUM-,4,15,21,0,9,3,12,4,27,7,12,9,123,,,,
Aeschylus,41,0,0,0,0,0,0,0,0,7,0,0,7,,,,
Diodorus,0,20,0,0,0,0,0,0,10,0,1,1,12,,,,
Herodotus,0,3,21,0,0,0,2,2,5,0,2,1,15,,,,
Hesiod,2,0,0,24,8,1,0,0,0,1,0,0,12,,,,
HomerIl,0,0,0,1,45,2,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,1,1,33,0,0,0,0,0,0,2,,,,
Lysias,0,2,2,0,0,0,22,1,1,0,2,1,9,,,,
Plutarch,0,2,2,0,0,0,1,20,4,0,1,3,13,,,,
Polybius,0,2,0,0,0,0,0,0,38,0,1,1,4,,,,
Sophocles,6,0,0,0,0,0,0,0,0,37,0,0,6,,,,
Thucydides,0,1,3,0,0,0,8,5,3,0,17,1,21,,,,
Xenophon,0,1,3,0,0,0,7,0,7,0,5,15,23,,,,
-SUM-,8,11,10,2,9,3,18,8,30,8,12,8,127,,,,
Aeschylus,29,0,0,1,0,1,0,0,0,8,0,0,10,,,,
Diodorus,0,19,0,0,0,0,0,1,11,0,1,1,14,,,,
Herodotus,0,1,30,0,0,0,1,1,3,0,3,4,13,,,,
Hesiod,1,0,0,23,2,2,0,0,0,2,0,0,7,,,,
HomerIl,0,0,0,0,48,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,0,3,24,0,0,0,0,0,0,3,,,,
Lysias,0,0,4,0,0,0,28,0,3,0,2,4,13,,,,
Plutarch,0,1,4,0,0,0,0,16,7,0,1,2,15,,,,
Polybius,0,3,0,0,0,0,0,2,38,0,3,0,8,,,,
Sophocles,4,0,0,0,0,0,0,0,0,39,0,0,4,,,,
Thucydides,0,2,8,0,0,0,2,2,8,0,23,2,24,,,,
Xenophon,0,2,3,0,0,0,5,1,6,0,2,10,19,,,,
-SUM-,5,9,19,1,5,6,8,7,38,10,12,13,133,,,,
Aeschylus,35,0,0,0,0,0,0,0,0,2,0,0,2,,,,
Diodorus,0,23,2,0,0,0,0,1,15,0,2,0,20,,,,
Herodotus,0,1,26,0,0,0,1,1,1,0,3,1,8,,,,
Hesiod,1,0,0,24,2,4,0,0,0,1,0,0,8,,,,
HomerIl,0,0,0,1,38,1,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,2,33,0,0,0,0,0,0,2,,,,
Lysias,0,0,4,0,0,0,23,1,0,0,2,2,9,,,,
Plutarch,0,1,4,0,0,0,2,24,15,0,2,3,27,,,,
Polybius,0,2,0,0,0,0,0,0,39,0,2,1,5,,,,
Sophocles,4,0,1,0,0,0,0,0,0,25,0,0,5,,,,
Thucydides,0,4,6,0,0,0,3,2,7,0,19,1,23,,,,
Xenophon,0,1,6,0,0,0,4,4,1,0,1,23,17,,,,
-SUM-,5,9,23,1,4,5,10,9,39,3,12,8,128,,,,
Aeschylus,39,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,24,0,0,0,0,0,0,8,0,0,0,8,,,,
Herodotus,0,0,21,0,0,0,1,1,3,0,4,1,10,,,,
Hesiod,1,0,1,27,7,7,0,0,0,2,0,0,18,,,,
HomerIl,0,0,0,0,44,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,0,5,26,0,0,0,0,0,0,5,,,,
Lysias,0,0,2,0,0,0,33,2,3,0,2,2,11,,,,
Plutarch,0,3,3,0,0,0,0,24,5,0,4,3,18,,,,
Polybius,0,4,0,0,0,0,0,0,35,0,1,1,6,,,,
Sophocles,3,0,0,1,0,0,0,0,0,35,0,0,4,,,,
Thucydides,0,1,7,0,0,0,2,0,4,0,13,0,14,,,,
Xenophon,0,2,2,0,0,0,2,2,2,0,4,22,14,,,,
-SUM-,4,10,15,1,12,10,5,5,25,8,15,7,117,,,,
Aeschylus,44,0,0,0,1,0,0,0,0,5,0,0,6,,,,
Diodorus,0,12,1,0,0,0,0,1,15,0,0,0,17,,,,
Herodotus,0,0,25,0,0,0,2,0,2,0,2,3,9,,,,
Hesiod,2,0,1,31,4,2,0,0,0,0,0,0,9,,,,
HomerIl,0,0,0,0,39,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,5,38,0,0,0,0,0,0,5,,,,
Lysias,0,0,5,0,0,0,22,0,0,0,4,4,13,,,,
Plutarch,0,1,1,0,0,0,0,23,5,0,3,0,10,,,,
Polybius,0,2,0,0,0,0,0,3,29,0,0,0,5,,,,
Sophocles,5,0,0,1,0,0,0,0,0,36,0,0,6,,,,
Thucydides,0,1,12,0,0,0,3,1,4,0,22,3,24,,,,
Xenophon,0,1,2,0,0,0,6,3,4,0,0,18,16,,,,
-SUM-,7,5,22,1,10,3,11,8,30,5,9,10,121,,,,
Aeschylus,30,0,0,0,1,0,0,0,0,6,0,0,7,,,,
Diodorus,0,25,0,0,0,0,0,0,9,0,1,0,10,,,,
Herodotus,0,1,28,0,0,0,3,1,2,0,2,1,10,,,,
Hesiod,3,0,0,26,5,4,0,0,0,2,0,0,14,,,,
HomerIl,0,0,0,0,39,9,0,0,0,0,0,0,9,,,,
HomerOd,1,0,0,0,6,48,0,0,0,0,0,0,7,,,,
Lysias,0,0,5,0,0,0,21,1,2,0,4,3,15,,,,
Plutarch,0,1,2,0,0,0,1,17,2,0,4,2,12,,,,
Polybius,0,3,1,0,0,0,0,2,26,0,1,1,8,,,,
Sophocles,2,0,0,0,2,0,0,0,0,34,0,0,4,,,,
Thucydides,0,1,4,0,0,0,5,1,3,0,28,0,14,,,,
Xenophon,0,3,5,0,0,0,3,1,1,0,2,13,15,,,,
-SUM-,6,9,17,0,14,13,12,6,19,8,14,7,125,,,,
Aeschylus,36,0,0,0,2,0,0,0,0,3,0,0,5,,,,
Diodorus,0,25,0,0,0,0,0,0,9,0,0,0,9,,,,
Herodotus,0,1,22,0,0,0,2,0,0,0,6,2,11,,,,
Hesiod,3,0,0,25,6,4,0,0,0,0,0,0,13,,,,
HomerIl,0,0,0,0,38,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,3,34,0,0,0,0,0,0,3,,,,
Lysias,0,0,5,0,0,0,30,0,0,0,4,3,12,,,,
Plutarch,0,6,0,0,0,0,1,24,4,0,3,3,17,,,,
Polybius,0,2,2,0,0,0,0,0,27,0,4,1,9,,,,
Sophocles,3,0,0,0,1,0,0,0,0,38,0,0,4,,,,
Thucydides,0,2,7,0,0,0,3,1,4,0,22,0,17,,,,
Xenophon,0,3,3,0,0,0,6,1,7,0,5,13,25,,,,
-SUM-,6,14,17,0,12,5,12,2,24,3,22,9,126,,,,
Aeschylus,37,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,21,1,0,0,0,0,2,9,0,1,1,14,,,,
Herodotus,0,2,29,0,0,0,3,1,3,0,2,1,12,,,,
Hesiod,1,0,0,23,7,5,0,0,0,1,0,0,14,,,,
HomerIl,0,0,0,0,33,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,1,4,34,0,0,0,0,0,0,5,,,,
Lysias,0,0,7,0,0,0,22,0,4,0,4,1,16,,,,
Plutarch,0,4,1,0,0,0,1,14,11,0,1,1,19,,,,
Polybius,0,3,1,0,0,0,0,2,33,0,0,1,7,,,,
Sophocles,2,0,0,0,1,0,0,0,0,42,0,0,3,,,,
Thucydides,0,1,5,0,0,0,2,3,5,0,20,1,17,,,,
Xenophon,0,4,6,0,0,0,5,2,1,0,1,18,19,,,,
-SUM-,3,14,21,1,12,7,11,10,33,7,9,6,134,,,,
Aeschylus,33,0,0,1,0,0,0,0,0,7,0,0,8,,,,
Diodorus,0,28,0,0,0,0,0,0,9,0,1,0,10,,,,
Herodotus,1,3,24,0,0,0,5,1,2,0,0,1,13,,,,
Hesiod,0,0,0,24,2,2,0,0,0,1,0,0,5,,,,
HomerIl,0,0,0,0,38,4,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,5,34,0,0,0,0,0,0,5,,,,
Lysias,0,0,4,0,0,0,26,0,3,0,3,3,13,,,,
Plutarch,0,3,4,0,0,0,1,22,10,0,5,0,23,,,,
Polybius,0,2,0,0,0,0,0,3,41,0,0,0,5,,,,
Sophocles,1,0,0,0,0,0,0,0,0,32,0,0,1,,,,
Thucydides,0,3,3,0,0,0,1,2,4,0,21,2,15,,,,
Xenophon,0,2,5,0,0,0,3,2,4,0,3,16,19,,,,
-SUM-,2,13,16,1,7,6,10,8,32,8,12,6,121,,,,
Aeschylus,33,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,28,0,0,0,0,0,0,9,0,1,0,10,,,,
Herodotus,0,3,27,0,0,0,3,0,0,0,3,6,15,,,,
Hesiod,1,0,0,29,3,2,0,0,0,0,0,0,6,,,,
HomerIl,1,0,0,1,34,2,0,0,0,0,0,0,4,,,,
HomerOd,1,0,0,1,4,35,0,0,0,0,0,0,6,,,,
Lysias,0,0,4,0,0,0,21,0,1,0,3,1,9,,,,
Plutarch,0,2,2,0,0,0,0,24,8,0,0,1,13,,,,
Polybius,0,3,1,0,0,0,0,1,40,0,0,0,5,,,,
Sophocles,4,0,0,0,0,0,0,0,0,36,0,0,4,,,,
Thucydides,0,1,10,0,0,0,3,1,5,0,13,1,21,,,,
Xenophon,0,2,4,0,0,0,6,0,3,0,5,24,20,,,,
-SUM-,7,11,21,2,7,4,12,2,26,3,12,9,116,,,,
Aeschylus,35,0,0,0,0,0,0,0,0,2,0,0,2,,,,
Diodorus,0,24,0,0,0,0,0,0,9,0,0,0,9,,,,
Herodotus,0,2,26,0,0,0,0,1,1,0,4,1,9,,,,
Hesiod,1,0,0,24,4,3,0,0,0,0,0,0,8,,,,
HomerIl,0,0,0,0,40,6,0,0,0,0,0,0,6,,,,
HomerOd,0,0,0,0,6,34,0,0,0,0,0,0,6,,,,
Lysias,0,0,5,0,0,0,24,0,2,0,7,3,17,,,,
Plutarch,0,6,1,0,0,0,0,27,4,0,4,0,15,,,,
Polybius,0,3,0,0,0,0,1,1,32,0,1,0,6,,,,
Sophocles,6,0,0,0,1,1,0,0,0,35,0,0,8,,,,
Thucydides,0,0,5,0,0,0,1,1,1,0,19,1,9,,,,
Xenophon,0,4,7,0,0,0,6,1,5,0,5,17,28,,,,
-SUM-,7,15,18,0,11,10,8,4,22,2,21,5,123,,,,
Aeschylus,40,0,0,0,1,0,0,0,0,4,0,0,5,,,,
Diodorus,0,25,1,0,0,0,0,2,14,0,0,0,17,,,,
Herodotus,0,3,27,0,0,0,3,0,1,0,2,3,12,,,,
Hesiod,2,0,0,26,5,3,0,0,0,0,0,0,10,,,,
HomerIl,0,0,0,1,41,5,0,0,0,0,0,0,6,,,,
HomerOd,1,0,0,1,3,29,0,0,0,0,0,0,5,,,,
Lysias,0,0,7,0,0,0,22,1,1,0,2,8,19,,,,
Plutarch,0,1,5,0,0,0,0,23,5,0,3,2,16,,,,
Polybius,0,4,0,0,0,0,0,1,27,0,0,1,6,,,,
Sophocles,3,0,0,0,1,0,0,0,0,25,0,0,4,,,,
Thucydides,0,0,2,0,0,0,5,2,5,0,15,4,18,,,,
Xenophon,0,2,7,0,0,0,3,3,2,0,4,21,21,,,,
-SUM-,6,10,22,2,10,8,11,9,28,4,11,18,139,,,,
Aeschylus,40,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,25,0,0,0,0,0,1,8,0,0,1,10,,,,
Herodotus,0,1,26,0,0,0,1,2,3,0,5,0,12,,,,
Hesiod,4,0,0,20,2,1,0,0,0,1,0,0,8,,,,
HomerIl,0,0,0,0,36,5,0,0,0,0,0,0,5,,,,
HomerOd,0,0,0,0,7,35,0,0,0,0,0,0,7,,,,
Lysias,0,0,4,0,0,0,21,0,3,0,4,1,12,,,,
Plutarch,0,0,1,0,0,0,1,21,7,0,0,0,9,,,,
Polybius,0,3,2,0,0,0,0,2,44,0,0,0,7,,,,
Sophocles,5,0,0,0,1,0,0,0,0,29,0,0,6,,,,
Thucydides,0,2,5,0,0,0,4,2,4,0,22,1,18,,,,
Xenophon,0,0,6,0,0,0,8,1,6,0,3,20,24,,,,
-SUM-,9,6,18,0,10,6,14,8,31,4,12,3,121,,,,
Aeschylus,34,0,0,1,0,0,0,0,0,3,0,0,4,,,,
Diodorus,0,22,1,0,0,0,0,0,13,0,1,0,15,,,,
Herodotus,0,1,28,0,0,0,2,1,0,0,0,1,5,,,,
Hesiod,3,0,0,25,5,2,0,0,0,1,0,0,11,,,,
HomerIl,0,0,0,0,29,5,0,0,0,0,0,0,5,,,,
HomerOd,0,0,0,1,3,37,0,0,0,0,0,0,4,,,,
Lysias,0,0,3,0,0,0,25,0,3,0,5,2,13,,,,
Plutarch,0,0,2,0,0,0,0,25,7,0,2,2,13,,,,
Polybius,0,4,1,0,0,0,0,0,32,0,2,0,7,,,,
Sophocles,5,0,0,0,0,0,0,0,0,34,0,0,5,,,,
Thucydides,0,0,4,0,0,0,2,2,3,0,25,1,12,,,,
Xenophon,0,3,4,0,0,0,3,3,6,0,7,24,26,,,,
-SUM-,8,8,15,2,8,7,7,6,32,4,17,6,120,,,,
Aeschylus,34,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,26,1,0,0,0,0,0,11,0,0,2,14,,,,
Herodotus,0,0,23,0,0,0,2,1,0,0,3,2,8,,,,
Hesiod,1,0,0,32,3,2,0,0,0,1,0,0,7,,,,
HomerIl,0,0,0,2,44,2,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,6,24,0,0,0,0,0,0,6,,,,
Lysias,0,0,2,0,0,0,26,1,2,0,5,1,11,,,,
Plutarch,0,3,0,0,0,0,0,24,12,0,3,2,20,,,,
Polybius,0,3,3,0,0,0,0,0,30,0,0,0,6,,,,
Sophocles,4,0,0,0,0,0,0,0,0,42,0,0,4,,,,
Thucydides,0,1,5,0,0,0,3,1,1,0,23,1,12,,,,
Xenophon,0,2,1,0,0,0,5,3,5,0,2,18,18,,,,
-SUM-,5,9,12,2,9,4,10,6,31,5,13,8,114,,,,
Aeschylus,35,0,0,0,0,0,0,0,0,8,0,0,8,,,,
Diodorus,0,26,0,0,0,0,0,2,13,0,0,0,15,,,,
Herodotus,0,1,31,0,0,0,2,2,3,0,5,0,13,,,,
Hesiod,1,0,0,20,8,1,0,0,0,1,0,0,11,,,,
HomerIl,0,0,0,1,33,0,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,5,34,0,0,0,0,0,0,5,,,,
Lysias,0,0,5,0,0,0,23,0,2,0,7,3,17,,,,
Plutarch,0,1,1,0,0,0,1,20,4,0,2,3,12,,,,
Polybius,0,3,0,0,0,0,1,0,43,0,0,1,5,,,,
