"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIl","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",47,0,0,2,0,1,0,0,0,5,0,0,8
"Diodorus",0,24,1,0,0,0,0,3,11,0,0,0,15
"Herodotus",0,1,23,0,0,0,2,1,6,1,4,4,19
"Hesiod",0,0,0,30,6,1,0,0,0,2,0,1,10
"HomerIl",0,0,0,0,47,5,0,0,0,1,0,0,6
"HomerOd",0,0,0,1,8,48,0,0,0,0,0,0,9
"Lysias",0,0,8,0,0,0,28,0,5,0,2,10,25
"Plutarch",0,0,2,0,0,0,1,21,9,0,4,4,20
"Polybius",0,1,1,0,0,0,1,3,27,0,2,1,9
"Sophocles",13,0,0,1,2,0,0,0,1,50,0,0,17
"Thucydides",0,1,10,0,0,0,4,4,3,0,19,6,28
"Xenophon",0,2,3,0,0,0,9,1,4,1,3,22,23
"-SUM-",13,5,25,4,16,7,17,12,39,10,15,26,189
"Aeschylus",40,0,0,0,1,1,0,0,0,7,0,0,9
"Diodorus",0,29,0,0,0,0,0,1,11,0,2,0,14
"Herodotus",0,2,29,0,0,0,2,1,4,1,0,6,16
"Hesiod",5,0,0,26,3,2,0,0,0,2,0,0,12
"HomerIl",0,0,0,0,55,0,0,0,0,0,0,0,0
"HomerOd",1,0,0,0,6,44,0,0,0,0,0,0,7
"Lysias",0,0,8,0,0,0,28,2,4,0,5,5,24
"Plutarch",0,3,6,0,0,0,0,21,11,0,4,1,25
"Polybius",0,3,1,0,0,0,0,1,47,0,0,0,5
"Sophocles",12,0,0,0,1,0,0,0,0,38,0,0,13
"Thucydides",0,1,4,0,0,0,4,4,4,0,24,5,22
"Xenophon",0,0,7,0,0,0,10,0,4,0,6,20,27
"-SUM-",18,9,26,0,11,3,16,9,38,10,17,17,174
"Aeschylus",42,0,0,1,1,1,0,0,0,10,0,0,13
"Diodorus",0,33,3,0,0,0,0,1,20,0,1,1,26
"Herodotus",0,2,27,0,0,0,4,2,1,0,2,5,16
"Hesiod",1,0,0,31,9,1,0,0,0,2,0,0,13
"HomerIl",0,0,0,1,47,4,0,0,0,0,0,0,5
"HomerOd",1,0,0,1,4,37,0,0,0,0,0,0,6
"Lysias",0,1,5,0,0,0,28,0,4,0,8,6,24
"Plutarch",0,1,7,0,0,0,2,25,8,0,6,1,25
"Polybius",0,2,1,0,0,0,2,1,39,0,0,0,6
"Sophocles",7,0,0,1,1,1,0,0,0,35,0,0,10
"Thucydides",0,3,10,0,0,0,3,4,5,0,20,4,29
"Xenophon",0,1,5,0,0,0,6,2,4,0,6,14,24
"-SUM-",9,10,31,4,15,7,17,10,42,12,23,17,197
"Aeschylus",47,0,0,0,0,0,0,0,0,13,0,0,13
"Diodorus",0,26,6,0,0,0,1,0,17,0,0,3,27
"Herodotus",0,5,27,0,0,0,3,2,3,0,3,2,18
"Hesiod",3,0,0,28,6,4,0,0,0,1,0,1,15
"HomerIl",0,0,0,1,45,2,0,0,0,0,0,0,3
"HomerOd",0,0,0,1,6,37,0,0,0,0,0,0,7
"Lysias",0,0,2,0,0,0,36,0,2,0,5,12,21
"Plutarch",0,2,1,0,0,0,1,24,5,0,3,1,13
"Polybius",0,3,1,0,0,0,3,1,37,0,2,1,11
"Sophocles",8,0,0,1,1,2,0,0,0,36,0,0,12
"Thucydides",0,3,9,0,0,0,5,4,5,0,24,5,31
"Xenophon",0,2,4,0,0,0,2,1,4,0,3,21,16
"-SUM-",11,15,23,3,13,8,15,8,36,14,16,25,187
"Aeschylus",34,0,0,1,2,0,0,0,0,9,0,0,12
"Diodorus",0,21,1,0,0,0,0,0,14,0,0,0,15
"Herodotus",0,4,26,0,0,0,3,1,5,0,1,7,21
"Hesiod",4,0,0,31,6,3,0,0,0,1,0,0,14
"HomerIl",0,0,0,1,45,4,0,0,0,0,0,0,5
"HomerOd",0,0,0,1,5,47,0,0,0,0,0,0,6
"Lysias",0,0,6,0,0,0,28,1,3,0,4,8,22
"Plutarch",0,2,5,0,0,0,1,29,11,0,7,1,27
"Polybius",0,2,0,0,0,0,0,0,42,0,0,0,2
"Sophocles",7,0,0,0,1,0,1,0,0,45,0,0,9
"Thucydides",0,2,9,0,0,0,5,2,5,0,26,7,30
"Xenophon",0,0,7,0,0,0,4,3,6,0,3,15,23
"-SUM-",11,10,28,3,14,7,14,7,44,10,15,23,186
"Aeschylus",40,0,0,2,2,0,0,0,0,3,0,0,7
"Diodorus",0,22,0,0,0,0,0,1,12,0,0,1,14
"Herodotus",0,2,34,0,0,0,1,2,3,0,4,4,16
"Hesiod",4,0,0,37,5,3,0,0,0,2,0,0,14
"HomerIl",1,0,0,1,42,2,0,0,0,0,0,0,4
"HomerOd",0,0,0,2,10,43,0,0,0,0,0,0,12
"Lysias",0,0,5,0,0,0,26,1,1,0,8,4,19
"Plutarch",0,2,5,0,0,0,0,35,6,0,2,3,18
"Polybius",0,3,0,0,0,0,0,2,45,0,2,0,7
