"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Hesiod",14,0,0,54,24,16,0,0,0,7,0,0,61
"HomerIL",1,0,0,4,119,13,0,0,0,4,0,0,22
"HomerOd",1,0,0,2,35,80,0,0,0,2,0,0,40
"Lysias",0,6,19,0,0,1,47,3,16,0,11,16,72
"Plutarch",0,12,16,0,0,0,9,33,35,1,6,5,84
"Polybius",1,11,9,0,0,0,4,5,85,0,3,0,33
"Sophocles",23,0,1,3,4,2,2,0,0,94,0,0,35
"Thucydides",0,10,21,0,0,1,5,6,16,1,37,9,69
"Xenophon",0,9,20,0,0,0,7,3,15,3,13,40,70
"-SUM-",41,59,89,11,75,35,33,24,147,34,51,42,641
"Aeschylus",78,0,1,3,6,5,0,1,0,17,0,0,33
"Diodorus",0,57,6,0,1,0,1,5,56,0,3,2,74
"Herodotus",2,5,61,1,1,0,10,6,10,2,9,6,52
"Hesiod",12,0,0,54,20,15,0,0,0,5,0,0,52
"HomerIL",1,0,0,2,76,18,0,0,0,1,0,0,22
"HomerOd",2,0,0,6,34,96,0,0,0,1,0,0,43
"Lysias",0,3,13,0,0,0,60,2,12,1,7,17,55
"Plutarch",1,10,19,0,0,0,6,41,33,2,7,8,86
"Polybius",1,12,6,0,0,0,2,7,89,0,3,1,32
"Sophocles",22,0,2,4,6,3,0,0,1,95,0,0,38
"Thucydides",0,5,27,0,0,1,8,10,23,0,38,11,85
"Xenophon",1,9,16,0,1,0,17,6,21,0,9,38,80
"-SUM-",42,44,90,16,69,42,44,37,156,29,38,45,652
"Aeschylus",69,0,0,0,1,3,0,1,0,21,0,0,26
"Diodorus",0,53,10,0,0,0,3,4,50,0,8,4,79
"Herodotus",0,7,67,1,0,0,11,7,17,1,11,8,63
"Hesiod",16,0,0,44,25,16,0,0,0,11,0,0,68
"HomerIL",1,0,0,4,106,18,0,0,0,1,0,0,24
"HomerOd",6,0,1,5,17,86,0,0,0,2,0,0,31
"Lysias",0,1,20,0,3,0,53,3,11,1,5,17,61
"Plutarch",1,10,12,0,0,1,4,36,38,0,9,5,80
"Polybius",0,6,5,0,0,0,5,9,99,0,3,2,30
"Sophocles",32,0,0,4,5,2,0,0,1,83,1,0,45
"Thucydides",0,6,19,0,0,0,8,13,18,0,43,10,74
"Xenophon",0,7,19,0,0,0,17,4,16,1,13,38,77
"-SUM-",56,37,86,14,51,40,48,41,151,38,50,46,658
"Aeschylus",79,0,0,3,6,4,1,0,0,17,0,0,31
"Diodorus",0,46,7,0,0,0,0,5,52,0,0,2,66
"Herodotus",0,7,60,0,3,0,11,9,10,0,6,9,55
"Hesiod",10,0,0,63,22,14,0,0,0,6,0,0,52
"HomerIL",1,0,0,5,91,21,0,0,0,2,0,0,29
"HomerOd",1,0,0,6,28,77,0,0,0,0,0,0,35
"Lysias",1,4,13,0,0,0,66,5,16,0,7,13,59
"Plutarch",0,6,15,0,0,0,6,43,30,0,7,6,70
"Polybius",1,10,6,0,0,0,3,6,111,0,4,3,33
"Sophocles",31,0,2,4,5,4,2,0,0,81,0,0,48
"Thucydides",0,4,23,0,0,0,14,7,21,0,39,9,78
"Xenophon",0,5,17,0,0,0,26,13,11,2,13,36,87
"-SUM-",45,36,83,18,64,43,63,45,140,27,37,42,643
"Aeschylus",87,0,0,1,6,1,0,0,0,24,0,0,32
"Diodorus",0,50,6,0,0,0,0,4,43,0,1,3,57
"Herodotus",1,1,64,0,0,0,7,15,16,0,10,10,60
"Hesiod",21,0,0,73,21,11,0,0,0,8,0,0,61
"HomerIL",2,0,0,3,107,16,0,0,0,1,0,0,22
"HomerOd",2,0,0,4,33,105,0,0,0,1,0,0,40
"Lysias",1,3,15,0,0,1,53,2,15,1,5,17,60
"Plutarch",0,9,9,1,0,0,6,29,30,1,9,4,69
"Polybius",0,14,2,0,0,0,0,4,91,0,5,4,29
"Sophocles",22,0,1,1,5,5,0,0,0,86,0,0,34
"Thucydides",0,4,17,0,0,0,10,8,17,0,47,11,67
"Xenophon",0,4,16,0,1,0,19,8,9,0,16,39,73
"-SUM-",49,35,66,10,66,34,42,41,130,36,46,49,604
"Aeschylus",87,0,0,5,4,3,0,0,1,23,0,0,36
"Diodorus",1,44,7,0,1,0,0,5,42,0,1,2,59
"Herodotus",0,8,68,0,1,0,5,9,11,0,16,7,57
"Hesiod",11,0,0,52,28,11,0,0,0,6,0,0,56
"HomerIL",0,0,0,6,98,21,0,0,0,3,0,0,30
"HomerOd",3,0,0,5,33,85,0,0,0,1,0,0,42
"Lysias",0,2,9,0,0,0,54,8,22,3,7,21,72
"Plutarch",0,10,19,0,0,0,4,40,32,1,7,4,77
"Polybius",0,12,6,0,0,0,2,4,77,0,4,0,28
"Sophocles",21,0,1,6,2,2,1,0,0,94,1,1,35
"Thucydides",0,6,28,0,0,0,9,12,16,0,49,8,79
"Xenophon",0,9,17,0,1,0,24,4,20,1,12,28,88
"-SUM-",36,47,87,22,70,37,45,42,144,38,48,43,659
"Aeschylus",92,0,0,1,8,2,0,0,0,20,0,0,31
"Diodorus",0,50,9,0,0,0,0,5,42,0,4,1,61
"Herodotus",2,4,67,0,1,1,6,7,19,1,14,4,59
"Hesiod",13,0,0,66,22,10,0,0,0,5,0,0,50
"HomerIL",1,0,0,0,101,16,0,0,0,1,0,0,18
"HomerOd",0,0,0,2,32,93,0,0,0,0,0,0,34
"Lysias",1,5,20,0,1,0,53,5,15,1,9,15,72
"Plutarch",0,15,11,0,0,0,3,39,28,0,8,6,71
"Polybius",0,14,7,0,0,0,3,2,76,1,4,5,36
"Sophocles",30,0,2,3,7,2,0,0,1,90,0,0,45
"Thucydides",0,2,23,0,1,1,11,8,30,0,29,6,82
"Xenophon",0,3,13,0,0,0,20,8,28,0,11,37,83
"-SUM-",47,43,85,6,72,32,43,35,163,29,50,37,642
"Aeschylus",86,0,1,2,5,1,0,0,0,21,0,0,30
"Diodorus",0,37,7,0,0,1,5,3,54,0,3,0,73
"Herodotus",1,3,69,0,2,0,11,6,22,2,7,7,61
"Hesiod",10,0,0,63,25,20,0,0,0,5,0,0,60
"HomerIL",1,0,0,3,109,16,0,0,0,0,0,0,20
"HomerOd",2,0,0,2,30,86,0,0,0,1,0,0,35
"Lysias",1,2,12,0,1,0,52,3,11,1,8,10,49
"Plutarch",0,10,17,1,0,0,5,32,44,0,7,2,86
"Polybius",0,12,3,0,0,0,2,6,83,0,2,5,30
"Sophocles",22,0,0,2,5,3,0,0,0,87,0,0,32
"Thucydides",0,12,27,0,0,1,14,6,26,0,34,11,97
"Xenophon",0,4,24,0,0,2,27,3,16,1,18,29,95
"-SUM-",37,43,91,10,68,44,64,27,173,31,45,35,668
"Aeschylus",85,0,2,3,2,3,0,0,0,28,0,0,38
"Diodorus",0,41,2,0,0,0,3,5,53,0,1,3,67
"Herodotus",2,11,65,0,0,0,8,3,22,0,10,8,64
"Hesiod",10,0,0,58,31,18,0,0,0,4,0,0,63
"HomerIL",4,0,0,2,104,18,0,0,0,1,0,0,25
"HomerOd",1,0,0,0,26,74,0,0,0,1,0,0,28
"Lysias",0,3,18,0,0,0,59,5,9,1,6,16,58
"Plutarch",1,10,14,1,0,0,5,35,35,2,9,6,83
"Polybius",0,13,8,0,0,0,1,4,91,0,7,0,33
"Sophocles",19,0,1,1,7,2,0,0,0,91,0,1,31
"Thucydides",0,12,20,0,0,0,15,7,24,0,27,10,88
"Xenophon",1,14,22,0,1,0,20,11,12,1,14,31,96
"-SUM-",38,63,87,7,67,41,52,35,155,38,47,44,674
"Aeschylus",91,1,2,1,6,2,0,0,1,25,0,0,38
"Diodorus",0,38,9,0,0,1,1,5,46,0,1,4,67
"Herodotus",0,4,56,0,1,0,9,6,21,0,12,9,62
"Hesiod",10,0,0,56,18,13,0,0,0,8,0,0,49
"HomerIL",2,0,0,2,119,19,0,0,0,0,0,0,23
"HomerOd",2,0,0,4,35,91,0,0,0,1,0,0,42
"Lysias",1,0,9,0,0,0,63,4,14,1,11,14,54
