"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIl","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Hesiod",7,0,0,38,12,3,0,0,0,0,0,0,22
"HomerIl",1,0,0,1,61,8,0,0,0,0,0,0,10
"HomerOd",0,0,0,2,14,49,0,0,0,0,0,0,16
"Lysias",0,1,7,0,0,0,25,1,3,0,4,9,25
"Plutarch",0,5,4,0,0,0,1,26,17,0,6,4,37
"Polybius",0,5,4,0,0,0,2,2,52,0,2,2,17
"Sophocles",10,0,0,0,1,0,0,0,0,50,0,0,11
"Thucydides",0,2,11,0,0,0,3,2,16,0,28,7,41
"Xenophon",0,1,11,0,0,0,6,2,7,0,5,32,32
"-SUM-",18,16,39,3,27,11,19,15,76,10,23,31,288
"Aeschylus",64,0,0,1,2,0,0,0,0,5,0,0,8
"Diodorus",0,38,5,0,0,0,1,2,22,0,0,0,30
"Herodotus",0,3,29,0,0,0,5,1,5,0,5,4,23
"Hesiod",5,0,0,33,15,10,0,0,0,2,0,1,33
"HomerIl",0,0,0,2,55,10,0,0,0,0,0,0,12
"HomerOd",0,0,0,0,7,48,0,0,0,0,0,0,7
"Lysias",0,0,11,0,0,0,29,1,7,0,4,9,32
"Plutarch",0,0,5,0,0,0,4,39,17,0,9,3,38
"Polybius",0,5,0,0,1,0,0,2,45,0,0,0,8
"Sophocles",8,0,0,1,2,0,0,0,1,60,0,0,12
"Thucydides",0,2,11,0,0,0,6,5,7,0,31,3,34
"Xenophon",0,3,5,0,0,0,7,3,7,0,6,26,31
"-SUM-",13,13,37,4,27,20,23,14,66,7,24,20,268
"Aeschylus",53,0,1,1,1,1,0,0,0,13,0,0,17
"Diodorus",0,28,7,0,0,0,0,4,29,0,1,3,44
"Herodotus",0,3,46,0,0,0,3,4,4,0,3,1,18
"Hesiod",2,0,0,34,10,5,0,0,0,0,0,1,18
"HomerIl",0,0,0,1,54,6,0,0,0,0,0,0,7
"HomerOd",0,0,0,2,12,49,0,0,0,1,0,0,15
"Lysias",0,2,5,0,0,0,36,1,5,0,6,8,27
"Plutarch",0,4,7,0,0,0,0,29,14,0,2,3,30
"Polybius",0,5,2,0,0,0,3,4,55,0,0,0,14
"Sophocles",7,0,0,1,0,0,0,0,0,49,0,0,8
"Thucydides",0,3,16,0,0,0,7,6,12,0,25,5,49
"Xenophon",0,2,11,0,0,0,6,2,6,0,6,27,33
"-SUM-",9,19,49,5,23,12,19,21,70,14,18,21,280
"Aeschylus",54,0,0,1,0,1,0,0,0,10,0,0,12
"Diodorus",0,35,4,0,0,0,0,2,27,0,0,1,34
"Herodotus",0,5,44,0,0,0,1,1,5,0,4,6,22
"Hesiod",3,0,0,33,14,7,0,0,0,4,0,0,28
"HomerIl",0,0,0,1,55,5,0,0,0,0,0,0,6
"HomerOd",0,0,0,0,14,56,0,0,0,1,0,0,15
"Lysias",0,1,13,0,0,0,32,1,7,0,2,8,32
"Plutarch",0,5,3,0,0,0,1,31,9,0,5,0,23
"Polybius",0,5,0,0,0,0,1,4,65,1,0,1,12
"Sophocles",6,0,0,3,0,0,0,0,0,50,0,0,9
"Thucydides",0,3,11,0,0,0,6,2,11,0,23,4,37
"Xenophon",0,2,10,0,0,0,8,2,6,0,6,23,34
"-SUM-",9,21,41,5,28,13,17,12,65,16,17,20,264
"Aeschylus",61,0,0,2,1,1,0,0,0,11,0,0,15
"Diodorus",0,22,4,0,0,0,0,2,14,0,0,1,21
"Herodotus",1,5,42,0,0,0,5,0,4,1,9,6,31
"Hesiod",3,0,0,45,8,2,0,0,0,1,0,0,14
"HomerIl",1,0,0,0,51,10,0,0,0,1,0,0,12
"HomerOd",0,0,0,2,9,62,0,0,0,0,0,0,11
"Lysias",0,2,9,0,0,0,35,0,6,0,2,4,23
"Plutarch",0,4,6,0,0,0,2,34,15,0,2,3,32
"Polybius",0,6,0,0,0,0,1,3,61,0,1,0,11
"Sophocles",7,0,0,1,2,0,0,0,0,42,0,0,10
"Thucydides",0,4,12,0,0,0,7,2,12,0,32,5,42
"Xenophon",0,0,9,0,0,0,9,2,5,0,7,24,32
"-SUM-",12,21,40,5,20,13,24,9,56,14,21,19,254
"Aeschylus",61,0,1,3,0,2,0,0,0,12,0,0,18
"Diodorus",0,33,2,0,0,0,1,2,16,0,0,0,21
"Herodotus",0,4,41,0,0,0,4,2,4,1,4,5,24
"Hesiod",6,0,0,44,6,4,0,0,0,0,0,1,17
"HomerIl",0,0,0,2,65,7,0,0,0,0,0,0,9
"HomerOd",0,0,0,2,13,55,0,0,0,0,0,0,15
"Lysias",0,0,9,0,0,0,30,1,1,0,3,7,21
"Plutarch",0,4,7,0,0,0,3,29,15,0,5,1,35
"Polybius",0,5,4,0,0,0,2,2,55,0,3,1,17
"Sophocles",8,0,0,1,0,0,0,0,1,54,0,0,10
"Thucydides",0,2,11,0,0,0,6,8,10,0,11,2,39
"Xenophon",0,4,11,0,0,0,9,1,9,0,8,19,42
"-SUM-",14,19,45,8,19,13,25,16,56,13,23,17,268
"Aeschylus",58,0,0,3,0,1,0,0,0,15,0,0,19
"Diodorus",0,34,4,0,0,0,0,5,27,0,2,0,38
"Herodotus",0,4,46,0,0,0,2,2,4,0,9,4,25
"Hesiod",5,0,0,35,11,4,0,0,0,1,0,0,21
"HomerIl",0,0,0,0,42,7,0,0,0,0,0,0,7
"HomerOd",0,0,0,1,10,50,0,0,0,0,0,0,11
"Lysias",0,1,7,0,0,0,37,1,2,0,6,4,21
"Plutarch",0,1,7,0,0,0,4,23,15,0,10,7,44
"Polybius",0,5,1,0,0,0,1,4,57,0,2,1,14
"Sophocles",10,0,0,1,1,0,0,0,0,58,0,0,12
"Thucydides",0,3,13,0,0,1,5,2,10,0,24,3,37
"Xenophon",0,2,7,0,0,0,9,2,2,0,7,23,29
"-SUM-",15,16,39,5,22,13,21,16,60,16,36,19,278
"Aeschylus",46,0,0,0,1,2,0,0,0,10,0,0,13
"Diodorus",0,26,4,0,0,0,1,2,26,0,0,0,33
"Herodotus",0,2,46,0,0,0,1,3,7,0,5,7,25
"Hesiod",2,0,0,40,6,6,0,0,0,0,0,0,14
"HomerIl",0,0,0,1,60,8,0,0,0,0,0,0,9
"HomerOd",0,0,0,1,7,45,0,0,0,0,0,0,8
"Lysias",0,0,8,0,0,0,35,2,4,0,1,10,25
"Plutarch",0,1,4,0,0,0,1,29,20,0,9,3,38
"Polybius",0,3,4,0,0,0,0,2,69,1,1,2,13
"Sophocles",13,0,0,0,0,1,0,0,0,51,0,0,14
"Thucydides",0,2,12,0,0,1,7,4,12,0,27,4,42
"Xenophon",0,3,6,0,0,0,4,4,4,0,10,26,31
"-SUM-",15,11,38,2,14,18,14,17,73,11,26,26,265
"Aeschylus",55,0,0,0,0,0,0,0,0,12,0,0,12
"Diodorus",0,30,2,0,0,0,0,1,21,0,2,0,26
"Herodotus",0,1,35,0,0,0,2,3,4,0,3,1,14
"Hesiod",6,0,0,37,7,9,0,0,0,0,0,0,22
"HomerIl",0,0,0,1,57,6,0,0,0,0,0,0,7
"HomerOd",0,0,0,1,10,51,0,0,0,0,0,0,11
"Lysias",0,1,14,0,0,0,39,2,6,0,5,8,36
"Plutarch",0,5,6,0,0,0,1,26,17,0,4,2,35
"Polybius",0,4,4,0,0,0,0,3,56,0,0,0,11
"Sophocles",9,0,0,0,1,1,0,0,0,58,0,0,11
"Thucydides",0,1,14,0,0,0,7,4,18,0,33,1,45
"Xenophon",0,4,9,0,0,0,11,4,3,0,8,19,39
"-SUM-",15,16,49,2,18,16,21,17,69,12,22,12,269
"Aeschylus",49,0,0,1,0,1,0,0,0,10,0,0,12
"Diodorus",0,41,4,0,0,0,1,3,19,0,0,0,27
"Herodotus",0,5,35,0,0,0,3,2,3,0,5,3,21
"Hesiod",8,0,0,40,14,3,0,0,0,1,0,0,26
"HomerIl",1,0,0,1,72,10,0,0,0,0,0,0,12
"HomerOd",1,0,0,0,14,53,0,0,0,1,0,0,16
"Lysias",0,0,7,0,0,0,43,1,4,0,5,9,26
"Plutarch",0,3,2,0,0,0,3,25,16,0,2,4,30
"Polybius",0,5,1,0,0,0,1,3,43,0,1,0,11
"Sophocles",17,0,0,0,0,1,0,0,2,52,0,0,20
"Thucydides",0,2,4,0,0,0,3,5,11,0,25,1,26
"Xenophon",0,4,6,0,0,0,10,4,8,0,7,21,39
"-SUM-",27,19,24,2,28,15,21,18,63,12,20,17,266
"Aeschylus",55,0,0,1,1,0,0,0,0,8,0,0,10
"Diodorus",0,32,1,0,0,0,0,6,22,0,0,1,30
"Herodotus",1,7,42,0,0,0,2,7,5,0,6,9,37
"Hesiod",0,0,0,44,5,8,0,0,0,1,0,0,14
"HomerIl",0,0,0,1,51,9,0,0,0,0,0,0,10
"HomerOd",0,0,0,1,10,54,0,0,0,0,0,0,11
"Lysias",0,0,8,0,0,0,33,0,5,0,0,6,19
"Plutarch",0,5,7,0,0,0,2,34,17,0,5,2,38
"Polybius",0,2,1,0,0,0,1,0,40,0,4,0,8
"Sophocles",11,0,0,2,3,0,0,0,0,55,0,0,16
"Thucydides",0,4,16,0,0,0,5,2,13,0,21,9,49
"Xenophon",0,2,11,0,0,0,8,1,10,0,8,22,40
"-SUM-",12,20,44,5,19,17,18,16,72,9,23,27,282
"Aeschylus",54,0,0,1,0,0,0,0,0,10,0,0,11
"Diodorus",0,32,6,0,0,0,0,4,23,0,0,0,33
"Herodotus",1,1,38,0,0,0,3,4,6,0,5,2,22
"Hesiod",4,0,0,43,9,8,0,0,0,2,0,0,23
"HomerIl",0,0,0,1,54,2,0,0,0,0,0,0,3
"HomerOd",0,0,0,1,15,48,0,0,0,0,0,0,16
"Lysias",0,0,6,0,0,0,29,2,5,0,6,13,32
"Plutarch",0,3,5,0,0,0,3,21,15,0,5,3,34
"Polybius",1,5,5,0,0,0,0,3,46,0,3,1,18
"Sophocles",12,0,0,0,2,1,1,0,0,57,0,0,16
"Thucydides",0,2,17,0,0,0,9,3,8,0,28,6,45
"Xenophon",0,3,7,0,0,0,8,2,8,0,10,24,38
"-SUM-",18,14,46,3,26,11,24,18,65,12,29,25,291
"Aeschylus",62,0,0,1,0,0,0,0,0,7,0,0,8
"Diodorus",0,36,6,0,0,0,0,3,26,0,0,0,35
