"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"Diodorus",3,0,0,0,0,0
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,6,0,0,0
"Polybius",0,0,0,12,0,0
"Thucydides",1,1,0,0,6,2
"-SUM-",1,1,0,0,0,2
"Diodorus",7,0,0,0,0,0
"Herodotus",0,4,1,0,1,2
"Plutarch",0,0,10,0,0,0
"Polybius",0,0,0,9,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,1,0,1,2
"Diodorus",6,0,0,1,0,1
"Herodotus",0,7,0,0,0,0
"Plutarch",0,0,7,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,1,1,0,9,2
"-SUM-",0,1,1,1,0,3
"Diodorus",6,0,0,0,0,0
"Herodotus",0,9,0,0,0,0
"Plutarch",0,0,7,0,0,0
"Polybius",0,0,0,6,0,0
"Thucydides",0,0,0,0,7,0
"-SUM-",0,0,0,0,0,0
"Diodorus",9,0,0,2,0,2
"Herodotus",0,8,0,0,1,1
"Plutarch",0,0,6,0,0,0
"Polybius",0,0,0,3,0,0
"Thucydides",0,1,1,0,4,2
"-SUM-",0,1,1,2,1,5
"Diodorus",6,0,0,1,0,1
"Herodotus",0,5,0,0,0,0
"Plutarch",0,0,6,0,0,0
"Polybius",0,0,0,9,0,0
"Thucydides",0,0,0,0,8,0
"-SUM-",0,0,0,1,0,1
"Diodorus",3,0,0,1,0,1
"Herodotus",0,7,0,0,0,0
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,9,1,1
"Thucydides",0,0,2,0,7,2
"-SUM-",0,0,2,1,1,4
"Diodorus",3,0,0,0,0,0
"Herodotus",0,7,0,0,0,0
"Plutarch",0,1,7,0,0,1
"Polybius",0,0,0,7,0,0
"Thucydides",0,3,0,0,7,3
"-SUM-",0,4,0,0,0,4
"Diodorus",6,0,0,1,0,1
"Herodotus",0,9,0,0,0,0
"Plutarch",0,0,8,0,0,0
"Polybius",0,0,0,8,0,0
"Thucydides",0,0,0,0,3,0
"-SUM-",0,0,0,1,0,1
"Diodorus",5,0,0,1,0,1
"Herodotus",0,6,0,0,2,2
"Plutarch",0,0,10,0,0,0
"Polybius",0,0,0,4,0,0
"Thucydides",0,1,0,0,6,1
"-SUM-",0,1,0,1,2,4
"Diodorus",6,0,0,1,0,1
"Herodotus",0,6,0,0,0,0
"Plutarch",0,1,5,0,0,1
"Polybius",0,0,1,9,0,1
"Thucydides",0,0,0,0,6,0
"-SUM-",0,1,1,1,0,3
"Diodorus",8,0,0,1,0,1
"Herodotus",0,6,0,0,0,0
"Plutarch",0,1,6,0,0,1
"Polybius",0,0,0,5,0,0
"Thucydides",0,1,0,0,7,1
"-SUM-",0,2,0,1,0,3
"Diodorus",5,0,0,0,0,0
"Herodotus",0,6,0,0,0,0
"Plutarch",0,0,7,0,0,0
"Polybius",0,0,0,8,0,0
"Thucydides",0,1,1,0,7,2
"-SUM-",0,1,1,0,0,2
"Diodorus",9,0,0,1,0,1
"Herodotus",0,6,0,0,0,0
"Plutarch",0,1,5,0,0,1
"Polybius",0,0,0,9,0,0
"Thucydides",0,0,1,0,3,1
"-SUM-",0,1,1,1,0,3
"Diodorus",5,0,0,1,0,1
"Herodotus",0,8,0,0,0,0
"Plutarch",0,0,5,0,0,0
"Polybius",0,0,0,8,0,0
"Thucydides",1,0,1,0,6,2
"-SUM-",1,0,1,1,0,3
"Diodorus",2,0,0,0,0,0
"Herodotus",0,11,0,0,0,0
"Plutarch",0,0,8,0,1,1
"Polybius",0,0,0,4,0,0
"Thucydides",0,0,1,0,8,1
"-SUM-",0,0,1,0,1,2
"Diodorus",6,0,0,0,0,0
"Herodotus",0,4,0,0,0,0
"Plutarch",0,0,9,0,0,0
"Polybius",0,0,0,8,1,1
"Thucydides",0,1,0,0,6,1
"-SUM-",0,1,0,0,1,2
"Diodorus",8,0,0,0,0,0
"Herodotus",0,7,0,0,0,0
"Plutarch",0,0,6,0,0,0
"Polybius",0,0,0,8,0,0
"Thucydides",0,1,1,0,4,2
"-SUM-",0,1,1,0,0,2
"Diodorus",5,0,0,1,0,1
"Herodotus",0,10,0,0,0,0
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,6,0,0
"Thucydides",0,0,0,0,9,0
"-SUM-",0,0,0,1,0,1
"Diodorus",6,0,0,0,0,0
"Herodotus",0,7,0,0,0,0
"Plutarch",0,1,9,0,0,1
"Polybius",0,0,0,5,0,0
"Thucydides",0,0,0,0,7,0
"-SUM-",0,1,0,0,0,1
"Diodorus",5,0,0,1,0,1
"Herodotus",0,7,0,0,1,1
"Plutarch",0,0,4,0,0,0
"Polybius",0,0,0,8,0,0
"Thucydides",0,0,0,0,9,0
"-SUM-",0,0,0,1,1,2
"Diodorus",8,0,0,2,0,2
"Herodotus",0,6,0,0,1,1
"Plutarch",0,1,9,0,0,1
"Polybius",0,0,0,2,0,0
"Thucydides",1,0,0,0,5,1
"-SUM-",1,1,0,2,1,5
"Diodorus",8,0,0,0,0,0
"Herodotus",0,8,0,0,0,0
"Plutarch",0,0,3,0,0,0
"Polybius",0,0,0,7,0,0
"Thucydides",0,2,1,0,6,3
"-SUM-",0,2,1,0,0,3
"Diodorus",7,0,0,0,0,0
"Herodotus",0,9,0,0,0,0
"Plutarch",0,0,3,0,0,0
