"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"-SUM-",8,15,6,26,11,66
"Diodorus",19,1,1,8,1,11
"Herodotus",3,26,2,0,4,9
"Plutarch",2,1,16,7,4,14
"Polybius",3,0,0,40,0,3
"Thucydides",2,6,1,4,19,13
"-SUM-",10,8,4,19,9,50
"Diodorus",20,1,2,8,0,11
"Herodotus",0,28,1,0,3,4
"Plutarch",2,5,19,7,4,18
"Polybius",5,1,4,33,0,10
"Thucydides",2,5,3,2,15,12
"-SUM-",9,12,10,17,7,55
"Diodorus",21,1,1,10,0,12
"Herodotus",1,19,0,3,3,7
"Plutarch",5,2,20,6,2,15
"Polybius",3,0,3,33,1,7
"Thucydides",0,4,5,2,25,11
"-SUM-",9,7,9,21,6,52
"Diodorus",23,1,1,3,0,5
"Herodotus",0,29,0,1,0,1
"Plutarch",0,6,19,10,3,19
"Polybius",7,2,5,22,1,15
"Thucydides",2,8,1,4,22,15
"-SUM-",9,17,7,18,4,55
"Diodorus",19,1,0,20,0,21
"Herodotus",2,15,1,3,1,7
"Plutarch",5,1,20,5,4,15
"Polybius",2,0,5,27,1,8
"Thucydides",1,10,3,5,19,19
"-SUM-",10,12,9,33,6,70
"Diodorus",26,1,0,12,0,13
"Herodotus",1,26,1,2,5,9
"Plutarch",1,6,26,4,4,15
"Polybius",2,1,3,16,1,7
"Thucydides",1,7,3,4,17,15
"-SUM-",5,15,7,22,10,59
"Diodorus",27,1,1,8,1,11
"Herodotus",2,18,0,1,6,9
"Plutarch",1,1,19,4,6,12
"Polybius",6,1,0,33,1,8
"Thucydides",1,6,2,4,20,13
"-SUM-",10,9,3,17,14,53
"Diodorus",29,1,0,4,1,6
"Herodotus",2,23,1,1,2,6
"Plutarch",1,1,25,7,3,12
"Polybius",3,0,0,34,3,6
"Thucydides",0,6,2,2,19,10
"-SUM-",6,8,3,14,9,40
"Diodorus",19,0,1,10,0,11
"Herodotus",5,24,1,2,3,11
"Plutarch",0,5,22,4,7,16
"Polybius",2,2,2,28,1,7
"Thucydides",3,9,0,4,16,16
"-SUM-",10,16,4,20,11,61
"Diodorus",23,2,0,8,0,10
"Herodotus",0,32,1,1,4,6
"Plutarch",2,2,22,5,4,13
"Polybius",1,1,0,23,1,3
"Thucydides",0,10,4,3,21,17
"-SUM-",3,15,5,17,9,49
"Diodorus",16,0,0,8,0,8
"Herodotus",3,22,0,1,4,8
"Plutarch",3,3,20,5,7,18
"Polybius",5,0,2,36,2,9
"Thucydides",4,5,1,2,21,12
"-SUM-",15,8,3,16,13,55
"Diodorus",27,2,1,7,0,10
"Herodotus",1,34,3,2,2,8
"Plutarch",1,4,19,6,1,12
"Polybius",1,0,2,25,0,3
"Thucydides",1,6,4,5,16,16
"-SUM-",4,12,10,20,3,49
"Diodorus",24,1,1,13,0,15
"Herodotus",1,29,3,2,2,8
"Plutarch",1,5,16,5,2,13
"Polybius",1,1,1,27,0,3
"Thucydides",1,6,3,4,21,14
"-SUM-",4,13,8,24,4,53
"Diodorus",20,1,1,6,1,9
"Herodotus",1,30,1,0,2,4
"Plutarch",2,1,27,3,4,10
"Polybius",1,2,2,30,0,5
"Thucydides",3,7,2,4,19,16
"-SUM-",7,11,6,13,7,44
"Diodorus",15,3,3,13,0,19
"Herodotus",1,25,0,2,4,7
"Plutarch",2,4,16,7,5,18
"Polybius",0,1,3,26,1,5
"Thucydides",0,7,3,5,24,15
"-SUM-",3,15,9,27,10,64
"Diodorus",18,1,1,14,1,17
"Herodotus",0,19,0,3,6,9
"Plutarch",4,3,21,11,3,21
"Polybius",3,2,1,29,2,8
"Thucydides",4,5,4,4,11,17
"-SUM-",11,11,6,32,12,72
"Diodorus",27,1,2,12,0,15
"Herodotus",0,27,1,0,3,4
"Plutarch",3,5,16,7,1,16
"Polybius",1,2,3,23,0,6
"Thucydides",2,7,1,4,22,14
"-SUM-",6,15,7,23,4,55
"Diodorus",17,2,2,15,1,20
"Herodotus",1,23,2,0,2,5
"Plutarch",4,2,21,8,2,16
"Polybius",2,0,0,28,2,4
