"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"Diodorus",11,0,0,5,0,5
"Herodotus",0,9,0,1,3,4
"Plutarch",0,0,13,0,1,1
"Polybius",1,0,0,14,1,2
"Thucydides",0,1,0,2,8,3
"-SUM-",1,1,0,8,5,15
"Diodorus",16,0,0,3,0,3
"Herodotus",1,11,0,0,1,2
"Plutarch",0,0,13,2,1,3
"Polybius",1,0,2,7,0,3
"Thucydides",1,1,1,1,8,4
"-SUM-",3,1,3,6,2,15
"Diodorus",10,0,0,1,0,1
"Herodotus",1,14,0,0,1,2
"Plutarch",1,1,15,0,0,2
"Polybius",1,0,0,12,0,1
"Thucydides",0,1,1,2,9,4
"-SUM-",3,2,1,3,1,10
"Diodorus",6,0,0,4,0,4
"Herodotus",1,14,0,0,0,1
"Plutarch",2,3,8,1,0,6
"Polybius",1,0,0,11,0,1
"Thucydides",0,3,1,1,14,5
"-SUM-",4,6,1,6,0,17
"Diodorus",15,0,0,3,0,3
"Herodotus",0,11,0,0,0,0
"Plutarch",0,1,10,1,0,2
"Polybius",1,0,0,15,0,1
"Thucydides",2,1,1,1,8,5
"-SUM-",3,2,1,5,0,11
"Diodorus",11,0,0,0,0,0
"Herodotus",1,16,1,0,0,2
"Plutarch",1,1,10,1,2,5
"Polybius",0,1,0,13,0,1
"Thucydides",0,1,0,0,11,1
"-SUM-",2,3,1,1,2,9
"Diodorus",12,0,0,2,0,2
"Herodotus",0,15,1,2,1,4
"Plutarch",0,1,14,1,1,3
"Polybius",1,0,0,6,1,2
"Thucydides",1,1,1,0,9,3
"-SUM-",2,2,2,5,3,14
"Diodorus",13,0,0,2,0,2
"Herodotus",1,9,1,0,1,3
"Plutarch",0,0,11,1,0,1
"Polybius",0,0,0,16,0,0
"Thucydides",0,1,0,1,13,2
"-SUM-",1,1,1,4,1,8
"Diodorus",10,1,0,2,0,3
"Herodotus",0,11,0,0,0,0
"Plutarch",1,1,14,0,0,2
"Polybius",0,0,0,14,1,1
"Thucydides",0,3,1,1,10,5
"-SUM-",1,5,1,3,1,11
"Diodorus",15,1,0,3,0,4
"Herodotus",0,9,0,0,2,2
"Plutarch",0,0,8,3,0,3
"Polybius",0,0,1,12,0,1
"Thucydides",0,2,0,3,11,5
"-SUM-",0,3,1,9,2,15
"Diodorus",8,0,0,1,0,1
"Herodotus",0,19,0,0,0,0
"Plutarch",0,3,10,1,0,4
"Polybius",2,0,0,10,0,2
"Thucydides",0,2,1,2,11,5
"-SUM-",2,5,1,4,0,12
"Diodorus",9,1,0,0,0,1
"Herodotus",1,13,0,0,1,2
"Plutarch",0,1,12,1,0,2
"Polybius",1,0,0,15,1,2
"Thucydides",0,3,0,0,11,3
"-SUM-",2,5,0,1,2,10
"Diodorus",12,0,0,0,0,0
"Herodotus",0,13,0,0,1,1
"Plutarch",0,0,6,3,1,4
"Polybius",0,0,1,15,0,1
"Thucydides",0,4,0,2,12,6
"-SUM-",0,4,1,5,2,12
"Diodorus",14,0,0,0,0,0
