"","V1"
"1",4.3561971310152
"2",2.46078508925707
"3",4.76476712129294
"4",5.19535658453658
"5",5.0833344136163
"6",5.13486611767392
"7",4.57610947260617
"8",7.08220801810995
"9",5.86089186804259
"10",5.07156530429292
"11",5.36318792697655
"12",5.2963818915035
"13",6.30209636496226
"14",6.93394695318702
"15",6.40359556753215
"16",7.51158057702637
"17",6.8396936949455
"18",6.53176819910616
"19",5.61997393896416
"20",6.21692291732628
"21",6.52100443795415
"22",6.09535367607391
"23",6.52065557608709
"24",6.54247640673554
"25",7.09207732384877
"26",6.40185673454945
"27",6.33219804332619
"28",6.81627392151644
"29",5.63140224258804
"30",4.99829213576808
"31",4.93261133921909
"32",5.45929478883965
"33",5.09666321502741
"34",5.07411540965632
"35",7.05988505184689
"36",3.769718268498
"37",2.78737911914749
"38",2.50963878755051
"39",2.40201867048967
"40",2.63175395553922
"41",4.70621712480897
"42",7.75801054151045
"43",6.17853025413646
"44",3.82308207463411
"45",4.43626843388321
"46",5.26889423338242
"47",5.35286033691411
"48",6.08379452849322
"49",5.45223741307188
"50",6.5107767869199
"51",5.9429580540332
"52",5.7072775481075
"53",6.27278723760747
"54",5.31456188042482
"55",5.50004151695088
"56",4.8523177720615
"57",5.68661642779801
"58",5.63424213528556
"59",6.28837971058275
"60",7.43522660987508
"61",7.37553093282584
"62",7.61251209014246
"63",6.4462466617801
"64",2.49053497266376
"65",2.87651052474383
"66",2.89597843537165
"67",2.72542464858672
"68",3.09820413717397
"69",7.72643517394014
"70",3.76193107167554
"71",3.95287809011664
"72",3.97171496788716
"73",5.04182856456545
"74",4.01318918927834
"75",6.10300288246982
"76",4.7717283838885
"77",4.04303232877644
"78",4.34573574590291
"79",4.4221557466349
"80",4.79235096614139
"81",5.37012281953213
"82",4.95925955135093
"83",5.88413102284033
"84",5.28592109560304
"85",4.97406018082894
"86",4.92221990523807
"87",4.687462486258
"88",5.04127725900607
"89",4.75981872133457
"90",5.049534851545
"91",4.98429654220017
"92",5.4903306376648
"93",5.79184311795644
"94",5.69478118981733
"95",5.91269765149928
"96",4.98454931164203
"97",4.17677458160176
"98",3.78557713494339
"99",4.74951979622412
"100",4.27622232762387
"101",4.00459660471025
"102",5.99555606282489
"103",2.41110286089517
"104",1.95276411574023
"105",3.74136704112684
"106",3.83559107786185
"107",6.25065505832733
"108",4.70404372929317
"109",2.92776138408503
"110",3.54915720425786
"111",3.90243131443402
"112",4.200494012814
"113",4.85209084881097
"114",4.43009849637817
"115",5.31388887994182
"116",4.76695518699196
"117",4.47017580582526
"118",5.2720898625124
"119",4.08763771531769
"120",4.51582893644963
"121",4.04971898674215
"122",4.5792643337727
"123",4.37667032427804
"124",5.05328089290992
"125",6.17188224453942
"126",6.07455571637237
"127",6.08200228789417
"128",5.25558448436972
"129",2.93089394150541
"130",2.36573489598634
"131",3.45131035393213
"132",3.00515610895819
"133",2.6509737802947
"134",6.12011602108428
"135",2.04426543704941
"136",3.68507348585739
"137",4.57275325067449
"138",7.00244080364354
"139",5.38090590271605
"140",3.44625246544741
"141",4.28765770163552
"142",4.96197905855744
"143",4.33820335866979
"144",5.01892085826771
"145",4.59074077111683
"146",5.352077873861
"147",4.85789294300851
"148",4.60283129112489
"149",5.75751409205646
"150",4.15526589936093
"151",4.48232408620725
"152",4.00661747854314
"153",4.69461341130575
"154",4.51527386173078
"155",5.10166112667004
"156",6.99816460104982
"157",6.83754162975499
"158",6.83796014293547
"159",6.0194158147476
"160",2.32383773508751
"161",2.10065346284746
"162",2.75896815096231
"163",2.39684729451635
"164",2.3931431026436
"165",6.81724805990489
"166",3.44860681536813
"167",4.33234120828359
"168",6.88736106304345
"169",5.35391841649215
"170",3.34074262560122
"171",3.93364174623353
"172",4.6311445385691
"173",4.54667430654139
"174",5.14973936015139
"175",4.73854217993841
"176",5.52905214641737
"177",5.02508274507677
"178",4.84921748125434
"179",5.98294648892182
"180",4.48680945609904
"181",4.8128925271363
"182",4.30765365165305
"183",4.9402755566727
"184",4.77012231321043
"185",5.35368363680008
"186",6.83097514432226
"187",6.7722230680136
"188",6.82940622866925
"189",5.94325317227213
"190",2.58234063710387
"191",2.36838606907032
"192",3.22443949277952
"193",2.87550780354009
"194",2.77702063462524
"195",6.85562922348304
"196",5.42547853063633
"197",8.74076093014645
"198",7.2259873419802
"199",4.81651105957801
"200",5.47938084233739
"201",6.1066252502347
"202",6.62597796040112
"203",7.3735074794066
"204",6.71773440843597
"205",7.82992833253704
"206",7.19601764397045
"207",6.97515384954552
"208",7.09620450025454
"209",6.56577224409225
"210",6.73404709607902
"211",6.05841506884927
"212",6.93856698308007
"213",6.89699689751326
"214",7.54308040869402
"215",8.22564838750692
"216",8.11693097434426
"217",8.5266367984143
"218",7.22674317981091
"219",3.4235975315972
"220",3.98862378926275
"221",3.56708719892883
"222",3.56200056336369
"223",4.15827974781889
"224",8.70916063821197
"225",4.28991647534476
"226",2.81892576048223
"227",3.84098769436592
"228",4.2161567817968
"229",3.60355274670902
"230",4.67285373942892
"231",5.33604340673991
"232",4.97286515139697
"233",6.05150973304649
"234",5.2727967084725
"235",4.85904160733112
"236",3.24920961495913
"237",4.60349581142987
"238",5.06824297720114
"239",4.78950106774317
"240",5.03090997841006
"241",4.88783667566009
"242",5.45587494959741
"243",3.57395732129664
"244",3.5546641723152
"245",4.02246996786083
"246",2.7403603767534
"247",4.48343309305583
"248",3.72510468714524
"249",4.97448455048008
"250",4.36543194048612
"251",3.81508225320959
"252",4.3039193096308
"253",2.36279387959226
"254",5.69927054267834
"255",5.6790442399474
"256",4.73510753911161
"257",5.23609504697458
"258",5.29078437559609
"259",5.50122724876536
"260",5.85765636052761
"261",5.41736460256503
"262",5.02064296054984
"263",3.83170253492197
"264",5.2067208403648
"265",5.6621997839962
"266",6.00564513038231
"267",5.45696657761063
"268",5.24425343260659
"269",5.34399164349277
"270",2.3728069536131
"271",2.6480583584315
"272",2.00890254451117
"273",3.23116961801961
"274",7.38924466947294
"275",6.27087746499129
"276",7.94576420968603
"277",7.30768199911147
"278",6.43329756648942
"279",2.00020309222082
"280",4.30525239873345
"281",4.49349376950285
"282",3.70594408778676
"283",3.85472746206981
"284",4.20493586488363
"285",4.24202845305223
"286",4.81412908202404
"287",4.22419336925423
"288",3.80172113899932
"289",2.77347030450363
"290",3.74385197950729
"291",4.28242191198535
"292",4.44896461079092
"293",4.12297227839167
"294",3.88597574404733
"295",4.20551872894283
"296",2.81196974303969
"297",2.70547393854277
"298",2.3175681376411
"299",2.52927455169513
"300",5.72671938370685
"301",4.62612857665278
"302",6.26313063412503
"303",5.62494448832207
"304",4.73707024476896
"305",2.06386078873
"306",3.2571318122437
"307",3.57741797871762
"308",3.71916521614321
"309",4.32286098126991
"310",3.77168929494471
"311",4.80965675123193
"312",4.21748727137275
"313",3.84915819248542
"314",4.87986737742187
"315",3.6006288697316
"316",3.84727740884661
"317",3.39415661037017
"318",3.92459055606858
"319",3.81348983382556
"320",4.52052664732609
"321",5.69548169434082
"322",5.70394621343593
"323",5.64896874358015
"324",4.94620466724964
"325",3.77071888056452
"326",3.17629917304067
"327",4.33518690040722
"328",3.88679421995136
"329",3.56919729221735
"330",5.62507878504776
"331",3.38998567276438
"332",3.16889861318397
"333",3.55675470260046
"334",2.94450335057623
"335",4.14461979412536
"336",3.56427915890984
"337",3.40835410726163
"338",5.51909146344153
"339",3.62181387783486
"340",3.62255622299212
"341",3.42850358244877
"342",3.59918016043156
"343",3.48809966372526
"344",4.02188288430432
"345",5.90412464870454
"346",6.02497597522477
"347",6.01984809844467
"348",5.41820454243947
"349",4.76056958723606
"350",4.37265867589001
"351",5.60358923952954
"352",5.0657605492963
"353",4.72417992294005
"354",5.86095761717175
"355",4.21824749158895
"356",4.71228732289666
"357",4.36748845126763
"358",5.32787958422434
"359",4.66557821895316
"360",4.30121268164759
"361",4.33604126421571
"362",4.13688060407725
"363",4.52547350752427
"364",4.47961612506031
"365",4.45707950318221
"366",4.27401305200453
"367",4.75094331112255
"368",4.5016881626961
"369",4.55428468609896
"370",4.75035084131842
"371",4.05736141620536
"372",5.27037968202462
"373",4.52322024045546
"374",5.92437112829183
"375",5.38711068599865
"376",4.7736939535729
"377",4.70837924514939
"378",1.52865560614428
"379",1.42522615209312
"380",2.05647156757911
"381",1.35992937264191
"382",1.22684740344411
"383",5.15625461112067
"384",1.78970731920314
"385",1.68046684885032
"386",2.07306355057604
"387",1.66485718520604
"388",1.47006850984102
"389",1.94348652679541
"390",5.95595676712732
"391",5.87533063118486
"392",5.49935487418671
"393",5.47379116282665
"394",5.15677228609321
"395",4.47042896764111
"396",5.80828493366533
"397",5.21820040497262
"398",4.66829988006846
"399",4.96607805054061
"400",1.28514484734974
"401",1.21167551323162
"402",1.11434220526667
"403",1.35641101669254
"404",5.80012372044815
"405",2.29718677135251
"406",2.07877897996653
"407",2.61225546845773
"408",1.83456720237447
"409",1.67067323943916
"410",1.8152732057609
"411",6.31673336930913
"412",6.29855556837505
"413",5.79677740907642
"414",6.01951762431881
"415",5.89338146995234
"416",5.22011001223161
"417",6.59980081607716
"418",6.03026288566124
"419",5.45486547390123
"420",5.18900149540837
"421",1.82342814313783
"422",1.45683980386237
"423",1.46964880085414
"424",5.56862373945866
"425",2.21120130453667
"426",1.89941192618942
"427",2.17763750906644
"428",1.79394622637402
"429",1.6539969057414
"430",2.10721619893371
"431",6.26082916283377
"432",6.25083781769522
"433",5.90829781040056
"434",5.8467650342413
"435",5.38019661206773
"436",4.82449780467753
"437",6.0955184642423
"438",5.52176355734819
"439",5.05896711533593
"440",5.4071651932317
"441",1.49978865217148
"442",1.88445478214316
"443",6.42499175581908
"444",2.63046724171366
"445",2.42887306524102
"446",2.95755955635978
"447",2.18247444444844
"448",2.01198306014778
"449",1.98732505012361
"450",6.97181108882927
"451",6.94458177804251
"452",6.34004970903371
"453",6.6940440633839
"454",6.31699834600048
"455",5.65343565059992
"456",7.00366198989358
"457",6.46207085423255
