"","Diodorus","Herodotus","Lysias","Plutarch","Polybius","Thucydides","-SUM-"
"Thucydides",0,2,0,2,2,9,6
"-SUM-",6,9,0,5,8,8,36
"Diodorus",13,3,0,0,4,0,7
"Herodotus",3,21,3,0,0,1,7
"Lysias",0,1,19,1,0,1,3
"Plutarch",0,5,2,10,4,1,12
"Polybius",0,0,0,0,19,1,1
"Thucydides",1,3,1,3,3,10,11
"-SUM-",4,12,6,4,11,4,41
"Diodorus",17,1,0,0,2,0,3
"Herodotus",1,16,1,1,0,2,5
"Lysias",0,2,19,2,1,1,6
"Plutarch",0,6,1,8,8,0,15
"Polybius",2,1,1,1,19,0,5
"Thucydides",0,1,0,2,1,16,4
"-SUM-",3,11,3,6,12,3,38
"Diodorus",13,2,0,1,3,1,7
"Herodotus",1,20,1,2,0,1,5
"Lysias",0,5,10,3,2,0,10
"Plutarch",1,1,1,17,3,3,9
"Polybius",1,0,0,0,22,0,1
"Thucydides",1,3,1,2,0,12,7
"-SUM-",4,11,3,8,8,5,39
"Diodorus",13,1,0,0,4,0,5
"Herodotus",1,18,1,0,1,0,3
"Lysias",1,6,19,1,2,0,10
"Plutarch",0,3,1,10,4,1,9
"Polybius",1,0,0,0,20,0,1
"Thucydides",0,7,2,2,1,13,12
"-SUM-",3,17,4,3,12,1,40
"Diodorus",13,1,0,0,2,0,3
"Herodotus",0,17,1,2,2,0,5
"Lysias",0,1,14,2,1,0,4
"Plutarch",1,1,0,12,7,3,12
"Polybius",2,0,1,2,22,0,5
"Thucydides",1,4,1,6,3,11,15
"-SUM-",4,7,3,12,15,3,44
