"","file","sent","index","words","dependency","relation","morph","depPerWord","relPerWord","morphPerWord","DepDist","topSentNum"
"57","Polybius 21.11-20",20,57,16,45,46,25,2.8125,2.875,1.5625,4.875,20
"58","Polybius 21.11-20",21,58,28,94,67,47,3.357142857,2.392857143,1.678571429,5.75,21
"59","Polybius 21.11-20",22,59,68,238,180,110,3.5,2.647058824,1.617647059,4.9851,22
"60","Polybius 21.11-20",23,60,26,57,70,93,2.192307692,2.692307692,3.576923077,3.4,23
"61","Polybius 21.11-20",24,61,27,61,80,62,2.259259259,2.962962963,2.296296296,3,24
"62","Polybius 21.11-20",25,62,17,73,52,43,4.294117647,3.058823529,2.529411765,3.7059,25
"63","Polybius 21.11-20",26,63,6,13,26,15,2.166666667,4.333333333,2.5,2.2,26
"64","Polybius 21.11-20",27,64,16,25,46,21,1.5625,2.875,1.3125,2.0667,27
"65","Polybius 21.11-20",28,65,32,74,72,57,2.3125,2.25,1.78125,2.9677,28
"66","Polybius 21.11-20",29,66,52,174,150,102,3.346153846,2.884615385,1.961538462,3.7059,29
"67","Polybius 21.11-20",30,67,14,39,49,23,2.785714286,3.5,1.642857143,2.9286,30
"68","Polybius 21.11-20",31,68,37,120,118,67,3.243243243,3.189189189,1.810810811,3.8056,31
"69","Polybius 21.11-20",32,69,14,66,59,59,4.714285714,4.214285714,4.214285714,2.9286,32
"70","Polybius 21.11-20",33,70,11,38,37,37,3.454545455,3.363636364,3.363636364,3.9091,33
"71","Polybius 21.11-20",34,71,8,27,40,17,3.375,5,2.125,2.875,34
"72","Polybius 21.11-20",35,72,22,54,111,37,2.454545455,5.045454545,1.681818182,2.619,35
"73","Polybius 21.11-20",36,73,12,32,43,13,2.666666667,3.583333333,1.083333333,3.5,36
"74","Polybius 21.11-20",37,74,22,61,56,36,2.772727273,2.545454545,1.636363636,3.7727,37
"75","Polybius 21.11-20",38,75,30,77,73,62,2.566666667,2.433333333,2.066666667,6.1379,38
"76","Polybius 21.11-20",39,76,10,19,27,16,1.9,2.7,1.6,2.3333,39
"77","Polybius 21.11-20",40,77,14,48,45,27,3.428571429,3.214285714,1.928571429,3.7692,40
"78","Polybius 21.11-20",41,78,16,29,32,43,1.8125,2,2.6875,2.4667,41
"79","Polybius 21.11-20",42,79,35,100,134,49,2.857142857,3.828571429,1.4,5.6571,42
"80","Polybius 21.11-20",43,80,21,39,52,25,1.857142857,2.476190476,1.19047619,2.75,43
"81","Polybius 21.11-20",44,81,27,53,64,47,1.962962963,2.37037037,1.740740741,2.8846,44
"82","Polybius 21.11-20",45,82,19,47,80,41,2.473684211,4.210526316,2.157894737,5.8421,45
"83","Polybius 21.11-20",46,83,32,84,110,69,2.625,3.4375,2.15625,4.2903,46
"84","Polybius 21.11-20",47,84,31,78,95,41,2.516129032,3.064516129,1.322580645,4.6774,47
"85","Polybius 21.11-20",48,85,13,19,38,23,1.461538462,2.923076923,1.769230769,2.0833,48
"86","Polybius 21.11-20",49,86,15,26,32,26,1.733333333,2.133333333,1.733333333,2.9286,49
"87","Polybius 21.11-20",50,87,12,20,35,15,1.666666667,2.916666667,1.25,2.5455,50
"88","Polybius 21.11-20",51,88,15,33,49,26,2.2,3.266666667,1.733333333,2.2857,51
"89","Polybius 21.11-20",52,89,30,76,94,57,2.533333333,3.133333333,1.9,5.2069,52
"90","Polybius 21.11-20",53,90,23,93,75,39,4.043478261,3.260869565,1.695652174,5.6818,53
"91","Polybius 21.11-20",54,91,19,33,54,39,1.736842105,2.842105263,2.052631579,2.1667,54
"92","Polybius 21.11-20",55,92,6,24,26,12,4,4.333333333,2,1.6,55
"93","Polybius 21.11-20",56,93,25,90,76,82,3.6,3.04,3.28,2.875,56
"94","Polybius 21.11-20",57,94,21,42,67,30,2,3.19047619,1.428571429,2.3,57
"95","Polybius 21.11-20",58,95,15,26,49,20,1.733333333,3.266666667,1.333333333,3.1429,58
"96","Polybius 21.11-20",59,96,37,105,120,94,2.837837838,3.243243243,2.540540541,3.3784,59
"97","Polybius 21.11-20",60,97,16,44,41,40,2.75,2.5625,2.5,1.6,60
"98","Polybius 21.11-20",61,98,19,35,52,39,1.842105263,2.736842105,2.052631579,3.0556,61
"99","Polybius 21.11-20",62,99,34,102,105,37,3,3.088235294,1.088235294,2.9697,62
"100","Polybius 21.11-20",63,100,17,43,42,30,2.529411765,2.470588235,1.764705882,2.8125,63
"101","Polybius 21.11-20",64,101,16,32,54,53,2,3.375,3.3125,2.8,64
"102","Polybius 21.11-20",65,102,29,110,74,71,3.793103448,2.551724138,2.448275862,8.3667,65
"103","Polybius 21.11-20",66,103,18,37,52,33,2.055555556,2.888888889,1.833333333,2.5294,66
"104","Polybius 21.11-20",67,104,20,46,54,39,2.3,2.7,1.95,3.4737,67
"105","Polybius 21.11-20",68,105,11,27,35,16,2.454545455,3.181818182,1.454545455,3.2,68
"106","Polybius 21.11-20",69,106,10,15,29,54,1.5,2.9,5.4,2.3333,69
"107","Polybius 21.11-20",70,107,25,40,61,37,1.6,2.44,1.48,2.5417,70
"108","Polybius 21.11-20",71,108,66,368,179,129,5.575757576,2.712121212,1.954545455,3.8594,71
"109","Polybius 21.11-20",72,109,34,150,77,85,4.411764706,2.264705882,2.5,3.8182,72
"110","Polybius 21.11-20",73,110,33,95,82,62,2.878787879,2.484848485,1.878787879,4.25,73
"111","Polybius 21.11-20",74,111,28,93,82,44,3.321428571,2.928571429,1.571428571,5.0357,74
"112","Polybius 21.11-20",75,112,22,48,71,37,2.181818182,3.227272727,1.681818182,3,75
"113","Polybius 21.11-20",76,113,32,187,134,93,5.84375,4.1875,2.90625,4.8235,76
"114","Polybius 21.11-20",77,114,21,46,66,36,2.19047619,3.142857143,1.714285714,2.6,77
"115","Polybius 21.11-20",78,115,27,86,75,79,3.185185185,2.777777778,2.925925926,3.5769,78
"116","Polybius 21.11-20",79,116,14,21,43,20,1.5,3.071428571,1.428571429,3.0769,79
"117","Polybius 21.11-20",80,117,11,45,44,25,4.090909091,4,2.272727273,1.9,80
"118","Polybius 21.11-20",81,118,14,41,52,32,2.928571429,3.714285714,2.285714286,3.1538,81
"119","Polybius 21.11-20",82,119,16,34,42,40,2.125,2.625,2.5,2.3333,82
"120","Polybius 21.11-20",83,120,18,38,56,27,2.111111111,3.111111111,1.5,2.7059,83
"121","Polybius 21.11-20",84,121,8,38,22,43,4.75,2.75,5.375,1.8571,84
"122","Polybius 21.11-20",85,122,10,16,32,18,1.6,3.2,1.8,1.4444,85
"123","Polybius 21.11-20",86,123,22,88,51,40,4,2.318181818,1.818181818,2.8571,86
"124","Polybius 21.11-20",87,124,14,26,35,21,1.857142857,2.5,1.5,2.2308,87
"125","Polybius 21.11-20",88,125,5,13,14,23,2.6,2.8,4.6,1.25,88
"126","Polybius 21.11-20",89,126,33,82,95,85,2.484848485,2.878787879,2.575757576,3.8485,89
"127","Polybius 21.11-20",90,127,16,91,63,34,5.6875,3.9375,2.125,3.125,90
"128","Polybius 21.11-20",91,128,11,30,27,32,2.727272727,2.454545455,2.909090909,4.1,91
"129","Polybius 21.11-20",92,129,11,65,34,25,5.909090909,3.090909091,2.272727273,3.9,92
"130","Polybius 21.11-20",93,130,20,45,51,61,2.25,2.55,3.05,3.4737,93
"131","Polybius 21.11-20",94,131,37,159,118,61,4.297297297,3.189189189,1.648648649,5.3889,94
"132","Polybius 21.11-20",95,132,6,11,16,11,1.833333333,2.666666667,1.833333333,2,95
"133","Polybius 21.11-20",96,133,23,44,66,42,1.913043478,2.869565217,1.826086957,3.0455,96
"134","Polybius 21.11-20",97,134,39,125,113,161,3.205128205,2.897435897,4.128205128,3.5,97
"135","Polybius 21.11-20",98,135,33,93,84,110,2.818181818,2.545454545,3.333333333,4.7812,98
"136","Polybius 21.11-20",99,136,15,30,40,25,2,2.666666667,1.666666667,3.6429,99
"137","Polybius 21.11-20",100,137,37,116,102,55,3.135135135,2.756756757,1.486486486,4.8889,100
"138","Polybius 21.11-20",101,138,31,82,61,44,2.64516129,1.967741935,1.419354839,4.8667,101
"139","Polybius 21.11-20",102,139,22,47,51,29,2.136363636,2.318181818,1.318181818,2.6667,102
"140","Polybius 21.11-20",103,140,25,52,71,39,2.08,2.84,1.56,5.2609,103
"141","Polybius 21.11-20",104,141,12,49,46,42,4.083333333,3.833333333,3.5,3.9167,104
"142","Polybius 21.11-20",105,142,79,283,196,197,3.582278481,2.481012658,2.493670886,4.9231,105
"143","Polybius 21.11-20",106,143,26,40,61,31,1.538461538,2.346153846,1.192307692,2.6,106
"144","Polybius 21.21-30",1,144,16,56,76,48,3.5,4.75,3,4.6667,1
"145","Polybius 21.21-30",2,145,77,254,229,144,3.298701299,2.974025974,1.87012987,6.4737,2
"146","Polybius 21.21-30",3,146,13,27,51,49,2.076923077,3.923076923,3.769230769,2.1667,3
"147","Polybius 21.21-30",4,147,12,29,30,25,2.416666667,2.5,2.083333333,1.6364,4
"148","Polybius 21.21-30",5,148,28,66,89,90,2.357142857,3.178571429,3.214285714,4.4074,5
